"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Lucky Peak Reservoir","13201500	","Idaho","Reservoir","Ada","3060","43.5276","-116.05372","170501120603	",,"3-14-2024, 12:19 PM MDT"
"Lucky Strike","605	","Oregon","SNOTEL","Umatilla","4970","45.27478","-118.8479","170701030606	",,"3-14-2024, 12:19 PM MDT"
"Lumberyard 2","LB2	","California","Snow Course/Aerial Marker","Amador","6500","38.545","-120.305","180400120403	",,"3-14-2024, 12:19 PM MDT"
"Lupine Creek","10E01	","Wyoming","Snow Course/Aerial Marker","Park","7380","44.91249","-110.61085","100700010905	",,"3-14-2024, 12:19 PM MDT"
"Lye Brook","2042	","Vermont","SCAN","Bennington","2435","43.05753","-73.03834","020200030202	",,"3-14-2024, 12:19 PM MDT"
"Lyman Lake","606	","Washington","SNOTEL","Chelan","5980","48.19798","-120.91678","170200090203	",,"3-14-2024, 12:19 PM MDT"
"Lyman Reservoir","09385500	","Arizona","Reservoir","Apache","5980","34.3742","-109.38231","150200010409	",,"3-14-2024, 12:19 PM MDT"
"Lynn Lake","1069	","Washington","SNOTEL","King","3900","47.20172","-121.77972","171100130203	",,"3-14-2024, 12:19 PM MDT"
"Lynn Lake","21B50	","Washington","Snow Course/Aerial Marker","King","3885","47.20173","-121.77971","171100130203	",,"3-14-2024, 12:19 PM MDT"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8919","40.07832","-106.67095","140100011001	",,"3-14-2024, 12:19 PM MDT"
"Lyons Creek","LYN	","California","Snow Course/Aerial Marker","El Dorado","6700","38.812","-120.243","180201290204	",,"3-14-2024, 12:19 PM MDT"
"MF Bradley R nr Homer","15239050	","Alaska","Streamflow","Kenai Peninsula","2300","59.77833","-150.75417","190203011102	",,"3-14-2024, 12:19 PM MDT"
"MF Nooksack","1011	","Washington","SNOTEL","Whatcom","4970","48.82453","-121.92951","171100040303	",,"3-14-2024, 12:19 PM MDT"
