NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
NOCG1|02217770       |166035E0|FFC|33 58 11.0 |083 22 39.3 |NORTH OCONEE RIVER AT COLLEGE ST AT ATHENS GA
NOOG1|02392975       |DD8DE09C|FFC|34 04 06   |084 32 08   |NOONDAY CREEK AT SHALLOWFORD ROAD NR WOODSTOCKGA
NOSG1|02336968       |DD8CF110|FFC|33 51 33.3 |084 39 09.9 |NOSES CREEK AT POWDER SPRINGS RDPOWDER SPRINGSGA
NPBG1|02336120       |DD4C9092|FFC|33 49 53.6 |084 20 34   |N.F. PEACHTREE CREEK BUFORD HWY NEAR ATLANTA GA
NPTG1|02336093       |17681608|FFC|33 52 12   |084 17 41   |N FK PEACHTREE CR TRB AT DRESDEN DR NR ATLANTAGA
NRVG1|02338660       |CE86A55C|FFC|33 14 08.6 |084 59 15.2 |NEW RIVER AT GA 100 NEAR CORINTH GA
NWBG1|02220788       |17B87014|FFC|33 33 22.9 |083 39 59.5 |LITTLE RIVER AT NEWBORN RD NEAR NEWBORN GA
OCNG1|02223248       |17F23190|FFC|32 47 15.8 |082 57 24.9 |OCONEE RIVER NEAR OCONEE GA
OCOG1|02223056       |DE1700FC|FFC|32 56 21.6 |083 04 01.1 |OCONEE RIVER AT AVANT MINE NEAR OCONEE GA
OHCG1|02341200       |DDEA2584|FFC|32 41 18   |084 51 24   |OSSAHATCHEE CREEK NEAR HAMILTON GA
OLYG1|02336986       |DDAE55F2|FFC|33 50 10.2 |084 37 53.2 |OLLEY CREEK AT CLAY ROAD NEAR AUSTELL GA
OMHG1|02342881       |17BCB030|FFC|32 08 26.4 |085 02 57.8 |CHATTAHOOCHEE RIVER AT SPUR 39 NEAR OMAHA GA
OTKG1|02387600       |DDAFA78C|FFC|34 29 41.5 |084 57 55.5 |OOTHKALOOGA CREEK AT GA 53 SPUR AT CALHOUN GA
PACG1|02217643       |DD02E1B6|FFC|34 09 43.41|083 31 30.34|PARKS CREEK AT LYLE FIELD RD NR JEFFERSON GA
PBCG1|02204037       |171F377C|FFC|33 40 05.5 |084 09 04.2 |POLE BRIDGE CR AT EVANS MILL RD NEAR LITHONIA GA
PDCG1|02204010       |1768057E|FFC|33 41 44   |084 08 46   |POLE BRIDGE CRK AT FAIRINGTON DR NR LITHONIA GA
PDSG1|02336840       |DDAE3014|FFC|33 49 38   |084 43 11.5 |SWEETWATER CREEKBROWNSVILLE RDPOWDER SPRINGSGA
PHCG1|02344605       |177E4124|FFC|33 23 44   |084 36 25   |LINE CREEK BELOW GA 54 NEAR PEACHTREE CITY GA
PING1|02383520       |DDAF8160|FFC|34 34 34.5 |084 51 37.1 |COOSAWATTEE RIVER AT PINE CHAPEL GA
PNFG1|02218300       |16E7F572|FFC|33 43 14.5 |083 17 44.2 |OCONEE RIVER NEAR PENFIELD GA
POTG1|02346310       |DD4D3290|FFC|33 11 14.7 |084 13 35.9 |POTATO CREEK AT COUNTY LINE RD NR ORCHARD HILLGA
POWG1|02336870       |DDAE6068|FFC|33 51 33   |084 41 18.1 |POWDER SPRINGS CREEK NEAR POWDER SPRINGS GA
PRCG1|02336526       |DD4C83E4|FFC|33 47 40.1 |084 28 27.1 |PROCTOR CREEK AT JACKSON PARKWAY AT ATLANTA GA
RCDG1|02394682       |DDE84596|FFC|34 04 44.3 |084 51 16   |RICHLAND CREEK AT OLD DALLAS RD NEAR DALLAS GA
RDBG1|02383500       |DDAF9216|FFC|34 33 51   |084 49 59   |COOSAWATTEE RIVER NEAR PINE CHAPEL GA
RGAG1|02388500       |17C402B4|FFC|34 17 56.3 |085 08 16.8 |OOSTANAULA RIVER NEAR ROME GA
RKMG1|02394820       |17B7A0EE|FFC|33 59 50.9 |085 03 13.3 |EUHARLEE CREEK AT US 278 AT ROCKMART GA
RKYG1|02208000       |DE26229A|FFC|33 29 59.5 |083 53 03   |YELLOW RIVER ROCKY PLAINS RD NR ROCKY PLAINS GA
RLCG1|02334480       |170CA28E|FFC|34 07 57   |084 04 12   |RICHLAND CREEK AT SUWANEE DAM ROAD NEAR BUFORDGA
RMBG1|02397000       |17C5004E|FFC|34 12 01.8 |085 15 23.1 |COOSA RIVER MAYO'S BAR NEAR ROME GA
ROEG1|02395980       |DDAFD11C|FFC|34 13 55.6 |085 07 01.0 |ETOWAH RIVER AT GA 1 LOOP NEAR ROME GA
RSCG1|02387500       |DD650242|FFC|34 34 39   |084 56 30.9 |OOSTANAULA RIVER AT RESACA GA
RTMG1|02388525       |17C30080|FFC|34 15 37.9 |085 10 15.2 |OOSTANAULA RIVER AT US 27 AT ROME GA
RUSG1|02388985       |DF08AE78|FFC|34 23 55   |084 03 24   |RUSSELL CRK 0.3 MI DS HEAD LAKE NR DAWSONVILLE GA
RWLG1|02335450       |DD4A053E|FFC|33 59 08.9 |084 18 56.5 |CHATTAHOOCHEE RIVER ABOVE ROSWELL GA
RWSG1|02335757       |17E57730|FFC|34 01 03   |084 21 12   |BIG CREEK BELOW HOG WALLOW CREEK AT ROSWELL GA
SCKG1|03566700       |17A8B294|FFC|34 55 08.2 |085 07 32.6 |SOUTH CHICKAMAUGA CREEK AT RINGGOLD GA
SCTG1|02215900       |DE26D21E|FFC|32 03 08.5 |082 48 56.2 |LITTLE OCMULGEE RIVER AT GA 149 AT SCOTLAND GA
SEPG1|02203603       |DD4CB67E|FFC|33 41 02   |084 24 55   |SOUTH RIVER AT SPRINGDALE ROAD AT ATLANTA GA
SFCG1|02203950       |DF0303FA|FFC|33 45 47.6 |084 13 13.3 |SNAPFINGER CREEK NEAR DECATUR GA
SFHG1|02203960       |1686905C|FFC|33 41 48   |084 11 55   |SNAPFINGER CR AT THOMPSON MILL RD NR LITHONIA GA
SFMG1|02203900       |1729F4DC|FFC|33 39 56.8 |084 13 26.4 |SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA GA
SFPG1|02336152       |DF02F184|FFC|33 48 37.6 |084 14 52.7 |SOUTH FORK PEACHTREE AT CASA DR NR CLARKSTON GA
SFTG1|02207200       |1727A0C8|FFC|33 44 55.9 |084 05 03.9 |SWIFT CREEK NEAR LITHONIA GA
SHLG1|02344478       |166EB79C|FFC|33 15 24.7 |084 21 45.8 |SHOAL CREEK AT SHOAL CREEK ROAD NEAR GRIFFIN GA
SHOG1|02203863       |DF02E2F2|FFC|33 41 35.5 |084 15 14   |SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA GA
SHPG1|02344620       |176B417A|FFC|33 23 21   |084 37 29   |SHOAL CREEK AT GA54 NEAR SHARPSBURG GA
SMAG1|02335910       |DD4A30A4|FFC|33 53 38.5 |084 27 28.4 |ROTTENWOOD CR AT INTERSTATE N PKWY NR SMYRNA GA
SMCG1|023358685      |DF005488|FFC|33 58 44.5 |084 27 07.3 |SEWELL MILL CREEK AT GA 120 NEAR MARIETTA GA
SNKG1|02337500       |1796B08C|FFC|33 31 45.5 |084 55 43.4 |SNAKE CREEK NEAR WHITESBURG GA
SOCG1|02207160       |1791A1CE|FFC|33 46 23.8 |084 04 37.8 |STONE MOUNTAIN CREEK AT GA 124 NEAR LITHONIA GA
SOUG1|02204070       |1797641E|FFC|33 37 48.4 |084 07 42.5 |SOUTH RIVER AT KLONDIKE ROAD NEAR LITHONIA GA
SPGG1|02204520       |17279552|FFC|33 29 04.5 |083 57 28.7 |SOUTH RIVER AT GA 81 AT SNAPPING SHOALS GA
SPJG1|02336240       |DD4CE602|FFC|33 48 11.1 |084 20 26.5 |S.F. PEACHTREE CREEK JOHNSON RD NEAR ATLANTA GA
STCG1|02207130       |DD3A3508|FFC|33 49 34.0 |084 09 54.2 |STONE MTN CR AT SILVER HILL RD NEAR STONE MTN GA
STHG1|02203655       |DD4C7360|FFC|33 40 44.1 |084 21 29.3 |SOUTH RIVER AT FORREST PARK ROAD AT ATLANTA GA
STWG1|02205865       |DE278098|FFC|33 56 28   |084 06 28   |SWEETWATER CREEK AT CLUB DRIVE NEAR LILBURN GA
SUMG1|02398000       |166EC10C|FFC|34 28 04.1 |085 20 05.4 |CHATTOOGA RIVER AT SUMMERVILLE GA
SWAG1|02334578       |DD88723E|FFC|34 05 47   |084 04 41   |LEVEL CREEK AT SUWANEE DAM ROAD NEAR SUWANEE GA
SWEG1|02334885       |17E594C2|FFC|34 01 57   |084 05 20   |SUWANEE CREEK AT SUWANEE GA
SWOG1|02225270       |17BD8750|FFC|32 26 26.2 |082 22 54.8 |OHOOPEE RIVER AT GA 297 NEAR SWAINSBORO GA
TEXG1|331339085131401|DDEA0368|FFC|33 14 53   |085 13 25   |TEXAS/WAREVILLE PRECIP STATION NR FRANKLIN GA
TKRG1|02382200       |17D430B0|FFC|34 31 23.7 |084 36 39.7 |TALKING ROCK CREEK NEAR HINTON GA
TLAG1|02411930       |DD03E34C|FFC|33 44 29   |085 20 10.1 |TALLAPOOSA RIVER AT US 78 NEAR TALLAPOOSA GA
TLNG1|02387000       |DDAFF7F0|FFC|34 40 00.9 |084 55 40.5 |CONASAUGA RIVER AT TILTON GA
TMSG1|02346180       |17BBA172|FFC|32 50 18.6 |084 25 27.3 |FLINT RIVER NEAR THOMASTON GA
TNCG1|02336321       |176873EE|FFC|33 55 24   |084 18 14   |TRIB TO NANCY CRK AT PEACHFORD DR NR DUNWOODY GA
TOBG1|02213500       |DE15831C|FFC|32 48 32   |083 45 30   |TOBESOFKEE CREEK NEAR MACON GA
TOWG1|02211800       |DE1A3600|FFC|33 06 54   |083 52 12.8 |TOWALIGA RIVER AT GA 83 NEAR JULIETTE GA
TSCG1|02215100       |17AEB25A|FFC|32 14 24.4 |083 30 06.6 |TUCSAWHATCHEE CREEK NEAR HAWKINSVILLE GA
UNIG1|02342850       |DD363494|FFC|32 09 09.8 |084 54 21.3 |HANNAHATCHEE CREEK AT UNION ROAD AT UNION GA
UPAG1|02341800       |DD8F15EC|FFC|32 24 46.8 |084 49 12.0 |UPATOI CREEK NEAR COLUMBUS GA
UTYG1|02336728       |DD4C6016|FFC|33 44 36.7 |084 34 05.4 |UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA GA
VIDG1|321302082243601|1791D75E|FFC|32 13 02   |082 24 36   |26R001
VING1|02336000       |17F1C61A|FFC|33 51 33   |084 27 16   |CHATTAHOOCHEE RIVER AT ATLANTA GA
VIXG1|02335990       |17F1B08A|FFC|33 52 03.6 |084 27 14.8 |CHATTAHOOCHEE RIVER AT US 41 AT ATLANTA GA
VNPG1|02335880       |DDE856E0|FFC|33 54 07.1 |084 26 34.9 |CHATT R AT POWERS FY AND I-285 NR ATLANTA GA
WALG1|02392360       |DDB6B538|FFC|34 15 48   |084 35 43.6 |SHOAL CREEK AT GA 108 NEAR WALESKA GA
WATG1|02206465       |DF1215E8|FFC|33 51 46.9 |084 02 07.5 |WATSON CREEK TRIB 2 TANGLEWOOD DR SNELLVILLE GA
WCKG1|03567340       |DF00316E|FFC|34 57 27.2 |085 12 19   |WEST CHICKAMAUGA CR AT GA 146 NEAR LAKEVIEW GA
WDCG1|02336313       |DDA9625C|FFC|33 49 17.9 |084 26 19.1 |WOODALL CREEK AT DEFOORS FERRY RD AT ATLANTA GA
WETG1|02339400       |DD4CA508|FFC|32 55 05.7 |085 11 15.9 |WEST POINT LAKE NEAR WEST POINT GA
WHGG1|02337498       |177EE1DC|FFC|33 31 35   |084 56 12.2 |SNAKE CRK DS SNAKE CRK RESERVIOR NR WHITESBURG GA
WHTG1|02338000       |D11DA6FA|FFC|33 28 35.5 |084 54 04.3 |CHATTAHOOCHEE RIVER NEAR WHITESBURG GA
WLDG1|02205000       |DD94A254|FFC|34 00 07   |084 00 18   |WILDCAT CREEK NEAR LAWRENCEVILLE GA
WLFG1|02205230       |DF13E796|FFC|34 00 04.9 |084 02 56.3 |WOLF CREEK TRIBUTARY AT DEAN ROAD NR SUWANEE GA
WLOG1|02335790       |17D4833E|FFC|34 00 09.6 |084 23 39   |WILLEO CREEK AT GA 120 NEAR ROSWELL GA
WLRG1|02217274       |17E587B4|FFC|34 04 56   |083 51 16   |WHEELER CREEK AT BILL CHEEK ROAD NEAR AUBURN GA
WNRG1|02217297       |1783D534|FFC|34 02 45.5 |083 42 40.9 |MULBERRY CREEK NEAR WINDER GA
WODG1|02392780       |DDB67026|FFC|34 07 21   |084 30 16.5 |LITTLE RIVER AT GA 5 NEAR WOODSTOCK GA
WRNG1|02197598       |DDB645BC|FFC|33 10 50.0 |082 20 02.7 |BRUSHY CREEK AT CAMPGROUND ROAD NEAR WRENS GA
WSEG1|02344396       |17D184FE|FFC|33 21 35   |084 23 40   |FLINT RIVER AT WOOLSEY ROAD NEAR WOOLSEY GA
WSWG1|02334653       |17C18360|FFC|34 03 24.2 |084 06 30   |CHATTAHOOCHEE R 0.76 MI US MCGINNIS FY SUWANEE GA
WTNG1|02193500       |17E731CE|FFC|33 36 46   |082 44 33   |LITTLE RIVER NEAR WASHINGTON GA
WTPG1|02339500       |DD49B1BE|FFC|32 53 11.9 |085 10 53.7 |CHATTAHOOCHEE RIVER AT WEST POINT GA
YELG1|02207120       |17F1E0F6|FFC|33 46 21   |084 03 29.5 |YELLOW RIVER AT GA 124 NEAR LITHONIA GA
YESG1|02206500       |DF058BF2|FFC|33 51 11   |084 04 42   |YELLOW RIVER NEAR SNELLVILLE GA
YETG1|02205596       |DF13E944|FFC|33 54 45.5 |084 02 45.7 |YELLOW R TRIB AT PLANTATION RDNR LAWRENCEVILLEGA
YJCG1|02338840       |17B6A214|FFC|33 08 23.3 |084 58 31.4 |YELLOWJACKET CREEK-HAMMETT RD BLW HOGANSVILLE GA
YLOG1|02207220       |17D44620|FFC|33 44 00.9 |084 03 41.6 |YELLOW RIVER AT PLEASANT HILL ROAD NR LITHONIAGA
BELG1|02192000       |DD8D036E|GSP|33 58 21.5 |082 46 15.1 |BROAD RIVER NEAR BELL GA
BURG1|02176930       |DE203122|GSP|34 58 28.3 |083 06 58.2 |CHATTOOGA RIVER AT BURRELLS FORD NR PINE MTN GA
BVDG1|02188600       |CE8771CE|GSP|34 10 07   |082 53 47.8 |BEAVERDAM CREEK ABOVE ELBERTON GA
CSQG1|023312495      |D1183458|GSP|34 37 07   |083 31 44   |SOQUE RIVER AT GA 197 NEAR CLARKESVILLE GA
CYNG1|02177000       |17ACC13E|GSP|34 48 49.6 |083 18 22.9 |CHATTOOGA RIVER NEAR CLAYTON GA
TCLG1|02180400       |1708A7B4|GSP|34 47 10.1 |083 24 56.1 |TIGER CREEK NEAR LAKEMONT GA
TFLG1|02181580       |DD4CC0EE|GSP|34 43 54.9 |083 22 31.5 |TALLULAH RIVER AB POWERHOUSE NR TALLULAH FALLSGA
TRRG1|02181350       |170BD62A|GSP|34 45 01   |083 24 18   |TALLULAH R AT TERRORA PWRHSE NR TALLULAH FALLSGA
TRTG1|02178400       |166EA4EA|GSP|34 53 23.9 |083 31 50.3 |TALLULAH RIVER NEAR CLAYTON GA
ABAG1|02227270       |DD3CF0D8|JAX|31 22 32.1 |082 17 19.1 |ALABAHA RIVER AT GA 203 NEAR BLACKSHEAR GA
ATKG1|02228000       |1797E20A|JAX|31 13 10.5 |081 51 59.2 |SATILLA RIVER AT ATKINSON GA
AYSG1|02226500       |DE15B686|JAX|31 14 18.4 |082 19 22.2 |SATILLA RIVER NEAR WAYCROSS GA
BAXG1|02225000       |17F15378|JAX|31 56 22.2 |082 21 12.2 |ALTAMAHA RIVER NEAR BAXLEY GA
BKWG1|311022081304601|D11812B4|JAX|31 10 22   |081 30 46   |33H324
BNWG1|310931081291002|17D3718E|JAX|31 09 31   |081 29 10   |34H514
BRNG1|02226180       |17F166E2|JAX|31 07 36.3 |081 24 07.7 |BRUNSWICK RIVER AT ST. SIMONS ISLAND GA
CHRG1|02224940       |1743E4CA|JAX|31 57 28.3 |082 31 01.3 |ALTAMAHA RIVER AT US 221 NR CHARLOTTEVILLE GA
DCTG1|02226000       |DD4A832A|JAX|31 39 16.8 |081 49 39   |ALTAMAHA RIVER AT DOCTORTOWN GA
EVRG1|02226160       |17CD82FC|JAX|31 25 36.7 |081 36 18.4 |ALTAMAHA RIVER NEAR EVERETT CITY GA
FARG1|02314495       |DD49D458|JAX|30 42 27   |082 32 21   |SUWANNEE RIVER ABOVE FARGO GA
FGOG1|02314500       |DD49E1C2|JAX|30 40 51.7 |082 33 36.5 |SUWANNEE RIVER AT US 441 AT FARGO GA
KLNG1|02231254       |DF009196|JAX|30 44 39.4 |081 39 14.4 |ST MARY'S RIVER AT I-95 NEAR KINGSLAND GA
MNIG1|02228500       |17AA5492|JAX|30 31 03   |082 13 50   |NORTH PRONG ST. MARYS RIVER AT MONIAC GA
OFFG1|02227500       |DE15C016|JAX|31 27 07.7 |082 03 15.6 |LITTLE SATILLA RIVER NEAR OFFERMAN GA
SMTG1|02231175       |17CD7278|JAX|30 46 59   |082 01 27   |ST MARYS RIVER AT FERRY LANDING NEAR FOLKSTON GA
SRWG1|02228070       |173DC3E2|JAX|30 58 29.6 |081 43 36.7 |SATILLA RIVER AT US 17 AT WOODBINE GA
STNG1|02317500       |17D3C200|JAX|30 42 13.8 |083 01 57.6 |ALAPAHA RIVER AT STATENVILLE GA
TMOG1|02226362       |17B8458E|JAX|31 18 09.9 |082 33 40   |SATILLA RIVER AT GA 158 NEAR WAYCROSS GA
ABNG1|02352500       |DE2ED6B8|TAE|31 35 39   |084 08 39   |FLINT RIVER AT ALBANY GA
ADLG1|02318000       |DD4B07C4|TAE|31 09 20   |083 32 37   |LITTLE RIVER NEAR ADEL GA
ALAG1|02316000       |DD4AA5C6|TAE|31 23 07   |083 11 36.6 |ALAPAHA RIVER NEAR ALAPAHA GA
ARWG1|312232084391701|17270030|TAE|31 22 38   |084 39 17   |08K001
ATPG1|02329342       |DDB0B5F6|TAE|30 44 08   |084 29 49   |LITTLE ATTAPULGUS CREEK AT ATTAPULGUS GA
BACG1|312127084065801|1726F24E|TAE|31 21 29   |084 06 57   |13J004
BGEG1|02356000       |17D507D0|TAE|30 54 37.1 |084 34 49.8 |FLINT RIVER AT BAINBRIDGE GA
BSWG1|312617084110701|172726DC|TAE|31 26 17.7 |084 11 06.1 |12K014
BWLG1|305736084355801|1726E138|TAE|30 57 42   |084 35 46   |09F520
CEDG1|02343940       |17BAF3F4|TAE|31 10 51   |085 02 37   |SAWHATCHEE CREEK AT CEDAR SPRINGS GA
CLDG1|02327355       |DD2D164E|TAE|31 00 08.7 |083 56 20.5 |OCHLOCKONEE RIVER AT GA 188 NEAR COOLIDGE GA
CQUG1|02356638       |1669565A|TAE|31 10 26.7 |084 44 41.7 |SPRING CREEK APPROX .25 MI US US27 NR COLQUITT GA
CSAG1|02228295       |16604370|TAE|30 45 51.6 |081 28 16.9 |CUMBERLAND SOUND AT SEA CAMP DOCK NR ST MARYS GA
CWLG1|310507084262201|177E843A|TAE|31 05 07   |084 26 22   |10G313
DSNG1|02350900       |1674C7C0|TAE|31 45 52.5 |084 15 11.2 |KINCHAFOONEE CREEK AT PINEWOOD ROAD NR DAWSON GA
ELMG1|02354500       |DD4C1686|TAE|31 21 02   |084 28 57   |CHICKASAWHATCHEE CREEK AT ELMODEL GA
EMOG1|02354800       |DD84E6C0|TAE|31 17 37.2 |084 29 18.8 |ICHAWAYNOCHAWAY CREEK NEAR ELMODEL GA
FOGG1|02343240       |DD4D070A|TAE|31 37 31.2 |085 03 52.0 |WALTER F. GEORGE RESERVOIR NEAR FORT GAINES GA
HOPG1|02355662       |DD49C72E|TAE|31 08 26   |084 28 51.5 |FLINT RIVER AT RIVERVIEW PLANTATION NR HOPEFULGA
HRAG1|02318380       |DE26E784|TAE|31 00 01.7 |083 27 24.4 |LITTLE RIVER AT GA 122 NEAR HAHIRA GA
ICHG1|02355350       |DD8D1018|TAE|31 13 00.5 |084 28 12.6 |ICHAWAYNOCHAWAY CREEK BELOW NEWTON GA
IRCG1|02357000       |173B20DE|TAE|31 02 24.3 |084 44 21.5 |SPRING CREEK NEAR IRON CITY GA
IVLG1|02315920       |17BFA448|TAE|31 37 51.9 |083 25 04.2 |ALAPAHA RIVER AT GA 125/32 NEAR IRWINVILLE GA
LESG1|02354475       |173B33A8|TAE|31 27 56   |084 26 58   |SPRING CREEK NEAR LEARY GA
MCKG1|02351890       |1675D64C|TAE|31 46 34.6 |084 08 20.7 |MUCKALEE CREEK AT GA 195 NEAR LEESBURG GA
MGNG1|02353265       |166E1764|TAE|31 31 37   |084 34 58   |ICHAWAYNOCHAWAY CREEK AT GA 37 NEAR MORGAN GA
MLFG1|02353500       |DD4A23D2|TAE|31 22 58   |084 32 47   |ICHAWAYNOCHAWAY CREEK AT MILFORD GA
MRSG1|02343225       |173630CE|TAE|31 49 05.6 |084 58 26   |PATAULA CREEK NEAR GEORGETOWN GA
MUFG1|02351925       |DDB0806C|TAE|31 39 28.5 |084 06 20.9 |MUCKALEE CREEK AT FORRESTER PKWY NEAR LEESBURG GA
NEWG1|02353000       |17D4E6D8|TAE|31 18 25   |084 20 20   |FLINT RIVER AT NEWTON GA
NWLG1|311802084192301|1662C090|TAE|31 18 02   |084 19 23   |11J011
OKFG1|02350512       |166EF496|TAE|31 43 30   |084 01 07   |FLINT RIVER AT GA 32 NEAR OAKFIELD GA
PCHG1|02353400       |1737D1C6|TAE|31 33 18.5 |084 40 50.8 |PACHITLA CREEK NEAR EDISON GA
PRSG1|02350600       |DD4AC020|TAE|32 03 09   |084 32 54   |KINCHAFOONEE CREEK AT PRESTON GA
PWLG1|312919084153801|172735AA|TAE|31 29 14.3 |084 15 30   |11K003
QUTG1|02318500       |DD4A905C|TAE|30 47 35.9 |083 27 12.4 |WITHLACOOCHEE RIVER AT US 84 NEAR QUITMAN GA
REYG1|02357150       |DDA306E8|TAE|30 54 10.8 |084 44 58.2 |SPRING CREEK NEAR REYNOLDSVILLE GA
SWLG1|313953084361202|1727504C|TAE|31 39 52   |084 36 16   |09M007
TMLG1|02327500       |17F18510|TAE|30 52 33   |084 02 48.4 |OCHLOCKONEE RIVER NEAR THOMASVILLE GA
TWCG1|02317797       |DE26F4F2|TAE|31 28 54.1 |083 35 02.8 |LITTLE RIVER AT UPPER TY TY ROAD NEAR TIFTON GA
VDRG1|02317755       |17B5F566|TAE|30 53 33.4 |083 19 07.9 |WITHLACOOCHEE RIVER AT US 41 NEAR VALDOSTA GA
VDSG1|023177483      |DD8DF3EA|TAE|30 56 56.7 |083 16 18.6 |WITHLACOOCHEE R AT SKIPPER BRIDGE RDNR BEMISS GA
VDWG1|304949083165301|1726C7D4|TAE|30 49 51   |083 16 58   |19E009
VWLG1|310651084404501|171FA21E|TAE|31 06 51   |084 40 44   |08G001
MTCP7|132617144423366|DDF65516|GUM|13 26 22.1 |-144 42 43.8 |MOUNT CHACHAO RAIN GAGE NEAR PITI GUAM
ALKH1|16725000       |DD59E65C|HFO|20 04 15.9 |155 40 14.7 |ALAKAHI STREAM NEAR KAMUELA HI
HKPH1|16114800       |DDF7D1F8|HFO|22 10 33.0 |159 35 54.5 |HANAKAPIAI STREAM ABV HANAKAPIAI FALLS KAUAI HI
HKSH1|16620000       |D110B6EA|HFO|20 57 34.9 |156 35 13.4 |HONOKOHAU STREAM NEAR HONOKOHAU MAUI HI
HLAH1|16097500       |DDD325A8|HFO|22 10 43.1 |159 25 07.0 |HALAULANI STR AT ALT 400 FT NR KILAUEA KAUAI HI
HLEH1|16103000       |175E6626|HFO|22 10 46.5 |159 27 59.0 |HANALEI RIVER NR HANALEI KAUAI HI
HMUH1|16527500       |DDCC24A4|HFO|20 51 12.1 |156 10 13.2 |HONOMANU STREAM NEAR HANA HWY MAUI HI
HNWH1|16508000       |DD7C96E2|HFO|20 48 24.7 |156 06 51.2 |HANAWI STREAM NEAR NAHIKU MAUI HI
HOHH1|16212490       |16398AA2|HFO|21 22 41.3 |158 02 41.2 |HONOULIULI STR AT H-1 FREEWAY NR WAIPAHU OAHU HI
HUSH1|16275000       |DDCDD6DA|HFO|21 24 33.15|157 49 23.63|HEEIA STREAM AT HAIKU VALLEY NR KANEOHE OAHU HI
HWSH1|16226200       |DDCC845C|HFO|21 22 55.2 |157 54 12.0 |N. HALAWA STR NR HONOLULU OAHU HI
KIRH1|194945155534402|DD60236E|HFO|19 49 32.9 |155 53 33.3 |92.5 KIHOLO RAIN GAGE HI
KKGH1|16414200       |F0054648|HFO|21 05 47.5 |157 01 04.3 |KAUNAKAKAI GULCH AT ALTITUDE 75 FEET MOLOKAI HI
KKLH1|16618000       |DD7CA378|HFO|20 58 43.3 |156 33 16.2 |KAHAKULOA STREAM NEAR HONOKOHAU MAUI HI
KLOH1|220927159355001|DDCC972A|HFO|22 09 14.7 |159 35 40.6 |1084.0 KILOHANA RAIN GAGE NR HANALEI KAUAI HI
KLSH1|16304200       |1746A000|HFO|21 35 10.0 |157 54 29.0 |KALUANUI STREAM NR PUNALUU OAHU HI
KMSH1|16264600       |DD9A7054|HFO|21 23 39.0 |157 44 57.7 |KAWAINUI MARSH NR LEVEE STA 15+00 OAHU HI
KNAH1|16296500       |DDD6F400|HFO|21 32 26.2 |157 52 57.2 |KAHANA STR AT ALT 30 FT NR KAHANA OAHU HI
KNEH1|16274100       |DD12603C|HFO|21 24 42.5 |157 47 53.2 |KANEOHE STR BLW KAMEHAMEHA HWY OAHU HI
KNFH1|16200000       |DDCC37D2|HFO|21 30 58.6 |157 56 43.1 |NF KAUKONAHUA STR ABV RB NR WAHIAWA OAHU HI
KNNH1|16330000       |DD404766|HFO|21 38 07.7 |158 03 16.5 |KAMANANUI STR AT MAUNAWAI OAHU HI
KNRH1|213237157530701|17B972EE|HFO|21 32 25.5 |157 52 57.2 |886.4 KAHANA RAIN GAGE AT ALT. 95 FT. OAHU HI
KOSH1|16210200       |DDE39056|HFO|21 30 00.9 |158 03 03.9 |KAUKONAHUA STREAM BLW WAHIAWA RESERVOIR OAHU HI
KOWH1|16210500       |DDE3463E|HFO|21 33 55.1 |158 07 13.3 |KAUKONAHUA STR AT WAIALUA OAHU HI
KPNH1|203721156151601|F000D4EA|HFO|20 37 10.2 |156 15 06.8 |255.0 KEPUNI GULCH RAIN GAGE MAUI HI
KSFH1|16208000       |169CA30A|HFO|21 29 19.7 |157 59 45.8 |SF KAUKONAHUA STR AT E PUMP NR WAHIAWA OAHU HI
KUSH1|16283200       |16DEA522|HFO|21 26 19.4 |157 50 37.9 |KAHALUU STR NR AHUIMANU OAHU HI
KUTH1|16208400       |DDF6608C|HFO|21 29 50.5 |157 58 50.6 |KU TREE RESERVOIR NEAR WAHIAWA OAHU HI
KWGH1|16415600       |DDF2C54E|HFO|21 04 11.9 |156 56 54.0 |KAWELA GULCH NEAR MOKU MOLOKAI HI
KWKH1|16010000       |DDC77770|HFO|22 07 58.1 |159 37 11.8 |KAWAIKOI STREAM NR WAIMEA KAUAI HI
KWSH1|16720000       |DDF6A592|HFO|20 05 07.2 |155 40 52.2 |KAWAINUI STREAM NR KAMUELA HI
KWWH1|16265000       |DDE373A4|HFO|21 24 20.7 |157 47 25.8 |KAWA STR AT KANEOHE OAHU HI
LRBH1|16052350       |DD9F420E|HFO|21 56 21.54|159 30 17.3 |RIGHT BRANCH LAWAI STREAM NR UMAUMA RD KAUAI HI
MKHH1|16211600       |DD1423F8|HFO|21 30 05.7 |158 10 48.6 |MAKAHA STR NR MAKAHA OAHU HI
MKSH1|16238000       |DE087760|HFO|21 17 47.9 |157 50 12.3 |MAKIKI STREAM AT KING ST. BRIDGE OAHU HI
