NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
CHFA2|15514000       |17DA8756|AFG|64 50 45   |147 42 04   |CHENA R AT FAIRBANKS AK
CRHA2|15493400       |DDC6758A|AFG|64 51 36   |146 48 12   |CHENA R BL HUNTS C NR TWO RIVERS AK
CRUA2|15875000       |DDCD7622|AFG|69 21 37.8 |152 07 21.7 |COLVILLE R AT UMIAT AK
DCKA2|15743850       |17365528|AFG|66 56 46   |156 54 32   |DAHL C NR KOBUK AK
ENNA2|15515500       |17DAA1BA|AFG|64 33 53.8 |149 05 38.4 |TANANA R AT NENANA AK
FCCA2|15502000       |17116368|AFG|65 00 35   |147 11 54   |FISH C BL SOLO C NR CHATANIKA AK
FMRA2|15348000       |1736465E|AFG|64 18 33   |141 24 08   |FORTYMILE R NR STEELE CREEK AK
GBDA2|15477740       |17DAB2CC|AFG|64 27 02   |144 56 32   |GOODPASTER R NR BIG DELTA AK
GLSA2|15457790       |171617CC|AFG|65 34 26.4 |148 23 16.28|GOLDSTREAM C BL ALABAM C NR LIVENGOOD AK
GYRA2|15564860       |172D8776|AFG|64 44 15   |156 53 30   |YUKON R AT GALENA AK
HULA2|15980000       |1719974A|AFG|69 42 14   |144 11 54   |HULAHULA R NR KAKTOVIK AK
KIAA2|15744500       |17DAE2B0|AFG|66 58 25   |160 07 51   |KOBUK R NR KIANA AK
KRHA2|15564900       |DD2CB44C|AFG|66 02 51   |154 15 30   |KOYUKUK R AT HUGHES AK
KUPA2|15896000       |DDD9526A|AFG|70 16 54   |148 57 35   |KUPARUK R NR DEADHORSE AK
LCLA2|15519030       |162A4F2C|AFG|65 31 22.7 |148 32 47.0 |LIVENGOOD C AT LIVENGOOD AK
MCDA2|15493700       |DDC6106C|AFG|64 48 03   |147 13 40   |CHENA R BL MOOSE C DAM AK
MDEA2|15803000       |172CD5F0|AFG|70 29 45   |157 23 33   |MEADE R AT ATKASUK AK
MRCA2|15515048       |172D77F2|AFG|63 58 26   |148 45 40   |MARGUERITE C 3.6 MI AB EMMA C NR HEALY AK
MRGA2|15515060       |DD9EF37A|AFG|64 00 32   |148 43 33   |MARGUERITE C AB EMMA C NR HEALY AK
NRCA2|15580095       |163BB41E|AFG|64 53 31   |163 40 12   |NIUKLUK R AB MELSING C AT COUNCIL AK
PHLA2|15478040       |163BDF2A|AFG|63 14 25.0 |145 28 05.0 |PHELAN C NR PAXSON AK
SALA2|15484000       |D1005286|AFG|64 28 17.5 |146 55 41.0 |SALCHA R NR SALCHAKET AK
SGRA2|15908000       |1797C4E6|AFG|69 00 57   |148 49 04   |SAGAVANIRKTOK R NR PUMP STA 3 AK
SLAA2|15564879       |17DCE27E|AFG|67 15 16   |150 10 38   |SLATE C AT COLDFOOT AK
SNKA2|15621000       |17DB85AC|AFG|64 33 51   |165 30 26   |SNAKE R NR NOME AK
TAFA2|15485500       |176404E2|AFG|64 47 34   |147 50 20   |TANANA R AT FAIRBANKS AK
TRBA2|15519100       |1719D440|AFG|65 27 55   |148 37 43   |TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK
UBLA2|15862500       |324C4450|AFG|70 14 33.56|151 17 41.81|UBLUTUOCH R 13.7 MI AB MOUTH NR NUIQSUT AK
UCHA2|15493000       |D100671C|AFG|64 54 07.1 |146 21 40.8 |CHENA R NR TWO RIVERS AK
WADA2|15320100       |17DD0376|AFG|64 07 06   |141 33 13   |WADE C TRIB NR CHICKEN AK
WULA2|15747000       |1735B1D4|AFG|67 52 34   |163 40 28   |WULIK R BL TUTAK C NR KIVALINA AK
YEAA2|15356000       |170EA77A|AFG|64 47 22   |141 11 52   |YUKON R AT EAGLE AK
YRBA2|15453500       |173910B0|AFG|65 52 32   |149 43 04   |YUKON R NR STEVENS VILLAGE AK
ALEA2|15129120       |163B92F2|AJK|59 11 34.1 |138 20 02.1 |ALSEK R AT DRY BAY NR YAKUTAT AK
CKTA2|15056500       |162A69C0|AJK|59 24 55   |135 55 45   |CHILKAT R NR KLUKWAN AK
DANA2|15129300       |DE57A3D8|AJK|59 25 03   |139 01 03   |DANGEROUS R AT HARLEQUIN LK OUTLET NR YAKUTAT AK
FCKA2|15072000       |163BEAB0|AJK|55 23 31   |131 11 38   |FISH C NR KETCHIKAN AK
HCCA2|15086225       |162A8A32|AJK|55 54 31   |132 55 51   |HATCHERY C AT FOREST SVC RD 23 NR COFFMAN COVE AK
HRCA2|15085697       |178C83DA|AJK|55 27 33.54|132 42 58.54|HARRIS R 1.2 MI AB MOUTH NR HOLLIS AK
IRVA2|15087700       |DE5282F4|AJK|57 03 12   |135 18 52   |INDIAN R AT SITKA AK
ITAA2|15129280       |17DC771C|AJK|59 18 07.3 |139 02 44.5 |ITALIO R AB MOUTH NR YAKUTAT AK
KLRA2|15056560       |171B07DC|AJK|59 24 47   |135 59 49   |KLEHINI R NR KLUKWAN AK
LSCA2|15068040       |1738C422|AJK|55 31 10   |131 31 22   |LEASK CREEK AT SHELTER COVE NR KETCHIKAN AK
MNDA2|15052500       |176272BC|AJK|58 25 47   |134 34 22   |MENDENHALL R NR AUKE BAY AK
SAMA2|15057596       |DD3F8146|AJK|58 26 42   |135 44 24   |SALMON R AT GUSTAVUS AK
SCKA2|15081497       |1715B03A|AJK|55 48 05   |133 06 31   |STANEY C NR KLAWOCK AK
SCSA2|15088000       |16E86682|AJK|57 03 05   |135 13 40   |SAWMILL C NR SITKA AK
SLMA2|15008000       |DDE47190|AJK|56 01 34   |130 03 55   |SALMON R NR HYDER AK
SRYA2|15129500       |170EC29C|AJK|59 35 12   |139 29 33   |SITUK R NR YAKUTAT AK
STKA2|15024800       |DE614694|AJK|56 42 29   |132 07 49   |STIKINE R NR WRANGELL AK
TKUA2|15041200       |173400A0|AJK|58 32 19   |133 42 00   |TAKU R NR JUNEAU AK
TMPA2|15087585       |17DCF108|AJK|56 58 07   |133 04 05   |TWELVEMILE C NR PETERSBURG AK
TYAA2|15056210       |173132FA|AJK|59 30 43   |135 20 40   |TAIYA R NR SKAGWAY AK
TYWA2|15019990       |171763A6|AJK|56 12 00   |131 30 24   |TYEE LK OUTLET NR WRANGELL AK
URWA2|15015595       |1629D392|AJK|56 14 26   |130 52 49   |UNUK R BL BLUE R NR WRANGELL AK
HOKA1|02400350       |DE24276E|BIS|34 02 24.50|085 52 00.51|COOSA RIVER AT HOKES BLUFF AL
ACTA1|02423500       |DD03B330|BMX|33 21 48   |086 48 47   |CAHABA RIVER NEAR ACTON AL
ADMA1|02400175       |DE23F332|BMX|34 05 12   |085 47 24   |COOSA RIVER AT ADAMS FERRY BR NR BALLPLAY AL
AKLA1|02450180       |176FB4C4|BMX|33 52 19   |086 55 20   |MULBERRY FORK NEAR ARKADELPHIA AL.
ALPA1|02406500       |1778E112|BMX|33 21 34   |086 14 03   |TALLADEGA CREEK AT ALPINE AL
ALRA1|02420000       |1766516A|BMX|32 24 41   |086 24 30   |ALABAMA RIVER NEAR MONTGOMERY AL.
ASHA1|02401390       |176664F0|BMX|33 50 23   |086 15 46   |BIG CANOE CREEK AT ASHVILLE AL
AVLA1|02444160       |16FAC410|BMX|33 12 38   |088 17 19   |TOMBIGBEE RIVER AT BEVILL L&D NR PICKENSVILLE AL
BDKA1|02448900       |DE13D3AE|BMX|32 48 25   |088 18 43   |BODKA CREEK NEAR GEIGER AL.
BESA1|02461500       |16373D44|BMX|33 25 09   |086 58 58   |VALLEY CREEK NEAR BESSEMER AL
BLDA1|02462500       |17757716|BMX|33 27 30   |087 21 15   |BLACK WARRIOR R AT BANKHEAD L&D NEAR BESSEMER AL
BLEA1|323539085101101|DDEA4062|BMX|32 35 39   |085 10 11   |BLEECKER PRECIPITATION STATION NEAR SALEM AL
BLPA1|02399200       |177070D6|BMX|34 17 20   |085 40 50   |LITTLE RIVER NEAR BLUE POND AL
BLSA1|02449882       |16374BD4|BMX|34 04 47   |086 36 28   |BLUE SPRINGS CREEK NEAR BLOUNTSVILLE AL.
CARA1|07265000       |177926F6|BMX|34 25 35   |091 40 04   |CROOKED CREEK NEAR HUMPHREY ARK.
CATA1|02421000       |176F62AC|BMX|32 18 26   |086 17 58   |CATOMA CREEK NEAR MONTGOMERY AL
CDPA1|02401000       |17862270|BMX|34 05 53   |086 02 17   |BIG WILLS CREEK NEAR REECE CITY
CHCA1|02403310       |DD53D294|BMX|33 36 07   |085 47 07   |CHOCCOLOCCO CREEK NEAR BOILING SPRING ALABAMA
CHGA1|02423425       |17D9064C|BMX|33 24 56   |086 44 23   |CAHABA RIVER NEAR CAHABA HEIGHTS AL
CHLA1|02407000       |17793580|BMX|33 17 30   |086 21 50   |COOSA RIVER AT CHILDERSBURG AL
CHWA1|02418760       |DD53C1E2|BMX|32 32 53   |085 28 50   |CHEWACLA CREEK AT CHEWACLA STATE PARK NR AUBURN
CISA1|0242354650     |165501CA|BMX|33 20 41.40|086 45 33.95|CAHABA VALLEY CR AT INDIAN TRAIL RD NR INDIAN SPRS
CKLA1|02424000       |DD64E34A|BMX|32 56 42   |087 08 21   |CAHABA RIVER AT CENTREVILLE AL
CLEA1|02455000       |176FA7B2|BMX|34 01 28   |086 34 27   |LOCUST FORK NEAR CLEVELAND AL.
CMCA1|02465292       |1779B394|BMX|33 10 29   |087 33 53   |CRIBBS MILL CREEK AT WW PLANT AT TUSCALOOSA AL.
CRDA1|02453500       |176F9228|BMX|33 45 27   |087 10 13   |MULBERRY FORK AT CORDOVA AL
CVCA1|0242354750     |16373396|BMX|33 18 48   |086 48 23   |CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM AL.
CWBA1|02423647       |DF000A26|BMX|33 05 53   |087 03 17   |CAHABA RIVER NEAR WEST BLOCTON AL
CWCA1|02423160       |1688B2D8|BMX|33 36 13   |086 32 57   |CAHABA RIVER NEAR WHITES CHAPEL AL
DLDA1|02467000       |163758A2|BMX|32 31 10   |087 52 42   |TOMBIGBEE R AT DEMOPOLIS L&D NEAR COATOPA AL.
ELLA1|02465493       |DE214548|BMX|32 59 50   |087 37 20   |ELLIOTTS CREEK AT MOUNDVILLE AL
ELRA1|02446500       |DE2412F4|BMX|33 15 25   |087 46 35   |SIPSEY RIVER NR ELROD AL
ELSA1|02400100       |17701530|BMX|34 03 54   |085 36 51   |TERRAPIN CREEK AT ELLISVILLE AL
ENSA1|02458450       |176F32D0|BMX|33 31 03   |086 52 45   |VILLAGE CREEK AT AVENUE W AT ENSLEY AL
