gauge_id;MINLON;MAXLON;MINLAT;MAXLAT
05495500;-91.14726;-91.10547;40.31963;40.3613
05501000;-91.67068;-91.63031;39.62637;39.66665
05503800;-92.28868;-91.96982;39.54382;39.77818
05507600;-91.69469;-91.65255;39.41466;39.45605
05508805;-91.64827;-91.27169;39.25511;39.57954
05514500;-91.69134;-91.65097;39.09438;39.13466
05525500;-87.33682;-87.29643;40.59795;40.63824
05556500;-89.5452;-88.99669;41.3371;41.72626
05584500;-91.25699;-90.43978;40.20921;40.69005
05585000;-91.25699;-90.41751;39.94637;40.69005
05591550;-88.55808;-88.28183;39.42411;39.58006
05592050;-89.03891;-88.72831;39.35108;39.60927
05592575;-88.98556;-88.77169;38.87854;39.03516
05593575;-89.51542;-89.2052;38.29703;38.47967
05593900;-89.42346;-89.20363;39.12494;39.36076
05595730;-89.23051;-89.00801;38.19507;38.4719
06037500;-111.09626;-110.50753;44.31931;44.86724
06043500;-111.55093;-110.85022;44.82996;45.56866
06154410;-108.71101;-108.56354;47.89517;48.01833
06188000;-110.42109;-109.8041;44.53928;45.23898
06191500;-110.92892;-109.70254;43.92574;45.27573
06221400;-109.71299;-109.37678;43.14187;43.38286
06224000;-109.65089;-109.17064;42.91874;43.21577
06278300;-107.43566;-107.25475;44.42483;44.56252
06280300;-109.89451;-109.42281;43.78135;44.2435
06289000;-107.88516;-107.48248;44.74541;45.03341
06291500;-107.93151;-107.54998;44.89563;45.15666
06311000;-107.1464;-107.01986;43.99693;44.17686
06332515;-102.96753;-102.92711;47.73609;47.77638
06339100;-103.24112;-102.74183;47.14514;47.44318
06339500;-102.57498;-102.53456;46.88624;46.92653
06344600;-103.34954;-103.30912;47.13012;47.17041
06350000;-102.58223;-102.54182;46.32295;46.36324
06352000;-102.71741;-102.67586;46.30689;46.34829
06353000;-101.86795;-101.82754;45.85023;45.89052
06354000;-101.86795;-101.82754;45.85023;45.89052
06360500;-101.64167;-101.60126;44.94548;44.98577
06404000;-103.35916;-103.31658;43.84874;43.89099
