nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
CE19D578,CMTN5,NM,36.0736,-106.112,CESWA1,HG,HG,VB,,,,,,,,,,,,,,,,,,,,,
CE1B6302,CNCN5,NM,35.4028,-104.19,CESPD1,HP,VB,,,,,,,,,,,,,,,,,,,,,,
CD22C130,CNJN5,NM,35.7181,-106.586,DRIEDU,TX,RW,US,UD,UP,TA,XR,PA,PP,PC,,,,,,,,,,,,,,
CE1B337E,COCN5,NM,35.6169,-106.316,CESPD1,HP,,,,,,,,,,,,,,,,,,,,,,,
16793422,COLN5,NM,35.1819,-104.9,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
32340650,COPN5,NM,33.3503,-105.686,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DD719584,COSN5,NM,36.9669,-105.506,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD6486AC,COTN5,NM,36.8753,-105.28,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
3232D0F6,COYN5,NM,36.0731,-106.657,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
F002219A,CRCN5,NM,36.3722,-104.969,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE1B45EE,CTDN5,NM,35.6181,-106.323,CESPD1,HG,,,,,,,,,,,,,,,,,,,,,,,
CD0DB0DC,CTNN5,NM,36.47,-103.124,NMSTD1,,,,,,,,,,,,,,,,,,,,,,,,
1682359E,CWAN5,NM,35.0939,-106.624,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
324BF5EA,CWRN5,NM,36.9767,-107.629,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD64A040,CYCN5,NM,35.9164,-105.164,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
F0004188,CYON5,NM,35.9647,-105.905,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CD0AE294,CZZN5,NM,33.6475,-105.894,NMSTD1,DY,DJ,DH,TA,PP,,,,,,,,,,,,,,,,,,,
CE1A728E,DARN5,NM,33.3492,-104.852,CESPD1,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9DB77E,DAWN5,NM,36.6811,-104.786,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
F0003718,DIXN5,NM,36.2108,-105.913,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
52146036,DLCN5,NM,36.935,-107,BIAPRR,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
F00097E0,DLPN5,NM,34.0633,-104.307,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
326EB0CE,DPKN5,NM,36.4228,-106.772,DAFS00,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
324BE69C,DPRN5,NM,33.6939,-108.062,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3283F528,DTLN5,NM,34.2925,-107.768,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
325B41FA,DUNN5,NM,32.8247,-105.183,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
16F3C24C,EAAN5,NM,35.1022,-106.493,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD9D9192,ECNN5,NM,33.4094,-105.741,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17CEB068,EGCN5,NM,36.5322,-105.228,USGS01,HT,VB,,,,,,,,,,,,,,,,,,,,,,
DDCA418C,EGLN5,NM,36.5314,-105.229,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
16F695F0,EGPN5,NM,35.165,-106.473,USGS01,PC,,,,,,,,,,,,,,,,,,,,,,,
CD12C740,ELIN5,NM,33.8075,-103.843,NMSTD1,,,,,,,,,,,,,,,,,,,,,,,,
3486F724,ELVN5,NM,36.5942,-106.733,BURUCR,HP,,,,,,,,,,,,,,,,,,,,,,,
1786D2F4,EMBN5,NM,36.2053,-105.964,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
163CE656,ETDN5,NM,36.6486,-104.559,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
F3A00632,FCAN5,NM,35.24,-106.701,SSCAFC,PC,VB,,,,,,,,,,,,,,,,,,,,,,
516A201E,FLSC2,CO,38.1,-103.767,SOCDWR,HG,,,,,,,,,,,,,,,,,,,,,,,
3332925E,FQDN5,NM,36.7414,-108.248,DAFS00,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
1692F71E,FRMN5,NM,36.7231,-108.226,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
F0026290,FSCN5,NM,34.5083,-104.278,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
