usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
08066200	  7.51	  21.50	  265.00	  0.00	  -99.00	  89.00	  -99.00	  -99.00	  47.00	  4.90	  38.00
08068520	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08070000	  4.74	  42.50	  284.00	  0.20	  -99.00	  91.00	  -99.00	  -99.00	  47.00	  4.90	  39.00
08070500	  8.14	  28.80	  290.00	  0.20	  -99.00	  70.00	  -99.00	  -99.00	  46.50	  4.90	  0.00
08080500	  7.45	  175.00	  2419.00	  0.80	  -99.00	  36.00	  -99.00	  -99.00	  23.00	  3.00	  27.00
08080950	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08082000	  9.52	  164.00	  2640.00	  0.20	  -99.00	  88.00	  -99.00	  -99.00	  22.50	  3.00	  27.00
08082500	  5.24	  281.00	  2169.00	  1.00	  -99.00	  72.00	  -99.00	  -99.00	  26.50	  3.40	  26.00
08082700	  6.12	  32.70	  1416.00	  0.40	  -99.00	  55.00	  -99.00	  -99.00	  26.00	  3.60	  29.00
08083100	  11.05	  39.20	  2187.00	  0.00	  -99.00	  0.00	  -99.00	  -99.00	  20.00	  3.20	  29.00
08084800	  5.04	  66.70	  1736.00	  0.20	  -99.00	  1.00	  -99.00	  -99.00	  25.00	  3.60	  29.00
08085500	  4.53	  198.00	  1816.00	  0.20	  -99.00	  38.00	  -99.00	  -99.00	  26.50	  3.50	  28.00
08086212	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08088000	  4.24	  317.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  28.00	  3.40	  -99.00
08095000	  9.76	  84.30	  1111.00	  0.00	  -99.00	  20.00	  -99.00	  -99.00	  31.50	  3.90	  33.00
08095300	  19.00	  31.60	  897.00	  0.40	  -99.00	  9.00	  -99.00	  -99.00	  32.00	  4.00	  36.00
08101000	  11.10	  72.70	  1236.00	  0.20	  -99.00	  38.00	  -99.00	  -99.00	  31.00	  3.90	  32.00
08103800	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08103900	  31.34	  11.70	  1224.00	  0.00	  -99.00	  16.00	  -99.00	  -99.00	  29.50	  4.00	  36.00
08104900	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08109700	  4.49	  40.10	  471.00	  0.60	  -99.00	  56.00	  -99.00	  -99.00	  36.50	  4.40	  39.00
08109800	  4.20	  34.60	  438.00	  0.60	  -99.00	  48.00	  -99.00	  -99.00	  37.00	  4.40	  39.00
08111700	  4.83	  46.70	  317.00	  0.80	  -99.00	  35.00	  -99.00	  -99.00	  41.00	  4.70	  43.00
08126500	  3.52	  245.00	  2099.00	  0.40	  -99.00	  57.00	  -99.00	  -99.00	  18.50	  3.10	  34.00
08128000	  11.90	  34.50	  2355.00	  0.20	  -99.00	  38.00	  -99.00	  -99.00	  16.50	  3.30	  34.00
08128400	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08128500	  7.78	  109.00	  2519.00	  0.00	  -99.00	  7.00	  -99.00	  -99.00	  18.50	  3.10	  34.00
08129300	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08130500	  14.90	  30.40	  2416.00	  0.00	  -99.00	  30.00	  -99.00	  -99.00	  18.00	  3.30	  36.00
08134000	  9.46	  70.50	  2474.00	  0.00	  -99.00	  27.00	  -99.00	  -99.00	  20.00	  3.10	  33.00
08144500	  7.98	  60.00	  2266.00	  0.20	  -99.00	  79.00	  -99.00	  -99.00	  23.50	  3.50	  33.00
08146000	  8.66	  144.00	  1971.00	  0.00	  -99.00	  76.00	  -99.00	  -99.00	  26.00	  3.70	  33.00
08150000	  10.00	  66.60	  2198.00	  0.00	  -99.00	  95.00	  -99.00	  -99.00	  23.50	  3.50	  34.00
