OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_,ZONE_1_SHEF,ZONE_2_SHEF,ZONE_3_SHEF,ZONE_4_SHEF,ZONE_5_SHEF,ZONE_6_SHEF
"0","461",LCWA3,-111.3635744674,-110.1971199794,34.2885511923,35.0741303456,CBRFC,"15020008",fgz,litcol,LCWA3,f,LITTLE COLORADO - WINSLOW- NR,,"3","0","1828","2133","0","0","0",LCWA3LLH,LCWA3LMH,LCWA3LUH,,,
"0","464",LCWU1,-111.8436235503,-111.7208138978,40.5760007145,40.6154111367,CBRFC,"16020204",slc,sixcks,LCWU1,f,LITTLE COTTONWOOD CK - CRESTWOOD PARK,,"2","0","2133","0","0","0","0",LCWU1LLF,LCWU1LUF,,,,
"0","465",LCZA3,-109.4619395948,-109.0057436494,34.1676580221,34.5950396692,CBRFC,"15020002",fgz,litcol,LCZA3,d,LITTLE COLORADO - ZION RES- ABV- ST. JOHNS- NR,,"3","0","1828","2133","0","0","0",LCZA3LLH,LCZA3LMH,LCZA3LUH,,,
"0","466",LEMC2,-107.7275764637,-107.5572372478,37.3799754923,37.5917954548,CBRFC,"14080104",gjt,sanjuan,LEMC2,d,FLORIDA - LEMON RES- DURANGO- NR,,"3","0","2895","3352","0","0","0",LEMC2HLF,LEMC2HMF,LEMC2HUF,,,
"0","469",LESA3,-109.5359038006,-109.3444149530,31.5467557030,31.7028035011,CBRFC,"15080301",gjt,whvam,LESA3,d,LESLIE CK - MCNEAL- NR,,"2","0","1615","0","0","0","0",LESA3HLH,LESA3HUH,,,,
"0","470",LFBC2,-107.5388858055,-107.2149390455,37.8355532903,38.0088603597,CBRFC,"14020002",gjt,gun,LFBC2,f,LAKE FORK - BLO LAKE SAN CRISTOBAL,,"2","0","3352","0","0","0","0",LFBC2HLF,LFBC2HUF,,,,
"0","471",LFGC2,-107.5908835904,-107.1793671264,37.9470212728,38.3041659151,CBRFC,"14020002",gjt,gun,LFGC2,d,LAKE FORK - GATEVIEW,,"3","0","2895","3352","0","0","0",LFGC2LLF,LFGC2LMF,LFGC2LUF,,,
"0","472",LGNU1,-111.7836017497,-111.4711549929,41.7097623157,42.0940867643,CBRFC,"16010203",slc,bear,LGNU1,f,LOGAN - LOGAN- NR- STATE DAM- ABV,,"3","0","2133","2590","0","0","0",LGNU1HLF,LGNU1HMF,LGNU1HUF,,,
"0","473",LHBA3,-110.3155314137,-109.1903405009,34.6163549628,35.3100565547,CBRFC,"15020008",fgz,litcol,LHBA3,d,LITTLE COLORADO - HOLBROOK,,"2","0","1828","0","0","0","0",LHBA3LLH,LHBA3LUH,,,,
"0","474",LILC2,-108.6278207648,-107.3007773398,40.5115997639,41.6417978982,CBRFC,"14050003",gjt,whyam,LILC2,d,LITTLE SNAKE - LILY- NR,,"3","0","2286","2590","0","0","0",LILC2LLF,LILC2LMF,LILC2LUF,,,
