OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,FCSTGROUP,NWSID,AREA,DESCRIPT,TVA_NUM
"0","273",WOCT2,-95.8254166666,-95.0920833333,33.0412500000,33.3620833333,FGUREDLA,WOCT2,535.6784571050,WHITE OAK CR/TALCO,"-999"
"0","274",OXDM6,-89.5545833333,-89.1420833333,34.1495833333,34.4120833333,FGUYAZMS,OXDM6,246.4126936840,YOCONA NR OXFORD,"-999"
"0","275",ROST1,-89.5587500000,-89.1170833333,34.8870833333,35.2162500000,FGWESTTN,ROST1,282.7504105250,WOLF @ ROSSVILLE,"-999"
"0","276",OBNT1,-89.2837500000,-88.6441458333,36.1704166666,36.4787500000,FGWESTTN,OBNT1,377.0718408510,OBION NR OBION,"-999"
"0","277",SFRA4,-90.2504166666,-89.8629166666,36.4245833333,36.9495833333,FGSTFRAR,SFRA4,339.7374079180,ST.FRAN/ST.FRANCIS,"-999"
"0","278",PBGT2,-95.0879166666,-94.8504166666,32.9537500000,33.2287500000,FGUREDLA,PBGT2,155.2352436690,B.CYPRESS/PITTSBURG,"-999"
"0","279",LEGM6,-89.8379166666,-89.7337500000,34.8370833333,34.9329166666,FGUYAZMS,LEGM6,25.3996764430,COLDWATER/LEWISBURG,"-999"
"0","280",HLST1,-89.4879166666,-89.1712500000,35.5745833333,35.9495833333,FGWESTTN,HLST1,248.2658090090,SF.FORKED DEER/HALLS,"-999"
"0","281",TPGM6,-89.3962500000,-88.9129166666,34.5912500000,34.8662500000,FGUYAZMS,TPGM6,360.4745138830,TIPPAH NR POTTS CAMP,"-999"
"0","282",BRCM6,-89.3712500000,-89.0087500000,33.9370833333,34.2454166666,FGLYAZMS,BRCM6,268.6431436590,SKUNA @ BRUCE,"-999"
"0","283",LEWM6,-89.8254166666,-89.4379166666,34.6245833333,34.9120833333,FGUYAZMS,LEWM6,228.8087308500,P.ROOST CR/LEWISBURG,"-999"
"0","284",SFKT1,-88.9920833333,-88.4337500000,36.0620833333,36.2954166666,FGWESTTN,SFKT1,228.6847109270,SF.OBION NR KENTON,"-999"
"0","285",ALAT1,-89.1212500000,-88.7962500000,35.6579166666,35.8870833333,FGWESTTN,ALAT1,161.9647320780,MF Forked Deer near Alamo,"-999"
"0","286",GERT1,-89.8129166666,-89.4004166666,34.9787500000,35.2329166666,FGWESTTN,GERT1,200.3300484180,WOLF @ GERMANTOWN,"-999"
"0","287",SHHM6,-89.9254166666,-89.6504166666,34.5579166666,34.7412500000,FGUYAZMS,SHHM6,120.8667400190,HICKAHALA/SENATOBIA,"-999"
"0","288",ORCT2,-95.2170833333,-94.7045833333,32.5912500000,33.0079166666,FGUREDLA,ORCT2,430.6026477930,L.CYPRESS/ORE CITY,"-999"
"0","289",NMDM7,-89.6254166666,-88.4420833333,36.4245833333,37.1537500000,FGMISS,NMDM7,1794.4219587900,MISS @ NEW MADRID,"-999"
"0","290",TYTM6,-90.6129166666,-90.1462500000,31.1495833333,31.6329166666,FGLPERLA,TYTM6,499.3370497120,BOG.CHITTO/TYLERTOWN,"-999"
"0","291",BTNA4,-93.1129166666,-92.5712500000,34.4954166666,34.8579166666,FGUOUAAR,BTNA4,545.9518005020,SALINE @ BENTON,"-999"
"0","292",NAPT2,-95.3837500000,-94.6170833333,33.1495833333,33.7245833333,FGUREDLA,NAPT2,866.0656872800,SULPHUR @ NAPLES,"-999"
"0","293",BRNT1,-89.7837500000,-89.4504166666,35.1537500000,35.5204166666,FGWESTTN,BRNT1,234.5367593910,LOSAHATCHI/BRUNSWICK,"-999"
