RFC_ID,NWS_loc_ID,MINLON,MAXLON,MINLAT,MAXLAT,NAME
WGRFC,LWFT2,-97.92125,-97.65875,32.75792,32.99958,LWFT2
WGRFC,DBY4,-99.40042,-98.98375,29.01625,29.44125,DBYT24
WGRFC,VMAT2,-97.92542,-97.46292,31.62875,31.82042,VMAT2
WGRFC,GROT2,-98.29625,-97.73375,32.10792,32.46208,GROT2
WGRFC,BOYT2,-97.85042,-97.52958,32.96625,33.33292,BOYT2
WGRFC,BNBT2,-97.73375,-97.39208,32.45375,32.68292,BNBT2
WGRFC,FLWT2,-97.70042,-97.40042,32.73708,32.88292,FLWT2
WGRFC,RRLT2,-97.33375,-96.68792,33.34125,33.71625,RRLT2
WGRFC,DCJT2,-97.82958,-97.28792,33.11208,33.65375,DCJT2
WGRFC,BPRT2,-98.22125,-97.81708,32.98292,33.43708,BPRT2
WGRFC,ADOT2,-97.88792,-97.54625,32.63292,32.89125,ADOT2
WGRFC,BRPT2,-98.07958,-97.59625,33.22042,33.59958,BRPT2
WGRFC,GLLT2,-97.56708,-97.14625,33.56625,33.73292,GLLT2
WGRFC,GPET2,-97.12958,-96.91292,32.63292,32.74958,GPET2
WGRFC,BDWT2,-97.00875,-96.61292,32.24958,32.55375,BDWT2
WGRFC,DAWT2,-97.10042,-96.68375,31.79542,32.19125,DAWT2
WGRFC,EAMT2,-97.77125,-97.40042,32.85792,33.15375,EAMT2
WGRFC,SGET2,-97.63375,-97.16708,33.30792,33.69125,SGET2
WGRFC,FWHT2,-97.63792,-97.32958,32.63708,32.80375,FWHT2
WGRFC,FWOT2,-97.46708,-97.32542,32.72042,32.80792,FWOT2
WGRFC,TRN2,-96.42958,-96.18375,32.44958,32.94542,TRNT22
WGRFC,TRN1,-96.21292,-95.90042,32.47042,32.79958,TRNT21
WGRFC,FFLU,-96.84208,-96.42125,31.71208,32.11208,FFLT2U
WGRFC,LOL3,-95.92958,-95.68792,31.90375,32.21625,LOLT23
WGRFC,JPLT2,-97.27125,-96.95042,32.39958,32.65375,JPLT2
WGRFC,LEWT2,-97.25042,-96.71708,33.06208,33.49542,LEWT2
WGRFC,RCEU,-97.34208,-96.92125,32.15375,32.45375,RCET2U
WGRFC,CART2,-97.13375,-96.82125,32.91625,33.08292,CART2
WGRFC,LOL2,-96.54625,-96.04208,31.62458,31.94125,LOLT22
WGRFC,LOLT2,-96.21708,-95.62542,31.61625,32.07042,LOLT2
WGRFC,MDST2,-96.15875,-95.77125,30.73708,31.13708,MDST2
WGRFC,CRKU,-96.24208,-95.51708,31.34542,31.74125,CRKT2U
WGRFC,CRKT2,-95.72542,-95.34625,31.28708,31.59542,CRKT2
WGRFC,LVD1,-96.15042,-95.49208,30.95792,31.39125,LVDT21
WGRFC,FRHT2,-96.78792,-96.36708,32.79958,33.20375,FRHT2
WGRFC,RCET2,-97.06708,-96.51292,32.05792,32.34958,RCET2
WGRFC,LBYT2,-94.97958,-94.63792,30.05375,30.48292,LBYT2
WGRFC,MBFT2,-94.92542,-94.63375,29.89958,30.14542,MBFT2
WGRFC,ASRT2,-100.09208,-99.67542,28.27458,28.86625,ASRT2
WGRFC,TNLU,-99.07542,-98.82542,28.80375,29.38292,TNLT2U
WGRFC,PLFU,-100.35458,-99.88375,27.58708,27.92875,PLFT2U
WGRFC,AQIT2,-97.25458,-97.04625,31.84125,31.97875,AQIT2
WGRFC,FFLT2,-96.68792,-96.13375,31.83708,32.31625,FFLT2
WGRFC,PLFT2,-101.03792,-99.76708,27.78708,28.54542,PLFT2
WGRFC,RKDU,-97.91708,-97.34625,30.42042,30.60375,RKDT2U
WGRFC,LRIN,-97.81292,-97.34208,30.99958,31.16625,LRIT2N
WGRFC,ACTT2,-97.50042,-97.17125,31.34542,31.70792,ACTT2
WGRFC,GNGT2,-97.93792,-97.29208,30.58292,30.88708,GNGT2
WGRFC,DBYT2,-99.55458,-99.04208,28.69125,29.17875,DBYT2
WGRFC,LVD2,-95.54625,-95.17542,30.95375,31.35792,LVDT22
WGRFC,LLGU,-98.15042,-97.73375,29.72458,29.97875,LLGT2U
WGRFC,LULU,-97.90875,-97.59208,29.86208,30.08708,LULT2U
WGRFC,COTU,-99.93375,-99.46708,28.04125,28.41625,COTT2U
WGRFC,GRST2,-96.89625,-96.51292,31.54125,31.80375,GRST2
WGRFC,COTT2,-99.76708,-99.23375,28.25792,28.91208,COTT2
WGRFC,RVRT2,-96.00042,-95.35875,30.64542,31.08292,RVRT2
WGRFC,CAAN5,-107.87542,-107.15458,32.84542,33.52042,CAAN5
WGRFC,RHBN5,-107.77542,-106.86292,32.51208,32.95375,RHBN5
WGRFC,LBDN5,-107.18792,-106.88375,32.39125,32.61208,LBDN5
WGRFC,EPRT2,-107.08792,-106.49208,31.74958,32.52458,EPRT2
WGRFC,FQGT2,-106.60042,-105.32125,30.79958,32.16208,FQGT2
WGRFC,CDET2,-105.73375,-104.64208,30.09542,31.32042,CDET2
WGRFC,LFKU,-95.94625,-95.57125,32.86625,33.14958,LFKT2U
WGRFC,FEST2,-96.43792,-96.23375,31.50375,31.68708,FEST2
WGRFC,WBAT2,-97.55458,-97.05875,31.48292,31.92875,WBAT2
WGRFC,LDOU,-100.00042,-99.58792,27.45375,27.62458,LDOT2U
WGRFC,FAL3,-99.96708,-99.45875,26.97458,27.47875,FALT23
WGRFC,LLGT2,-98.11708,-97.65875,29.60375,29.86625,LLGT2
WGRFC,LFKT2,-95.70458,-95.35042,32.77458,33.07875,LFKT2
WGRFC,GNLU,-98.11292,-97.75042,29.42042,29.81625,GNLT2U
WGRFC,LDOT2,-99.85042,-99.42958,27.47042,28.09958,LDOT2
WGRFC,QTMT2,-95.58375,-95.35875,32.72875,32.94542,QTMT2
WGRFC,MLAT2,-95.82542,-95.47542,32.47458,32.77875,MLAT2
WGRFC,RKDT2,-97.57542,-97.02958,30.40375,30.69958,RKDT2
WGRFC,LULT2,-97.87125,-97.45458,29.69542,29.96625,LULT2
WGRFC,KLGT2,-95.05042,-94.89208,32.24542,32.39542,KLGT2
WGRFC,LLST2,-96.66292,-96.18375,31.29958,31.72042,LLST2
WGRFC,JKST2,-95.36708,-95.01292,31.96625,32.36625,JKST2
WGRFC,LPTT2,-95.92125,-95.24208,32.04542,32.54125,LPTT2
WGRFC,SKCT2,-95.08375,-94.87125,31.92042,32.26208,SKCT2
WGRFC,TIDU,-99.55458,-98.85458,28.31208,28.86208,TIDT2U
WGRFC,FAL1,-99.84208,-98.96292,26.88292,27.73292,FALT21
WGRFC,DMYT2,-97.31708,-96.90458,30.31208,30.56625,DMYT2
WGRFC,BRYT2,-96.37125,-96.10458,30.85375,31.07458,BRYT2
WGRFC,TNLT2,-99.00458,-98.54208,28.55792,28.98292,TNLT2
WGRFC,HIBT2,-97.36708,-96.62542,31.10792,31.90375,HIBT2
WGRFC,TIL4,-99.00875,-98.63792,27.52875,27.99958,TILT24
WGRFC,BSNT2,-95.38375,-95.07542,32.59542,32.97875,BSNT2
WGRFC,CUST2,-94.80875,-94.62125,31.75375,31.99958,CUST2
WGRFC,LMTT2,-94.76292,-94.51292,32.07875,32.31208,LMTT2
WGRFC,EAST2,-96.66708,-96.23375,31.16625,31.47042,EAST2
WGRFC,TIDT2,-98.92125,-98.54208,28.32875,28.69958,TIDT2
WGRFC,LCRT2,-94.92958,-94.59625,32.16625,32.39125,LCRT2
WGRFC,DEYT2,-97.11292,-96.78375,30.37875,30.67875,DEYT2
WGRFC,NCST2,-95.70875,-95.27542,31.85792,32.14958,NCST2
WGRFC,TIL5,-99.54208,-99.04208,27.71625,28.13292,TILT25
WGRFC,GNLM,-97.82542,-97.45042,29.42875,29.64958,GNLT2M
WGRFC,NGET2,-96.61292,-96.12125,30.96625,31.37042,NGET2
WGRFC,GNLT2,-97.77958,-97.43375,29.47875,29.85792,GNLT2
WGRFC,BBZT2,-96.89625,-96.52958,30.57458,30.87042,BBZT2
WGRFC,TILT2,-98.90042,-98.48792,27.79958,28.35792,TILT2
WGRFC,LMVT2,-94.68792,-94.40458,31.95375,32.12458,LMVT2
WGRFC,GDWT2,-95.28792,-94.89625,32.32042,32.70375,GDWT2
WGRFC,VJUT2,-97.36708,-96.58375,30.71208,31.40792,VJUT2
WGRFC,ALOU,-94.95042,-94.66708,31.87875,32.21208,ALOT2U
WGRFC,DLWT2,-97.51708,-97.08375,29.48708,29.90792,DLWT2
