SiteID	SiteCode	SiteName	Latitude	Longitude	MINLON	MAXLON	MINLAT	MAXLAT	LatLongDat	Elevation_	VerticalDa	LocalX	LocalY	LocalProje	PosAccurac	State	County	Comments	HUC8	DrainageAr
318.0	03470000	LITTLE PIGEON RIVER AT SEVIERVILLE, TENN.	35.8783	-83.5778	-83.75796	-83.2347	35.56553	35.92214	3.0	None	None	None	None	None	None	TN	None	Catchment outlet location	06010107	914.3
319.0	01200000	TENMILE RIVER NEAR GAYLORDSVILLE, CT	41.6589	-73.5289	-73.68598	-73.39185	41.52855	42.07264	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	01100005	525.8
320.0	06426500	BELLE FOURCHE RIVER BELOW MOORCROFT, WYO.	44.3219	-104.94	-105.91979	-104.70498	43.59939	44.41426	3.0	None	None	None	None	None	None	WY	None	Catchment outlet location	10120201	4377.1
321.0	01348000	EAST CANADA CREEK AT EAST CREEK NY	43.0167	-74.7411	-74.93578	-74.44585	42.99081	43.39742	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	02020004	748.5
322.0	03175500	WOLF CREEK NEAR NARROWS, VA	37.3056	-80.85	-81.44875	-80.82135	37.03262	37.34758	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	05050002	577.6
323.0	13337000	LOCHSA RIVER NR LOWELL, ID	46.1506	-115.5864	-115.7448	-114.30085	46.11194	46.75601	3.0	None	None	None	None	None	None	ID	None	Catchment outlet location	17060303	3056.2
324.0	12413000	N FK COEUR D ALENE RIVER AT ENAVILLE ID	47.5722	-116.2528	-116.62382	-115.67147	47.49922	48.08913	3.0	None	None	None	None	None	None	ID	None	Catchment outlet location	17010301	2318.1
325.0	05435500	PECATONICA RIVER AT FREEPORT, IL	42.3036	-89.6158	-90.45822	-89.49337	42.24969	43.0479	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	07090003	3434.3
326.0	06334500	LITTLE MISSOURI R AT CAMP CROOK SD	45.5469	-103.9731	-105.16991	-103.83845	44.51175	45.63074	3.0	None	None	None	None	None	None	SD	None	Catchment outlet location	10110201	5102.3
327.0	10296500	W WALKER R NR COLEVILLE, CA	38.5153	-119.4542	-119.66498	-119.3292	38.1159	38.56	3.0	None	None	None	None	None	None	CA	None	Catchment outlet location	16050302	647.5
328.0	05514500	CUIVRE RIVER NEAR TROY, MO	39.0164	-90.9833	-91.79966	-90.93897	38.80024	39.37349	3.0	None	None	None	None	None	None	MO	None	Catchment outlet location	07110008	2338.8
329.0	13351000	PALOUSE RIVER AT HOOPER, WA	46.7586	-118.1478	-118.16108	-116.42968	46.45356	47.63921	3.0	None	None	None	None	None	None	WA	None	Catchment outlet location	17060108	6475.0
330.0	07067000	CURRENT RIVER AT VAN BUREN, MO	36.9914	-91.0147	-92.02747	-90.93763	36.86531	37.5927	3.0	None	None	None	None	None	None	MO	None	Catchment outlet location	11010008	4317.5
331.0	07057500	NORTH FORK RIVER NEAR TECUMSEH, MO	36.6228	-92.2481	-92.32742	-91.88332	36.58619	37.16361	3.0	None	None	None	None	None	None	MO	None	Catchment outlet location	11010006	1453.0
332.0	11342000	SACRAMENTO R A DELTA CA	40.9397	-122.4161	-122.56452	-122.14541	40.86546	41.43037	3.0	None	None	None	None	None	None	CA	None	Catchment outlet location	18020005	1100.8
333.0	02383500	COOSAWATTEE RIVER NEAR PINE CHAPEL, GA.	34.5642	-84.8331	-84.90657	-84.17084	34.26559	34.89716	3.0	None	None	None	None	None	None	GA	None	Catchment outlet location	03150102	2152.3
334.0	03550000	VALLEY RIVER AT TOMOTLA, N. C.	35.1389	-83.9806	-83.99542	-83.66797	35.10727	35.27641	3.0	None	None	None	None	None	None	NC	None	Catchment outlet location	06020002	269.4
335.0	10309000	EAST FORK CARSON RIVER NEAR GARDNERVILLE, NV	38.8472	-119.7028	-119.94827	-119.525	38.33253	38.88078	3.0	None	None	None	None	None	None	NV	None	Catchment outlet location	16050201	922.0
336.0	02456500	LOCUST FORK AT SAYRE, AL.	33.7097	-86.9833	-87.02706	-86.11219	33.60319	34.29309	3.0	None	None	None	None	None	None	AL	None	Catchment outlet location	03160111	2292.2
337.0	04185000	TIFFIN R AT STRYKER OH	41.5044	-84.4297	-84.60241	-84.13332	41.46108	42.05099	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	04100006	1061.9
338.0	06811500	LITTLE NEMAHA RIVER AT AUBURN, NE	40.3925	-95.8128	-96.59628	-95.76891	40.30409	40.86067	3.0	None	None	None	None	None	None	NE	None	Catchment outlet location	10240006	2053.9
339.0	11497500	SPRAGUE RIVER NEAR BEATTY,OREG.	42.4472	-121.2375	-121.24806	-120.65398	42.17775	42.67601	3.0	None	None	None	None	None	None	OR	None	Catchment outlet location	18010202	1328.7
340.0	05502040	HADLEY CREEK AT KINDERHOOK, IL	39.6931	-91.1486	-91.17477	-90.88481	39.65427	39.83592	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	07110004	188.3
341.0	01060000	ROYAL RIVER AT YARMOUTH, ME	43.7992	-70.1792	-70.424	-70.07572	43.76152	44.07648	3.0	None	None	None	None	None	None	ME	None	Catchment outlet location	01060001	365.2
342.0	12358500	MIDDLE FORK FLATHEAD RIVER NEAR WEST GLACIER MT	48.4953	-114.0092	-114.09923	-112.85942	47.88666	48.87234	3.0	None	None	None	None	None	None	MT	None	Catchment outlet location	17010207	2921.5
343.0	01514000	OWEGO CREEK NEAR OWEGO NY	42.1292	-76.2708	-76.3482	-76.09574	42.10267	42.51761	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	02050103	479.2
344.0	02472000	LEAF RIVER NR COLLINS, MS	31.7069	-89.4069	-89.7195	-89.18375	31.69114	32.38104	3.0	None	None	None	None	None	None	MS	None	Catchment outlet location	03170004	1924.4
345.0	01674500	MATTAPONI RIVER NEAR BEULAHVILLE, VA	37.8878	-77.1633	-77.8563	-77.00809	37.78669	38.33911	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	02080105	1556.6
346.0	12027500	CHEHALIS RIVER NEAR GRAND MOUND, WASH.	46.7761	-123.0344	-123.49772	-122.40789	46.31191	46.87683	3.0	None	None	None	None	None	None	WA	None	Catchment outlet location	17100103	2318.1
347.0	07058000	BRYANT CREEK NEAR TECUMSEH, MO	36.6258	-92.3044	-92.32742	-91.88332	36.56953	37.16361	3.0	None	None	None	None	None	None	MO	None	Catchment outlet location	11010006	1476.3
348.0	08189500	MISSION RIVER AT REFUGIO, TX	28.2917	-97.2789	-97.98676	-97.23854	28.25002	28.76911	3.0	None	None	None	None	None	None	TX	None	Catchment outlet location	12100406	1787.1
349.0	02448000	NOXUBEE RIVER AT MACON, MS	33.1022	-88.5611	-89.19338	-88.47432	32.8908	33.47238	3.0	None	None	None	None	None	None	MS	None	Catchment outlet location	03160108	1989.1
350.0	01321000	SACANDAGA RIVER NEAR HOPE NY	43.3528	-74.2708	-74.66499	-74.02508	43.18662	43.7182	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	02020002	1271.7
351.0	03111500	SHORT C NR DILLONVALE OH	40.1933	-80.7344	-81.05298	-80.68804	40.14879	40.3471	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	05030106	318.6
352.0	04201500	ROCKY R NR BEREA OH	41.4067	-81.8872	-82.01533	-81.63372	41.04865	41.43442	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	04110001	691.5
353.0	02296750	PEACE RIVER AT ARCADIA, FLA.	27.2219	-81.8761	-82.07785	-81.43378	27.25421	28.2024	3.0	None	None	None	None	None	None	FL	None	Catchment outlet location	03100101	3540.5
354.0	04164000	CLINTON RIVER NEAR FRASER, MICH.               .	42.5772	-82.9514	-83.38435	-82.89442	42.3955	42.90626	3.0	None	None	None	None	None	None	MI	None	Catchment outlet location	04090003	1150.0
355.0	02030500	SLATE RIVER NEAR ARVONIA, VA	37.7028	-78.3778	-78.77282	-78.36204	37.41592	37.73921	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	02080203	585.3
356.0	03574500	PAINT ROCK RIVER NEAR WOODVILLE AL	34.6242	-86.3064	-86.3992	-86.01342	34.59485	35.1181	3.0	None	None	None	None	None	None	AL	None	Catchment outlet location	06030002	828.8
357.0	02138500	LINVILLE RIVER NEAR NEBO N C	35.7947	-81.8903	-81.98203	-81.79622	35.75702	36.14279	3.0	None	None	None	None	None	None	NC	None	Catchment outlet location	03050101	172.8
358.0	05458500	Cedar River at Janesville, IA	42.6483	-92.465	-93.41191	-92.25126	42.58297	43.96026	3.0	None	None	None	None	None	None	IA	None	Catchment outlet location	07080201	4302.0
359.0	01574000	WEST CONEWAGO CREEK NEAR MANCHESTER, PA.	40.0822	-76.7203	-77.4522	-76.68731	39.67389	40.19715	3.0	None	None	None	None	None	None	PA	None	Catchment outlet location	02050306	1320.9
360.0	05542000	MAZON RIVER NEAR COAL CITY, IL	41.2861	-88.3597	-88.671	-88.12275	40.9124	41.33568	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	07120005	1178.5
361.0	02143500	INDIAN CREEK NEAR LABORATORY N C	35.4222	-81.2644	-81.50711	-81.24215	35.35708	35.60121	3.0	None	None	None	None	None	None	NC	None	Catchment outlet location	03050102	179.2
362.0	05320500	LE SUEUR RIVER NEAR RAPIDAN, MN	44.1111	-94.0411	-94.17012	-93.30109	43.62864	44.25604	3.0	None	None	None	None	None	None	MN	None	Catchment outlet location	07020011	2874.9
363.0	04198000	SANDUSKY R NR FREMONT OH	41.3078	-83.1589	-83.53591	-82.62106	40.58205	41.33028	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	04100011	3240.1
364.0	03265000	STILLWATER R AT PLEASANT HILL OH	40.0578	-84.3561	-84.90237	-84.26663	39.91133	40.34293	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	05080001	1302.8
365.0	03155500	HUGHES RIVER AT CISCO, WV	39.1194	-81.2778	-81.32377	-80.7172	38.98648	39.40975	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	05030203	1170.7
366.0	02018000	CRAIG CREEK AT PARR, VA	37.6658	-79.9117	-80.55587	-79.87847	37.25345	37.70171	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	02080201	852.1
367.0	01543500	SINNEMAHONING CREEK AT SINNEMAHONING, PA	41.3172	-78.1033	-78.71032	-78.06626	41.09449	41.71357	3.0	None	None	None	None	None	None	PA	None	Catchment outlet location	02050202	1774.2
368.0	03339500	SUGAR CREEK AT CRAWFORDSVILLE, IND.	40.0489	-86.8994	-86.93537	-86.22049	39.93633	40.29294	3.0	None	None	None	None	None	None	IN	None	Catchment outlet location	05120110	1318.3
369.0	07252000	MULBERRY RIVER NEAR MULBERRY, ARK.	35.5769	-94.0153	-94.09542	-93.38469	35.56152	35.88481	3.0	None	None	None	None	None	None	AR	None	Catchment outlet location	11110201	966.1
370.0	05584500	LA MOINE RIVER AT COLMAR, IL	40.3292	-90.8986	-91.26226	-90.45154	40.20418	40.68578	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	07130010	1696.5
371.0	05383000	LA CROSSE RIVER NEAR WEST SALEM, WI	43.9014	-91.1181	-91.16227	-90.55569	43.71612	44.14773	3.0	None	None	None	None	None	None	WI	None	Catchment outlet location	07040006	1030.8
