01010000  38 .............................................................................**************************************
01010500  42 .........................................................................******************************************
01011000  57 ..........................................................*********************************************************
01011500  37 ..............................................................................*************************************
01013500  64 ..............................*****.....................***********************************************************
01014000  62 .....................................................**************************************************************
01018000  41 ....................................................................*****************************************......
01021200  33 ..................................................................................*********************************
01021500  63 ................................***.************........************************************************...........
01022500  40 ...........................................................................****************************************
01023000  60 ....................................**********..........**************************************************.........
01030500  54 .............................................................******************************************************
01031500  86 .............................**************************************************************************************
01033500  59 ...............................................***********************************************************.........
01035000  64 ..........................................****************************************************************.........
01038000  50 .................................................................**************************************************
01047000  67 .............................****...................***************************************************************
01048000  51 ........................................................**************************************************........*
01052500  47 ....................................................................***********************************************
01054200  24 ...........................................................................................************************
01055000  59 ........................................................***********************************************************
01055500  47 ....................................................................***********************************************
01057000  67 ........................................**********........*********************************************************
01060000  39 ............................................................................***************************************
01064500  65 ..............................******....................***********************************************************
01073000  53 ..............................................................*****************************************************
01074500  23 ........................................................***********************....................................
01075000  38 ..................................................................**************************************...........
01076000  48 ........................................................************************************************...........
01076500  85 ..............................*************************************************************************************
01078000  70 .............................................**********************************************************************
01086000  39 ..................................................................***************************************..........
01094000  67 ....................................*******************************************************************............
01106000  38 ...................................................................**************************************..........
01111300  24 ...........................................................................................************************
01111500  32 ...................................................................................********************************
01117500  47 ....................................................................***********************************************
01117800  23 ...........................................................................................*****************.******
01118000  36 ...............................................................................************************************
01118500  47 ....................................................................***********************************************
01119500  57 ..........................................................*********************************************************
01120500  31 .............................................................................*******************************.......
01121000  48 ...................................................................************************************************
01127500  58 .........................................................**********************************************************
01134500  41 ..........................................................................*****************************************
01137500  49 ..................................................................*************************************************
01142500  48 ..................................................................************************************.************
01144000  72 ..........................................************.************************************************************
01145000  39 ..................................................................***************************************..........
01153500  45 ...................................................................*********************************************...
01156000  33 .......................................................*********************************...........................
01162500  36 ...............................................................................************************************
01165000  31 ...........................................*******************************.........................................
01165500  66 ...........................................******************************************************************......
01169000  39 ............................................................................***************************************
01169900  22 .............................................................................................**********************
01170100  21 ..............................................................................................*********************
01173000   0 ...................................................................................................................
01174000  34 ...........................................................................**********************************......
01174900  27 ........................................................................................***************************
01175500  27 .......................................***************************.................................................
01176000  52 .......................................****************************************************........................
01180000  28 ........................................................................****************************...............
01180500  54 .....................................******************************************************........................
01181000  50 ..............................................................**************************************************...
01188000  57 ..........................................................*********************************************************
01193500  60 .......................................................************************************************************
01196500  58 .........................................................**********************************************************
01198000  20 ..............................................................................********************.................
01201500  35 ..........................................................***********************************......................
01204000  56 ...........................................................********************************************************
01305000  42 .....................................................................*****************************************...*.
01309500   0 ...................................................................................................................
01318500   0 ...................................................................................................................
01321000  77 ......................................*****************************************************************************
01329000  55 .......................................................*******************************************************.....
01329500  46 .................................................**********************************************....................
01330500  61 ......................................................*************************************************************
01332000  57 ..........................................................*********************************************************
01333000  39 ............................................................................***************************************
01333500  37 ..............................................................................*************************************
01334500  76 .....................................***********..*****************************************************************
01348000  42 .........................................................................******************************************
01349000  33 ............................................................................*********************************......
01350000  81 ..................................*********************************************************************************
01357500   0 ...................................................................................................................
01361000  40 .......................................................****************************************....................
01361500  48 ........................................................************************************************...........
01362198   0 ...................................................................................................................
01365000  43 ................................................................*******************************************........
01368000  44 ................................................................********************************************.......
01369000  40 ................................................................****************************************...........
01372500  60 .......................................................************************************************************
01373500  24 .......................................................................************************....................
01379500  59 ..............................********..........................***************************************************
01381500  67 ................................................*******************************************************************
01384500  46 ..............................................................*******************************************.......***
01386000  43 ..............................................................*******************************************..........
01387500  69 ..............................***................******************************************************************
01396500  70 .............................................**********************************************************************
01397500  25 ...............................................................*************************...........................
