01127500 YANTIC R AT YANTIC, CT                           01100003     89.3 DE  0 CT CT 011 413331N 0720719W   94.46   0
01134500 MOOSE RIVER AT VICTORY, VT                       01080102     75.2 DE  0 VT VT 009 443042N 0715013W 1103.99   0
01137500 AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH       01080101     87.6 DE  0 NH NH 009 441608N 0713752W 1180.74   0
01142500 AYERS BROOK AT RANDOLPH, VT                      01080105     30.5 DE  0 VT VT 017 435604N 0723930W  630.50   0
01144000 WHITE RIVER AT WEST HARTFORD, VT                 01080105      690 DE  0 VT VT 027 434251N 0722507W  374.53   0
01145000 MASCOMA RIVER AT WEST CANAAN, NH                 01080104     80.5 DE  0 NH NH 009 433900N 0720450W  835.00   0
01153500 WILLIAMS RIVER AT BROCKWAYS MILLS, VT            01080107      103 DE  0 VT VT 025 431231N 0723105W  433.54   0
01156000 WEST RIVER AT NEWFANE, VT                        01080107      308 DP  4 VT VT 025 425943N 0723813W  384.21   0
01162500 PRIEST BROOK NEAR WINCHENDON, MA                 01080202     19.4 MP  5 MA MA 027 424057N 0720656W  849.67   0
01165000 EAST BRANCH TULLY RIVER NEAR ATHOL, MA           01080202     50.5 DP  2 MA MA 011 423832N 0721334W  613.71   0
01165500 MOSS BROOK AT WENDELL DEPOT, MA                  01080202     12.1 DP  2 MA MA 011 423610N 0722136W  508.90   0
01169000 NORTH RIVER AT SHATTUCKVILLE, MA                 01080203     89.0 DP  4 MA MA 011 423818N 0724332W  458.36   0
01169900 SOUTH RIVER NEAR CONWAY, MA                      01080203     24.1 ME  4 MA MA 011 423231N 0724139W  460.00   0
01170100 GREEN RIVER NEAR COLRAIN, MA                     01080203     41.4 DE  0 MA MA 011 424212N 0724016W  435.00   0
01173000 WARE RIVER AT INTAKE WORKS NEAR BARRE, MA        01080204     96.3 NN  3 MA MA 027 422326N 0720339W    5.65   0  C
01174000 HOP BROOK NEAR NEW SALEM, MA                     01080204     3.39 DE  0 MA MA 011 422842N 0722005W  725.00   0
01174900 CADWELL CREEK NEAR BELCHERTOWN, MA               01080204     2.55 DE  0 MA MA 015 422008N 0722212W  540.00   0
01175500 SWIFT RIVER AT WEST WARE, MA                     01080204      189 DP  2 MA MA 015 421604N 0721959W  365.18   0
01176000 QUABOAG RIVER AT WEST BRIMFIELD, MA              01080204      150 MP  5 MA MA 013 421056N 0721551W  390.00   0
01180000 SYKES BROOK AT KNIGHTVILLE, MA                   01080206     1.73 DE  0 MA MA 015 421727N 0725215W  641.40   0
01180500 MIDDLE B WESTFIELD RIVER AT GOSS HEIGHTS, MA     01080206     52.7 MP  5 MA MA 015 421531N 0725223W  399.30   0
01181000 WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA    01080206     94.0 DP  2 MA MA 015 421414N 0725346W  388.60   0
01188000 BURLINGTON BROOK NEAR BURLINGTON, CT             01080207     4.10 DE  0 CT CT 003 414710N 0725755W  714.00   0  C
01193500 SALMON RIVER NEAR EAST HAMPTON, CT               01080205      100 ME  3 CT CT 007 413253N 0722659W   63.71   0  C
01196500 QUINNIPIAC RIVER AT WALLINGFORD, CT              01100004      115 ME  3 CT CT 009 412658N 0725029W   19.24   0
01198000 GREEN RIVER NEAR GREAT BARRINGTON, MA            01100005     51.0 DE  0 MA MA 003 421131N 0732328W  690.00   0
01201500 STILL R NR LANESVILLE, CT.                       01100005     67.5 DE  0 CT CT 005 413112N 0732507W  213.05   0
01204000 POMPERAUG RIVER AT SOUTHBURY, CT                 01100005     75.1 DE  0 CT CT 009 412850N 0731330W  165.60   0  C
01305000 CARMANS RIVER AT YAPHANK NY                      02030202     71.0 ME  5 NY NY 103 404949N 0725424W   17.95   0
01309500 MASSAPEQUA CREEK AT MASSAPEQUA NY                02030202     38.0 NN  3 NY NY 059 404120N 0732719W   18.31   0  C
01318500 HUDSON RIVER AT HADLEY NY                        02020001     1664 NN  2 NY NY 091 431908N 0735041W  563.99   0  C
01321000 SACANDAGA RIVER NEAR HOPE NY                     02020002      491 ME  4 NY NY 041 432110N 0741615W  881.31   0
01329000 BATTEN KILL AT ARLINGTON, VT                     02020003      152 ME  3 VT VT 003 430438N 0730926W  596.68   0
01329500 BATTEN KILL AT BATTENVILLE NY                    02020003      394 DP  3 NY NY 115 430605N 0732555W  369.09   0
01330500 KAYDEROSSERAS CREEK NR WEST MILTON NY            02020003     90.0 ME  3 NY NY 091 430218N 0735435W  376.06   0
01332000 NORTH BRANCH HOOSIC RIVER AT NORTH ADAMS, MA     02020003     40.9 ME  3 MA MA 003 424208N 0730537W  820.46   0
01333000 GREEN RIVER AT WILLIAMSTOWN, MA                  02020003     42.6 ME  4 MA MA 003 424232N 0731150W  615.00   0
01333500 LITTLE HOOSIC RIVER AT PETERSBURG NY             02020003     56.1 DE  1 NY NY 083 424550N 0732016W  587.40   0
01334500 HOOSIC RIVER NEAR EAGLE BRIDGE NY                02020003      510 ME  4 NY NY 083 425619N 0732239W  355.41   0
01348000 EAST CANADA CREEK AT EAST CREEK NY               02020004      289 ME  6 NY NY 043 430100N 0744428W  335.70   0
01349000 OTSQUAGO CREEK AT FORT PLAIN NY                  02020004     61.0 MP  5 NY NY 057 425546N 0743735W  301.16   0
01350000 SCHOHARIE CREEK AT PRATTSVILLE NY                02020005      237 DE  1 NY NY 039 421910N 0742613W 1134.98   0
01357500 MOHAWK RIVER AT COHOES NY                        02020004     3450 NN  4 NY NY 001 424707N 0734229W   49.13   0  C
01361000 KINDERHOOK CREEK AT ROSSMAN NY                   02020006      329 MP  6 NY NY 021 421950N 0734440W   24.78   0
01361500 CATSKILL CREEK AT OAK HILL NY                    02020006     98.0 DE  0 NY NY 039 422416N 0740907W  610.65   0
01362198 ESOPUS CREEK AT SHANDAKEN NY                     02020006     59.5 NN  2 NY NY 111 420659N 0742320W 1017.27   0 B
01365000 RONDOUT CREEK NEAR LOWES CORNERS NY              02020007     38.3 DP  2 NY NY 105 415200N 0742912W  874.44   0
01368000 WALLKILL RIVER NEAR UNIONVILLE NY                02020007      140 DE  2 NJ NJ 037 411536N 0743256W  379.21   0
01369000 POCHUCK CREEK NEAR PINE ISLAND NY                02020007     98.0 DE  0 NY NY 071 411632N 0742819W  382.39   0
01372500 WAPPINGER CREEK NEAR WAPPINGERS FALLS NY         02020008      181 DP  2 NY NY 027 413911N 0735223W  114.37   0
01373500 FISHKILL CREEK AT BEACON NY                      02020008      190 ME  3 NY NY 027 413040N 0735655W  131.17   0
01379500 PASSAIC RIVER NEAR CHATHAM NJ                    02030103      100 DE  2 NJ NJ 027 404331N 0742323W  193.51   0
01381500 WHIPPANY RIVER AT MORRISTOWN NJ                  02030103     29.4 DE  0 NJ NJ 027 404826N 0742722W  260.01   0
01384500 RINGWOOD CREEK NEAR WANAQUE NJ                   02030103     19.1 DP  2 NJ NJ 031 410736N 0741552W  292.67   0
01386000 WEST BROOK NEAR WANAQUE NJ                       02030103     11.8 DP  1 NJ NJ 031 410424N 0741842W  326.79   0
01387500 RAMAPO RIVER NEAR MAHWAH NJ                      02030103      120 DP  2 NJ NJ 003 410551N 0740948W  253.10   0
01396500 SOUTH BRANCH RARITAN RIVER NEAR HIGH BRIDGE NJ   02030105     65.3 DE  2 NJ NJ 019 404040N 0745246W  282.10   0  C
01397500 WALNUT BROOK NEAR FLEMINGTON NJ                  02030105     2.24 DE  0 NJ NJ 019 403055N 0745252W  267.33   0
01398000 NESHANIC RIVER AT REAVILLE NJ                    02030105     25.7 DE  0 NJ NJ 019 402818N 0744942W  109.46   0
01398500 NB RARITAN RIVER NEAR FAR HILLS NJ               02030105     26.2 DP  1 NJ NJ 035 404230N 0743811W  224.49   0
01399500 LAMINGTON (BLACK) RIVER NEAR POTTERSVILLE NJ     02030105     32.8 DP  2 NJ NJ 027 404339N 0744350W  284.14   0
01408000 MANASQUAN RIVER AT SQUANKUM NJ                   02040301     44.0 DE  0 NJ NJ 025 400947N 0740921W   18.82   0
01408500 TOMS RIVER NEAR TOMS RIVER NJ                    02040301      123 DP  3 NJ NJ 029 395910N 0741329W    8.10   0
01410000 OSWEGO RIVER AT HARRISVILLE NJ                   02040301     72.5 DP  1 NJ NJ 005 393947N 0743126W    4.62   0
01411000 GREAT EGG HARBOR RIVER AT FOLSOM NJ              02040302     57.1 DE  0 NJ NJ 001 393542N 0745106W   53.32   0  C
01411500 MAURICE RIVER AT NORMA NJ                        02040206      112 DE  0 NJ NJ 033 392942N 0750438W   46.94   0
01413500 EAST BR DELAWARE R AT MARGARETVILLE NY           02040102      163 DE  0 NY NY 025 420841N 0743914W 1302.38   0
01414000 PLATTE KILL AT DUNRAVEN NY                       02040102     35.0 ME  3 NY NY 025 420759N 0744145W 1296.23   0
01414500 MILL BROOK NEAR DUNRAVEN NY                      02040102     25.2 DE  0 NY NY 025 420622N 0744351W 1298.54   0
01415500 TERRY CLOVE KILL NEAR PEPACTON NY                02040102     13.6 DE  0 NY NY 025 420750N 0745402W 1329.38   0
01418500 BEAVER KILL AT CRAIGIE CLAIR NY                  02040102     81.9 DE  0 NY NY 105 415747N 0745202W 1399.69   0
01419500 WILLOWEMOC CREEK NR LIVINGSTON MANOR NY          02040102     62.6 DE  0 NY NY 105 415412N 0744847W 1435.85   0
01420500 BEAVER KILL AT COOKS FALLS NY                    02040102      241 DE  0 NY NY 025 415647N 0745848W 1151.70   0
01421000 EAST BR DELAWARE R AT FISHS EDDY NY              02040102      784 DP  2 NY NY 025 415823N 0751028W  955.96   0
01422000 WEST BRANCH DELAWARE RIVER AT DELHI NY           02040101      142 DE  0 NY NY 025 421618N 0745506W 1345.29   0
01422500 LITTLE DELAWARE RIVER NEAR DELHI NY              02040101     49.7 DE  0 NY NY 025 421508N 0745407W 1385.35   0
01423000 WEST BRANCH DELAWARE RIVER AT WALTON NY          02040101      332 DE  0 NY NY 025 420958N 0750825W 1190.30   0
01424500 TROUT CREEK AT CANNONSVILLE NY                   02040101     49.5 DE  0 NY NY 025 420545N 0751925W 1041.54   0
01425500 COLD SPRING BROOK AT CHINA NY                    02040101     1.49 DE  0 NY NY 025 420940N 0752335W 1490.76   0
01426500 WEST BRANCH DELAWARE RIVER AT HALE EDDY NY       02040101      595 DP  2 NY NY 025 420011N 0752302W  946.46   0
01427500 CALLICOON CREEK AT CALLICOON NY                  02040101      110 DE  3 NY NY 105 414539N 0750255W  759.84   0
