StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
03410500,Ref,TRUE,2469.5,1.63,36.363988,-84.596587,145.56,12.41,70.2,285.1,115,124,11.8,8,727.5,10.4,0.063,3.5,1.8,11.55,27.6,694.3,78.44,4.71,0.4,0.76,9.81,4.7,0.02,70.7,18.32,10.98,0,0.13,3.93,1.38,0.73,5.9,38.8,79.27,53.34,22.7,50.6,26.7,0.26,237.97,463,0.273,15.3,93.1,-0.054,0.999,0.44,37.44,39.96,37.35,30.8,1.329253144,22.01,841
03413200,Ref,TRUE,117.5,1.66,36.735546,-84.873161,135.64,12.9,70,288.5,113.3,118.7,11,7.9,754.5,9,0.064,2.8,6.2,11.66,21.4,603.4,75.28,16.24,0,0.11,3.56,9.49,6.75,71.39,24.17,3.62,0.81,0.14,2.16,1.41,0.57,5.86,46.89,85.49,64.35,32.53,46.6,20.87,0.32,220.27,362,0.419,15.6,5.5,0.995,0.096,0.01,34.82,37.62,34.37,28.78,1.349755358,22.51,277
03415000,Ref,TRUE,299,1.58,36.267938,-85.224602,145.62,13.51,70.2,288.9,109.7,117,11.3,7.2,772.5,8.7,0.065,3.3,3.4,11.72,30.2,706.4,80.84,10.67,0.43,0.17,1.93,4.3,6.37,66.62,26.27,7.1,0,0.14,2.33,1.41,0.63,5.69,45.5,85.49,61.68,28.52,47.91,23.58,0.31,248.99,423,0.523,16.9,319,0.755,-0.656,0.09,38.72,40.61,35.28,31.16,1.300598355,22.2,405
03416000,Ref,TRUE,274.1,2.03,36.54012,-84.952248,139.97,13.07,70.8,288.4,109.4,124.1,11.9,7.6,759.1,8.6,0.061,3.1,3.5,11.21,30.3,628.3,81.43,10.64,0.25,0.24,3.07,8.67,1.97,57.59,30.94,11.46,0,0.14,2.35,1.41,0.55,5.92,43.46,87.32,64.86,31.14,47.32,21.54,0.32,230.75,404,0.564,15.5,280.1,0.175,-0.985,0.12,36.12,38.56,35.76,29.51,1.323315085,22.31,330
03424730,Ref,TRUE,554.7,1.91,35.974669,-86.0168,144.36,13.94,67.8,287.3,110.4,108.3,10.6,6.4,800.5,6.5,0.061,3.8,7.3,11.83,267.7,638.4,68.08,24.41,0.08,2.18,0.87,23.17,1.24,40.37,45.23,14.39,0,0.13,1.62,1.42,0.5,5.75,51.02,84.74,70.08,38.19,47.28,14.53,0.32,277.29,267,0.232,14.3,66.3,0.402,0.916,0.23,38.23,39.99,34.29,31.74,1.316249554,22.4,479
03427500,Ref,TRUE,677.4,1.74,35.830195,-86.167231,144.19,14.14,67.7,288,109.1,112.4,11,6.7,811.3,6,0.062,3.5,7,12,313.3,623.6,53.29,36.26,0.05,3.7,1.63,33.38,2.88,31.13,44.87,24.01,0,0.13,1.31,1.44,0.76,5.63,44.91,86.21,72.31,38.88,48.2,12.92,0.34,281.5,237,0.169,9,274.9,0.085,-0.996,0.23,37.86,40.02,33.97,32.07,1.323277237,22.03,479
03431800,Ref,TRUE,252,1.59,36.367899,-86.926738,131.39,13.77,68.5,292,102.4,109,10.6,7,808.9,8.2,0.072,3.3,7.5,12.07,125.4,525.2,61.8,27.14,0.02,0.01,4.92,24.17,2.98,78.81,11.41,9.78,0,0.12,2.13,1.45,0.41,5.54,57.56,73.31,57.69,33.67,49.98,16.35,0.33,268.08,215,0.536,6.1,255,-0.259,-0.966,0.11,33.56,37.92,30.26,29.66,1.439256058,23.25,166
03433637,Ref,FALSE,6.7,2.5,35.90485,-87.141257,139.37,14.2,68,293,102.6,107,11,7,816.9,6,0.075,6,12,11.56,183,567,47.68,45.5,0,0.08,3.3,45.5,0,82,13,5,0,0.14,1.21,1.46,0.43,5.16,60,85.62,72.77,37.32,53.28,9.4,0.38,286.97,276,0.652,4.8,32.8,0.841,0.542,0,35.92,40.53,31.4,31.51,1.397052747,22.15,66
03433641,Ref,FALSE,5.7,2.45,35.889742,-87.099411,139.54,14.19,68,292.4,102.7,107,11,7,816.8,6,0.075,6,12,12.46,156.4,567.8,91.65,3.94,0,0.41,3.23,2.32,1.62,81.37,12.69,5.94,0,0.13,1.39,1.46,0.43,5.24,59.52,83.21,69.81,36.61,52.63,10.76,0.37,288.58,264,0.607,7,335,0.906,-0.423,0,36.01,40.61,31.49,31.49,1.394606279,21.77,84
03435500,Ref,FALSE,1810.3,1.2,36.682036,-86.861781,130.97,13.68,68.4,290.8,104.1,108.4,10.8,6.9,808.4,8.6,0.068,3.3,6.3,12.8,474.3,512.9,16.74,75.48,0.01,0.01,0.28,24.04,51.44,72.25,22.67,4.67,0.33,0.16,1.19,1.45,0.46,4.92,58.05,92.16,79.62,35.91,54.73,9.36,0.36,251.61,194,0.425,2.1,258.9,-0.193,-0.981,0.18,33.31,37.63,30.2,29.85,1.45014814,23.68,174
03436690,Ref,TRUE,266.5,1.73,36.200746,-87.517283,137.86,14.21,68.1,291.1,104.6,103.7,10.4,6.5,823.2,7.3,0.076,6.1,8.6,12.02,165.2,553.7,76.59,13.7,0,0.09,6.4,12.12,1.58,80.22,18.09,1.56,0,0.12,2.05,1.44,0.39,5.22,60,76.4,61.48,35.81,52.61,11.57,0.33,279.74,214,0.541,6.2,343,0.956,-0.292,0.17,35.39,40,31.21,31.27,1.413754862,22.73,157
03436700,Ref,FALSE,320,1.74,36.218765,-87.517284,137.41,14.19,68.1,291,104.8,104,10.5,6.6,822.7,7.3,0.075,5.7,8.5,12.12,161.4,549.4,76.82,12.94,0,0.11,6.89,11.16,1.79,81.72,16.46,1.7,0,0.13,1.97,1.44,0.39,5.27,60,76.74,61.95,36.53,52.33,11.14,0.33,278.7,209,0.536,6.3,330.1,0.867,-0.498,0.22,35.3,39.85,31.16,31.16,1.414604209,22.78,166
