StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
04213000,Ref,TRUE,455.3,1.01,41.825785,-80.426825,109.97,8.5,69.1,284.1,134,146.5,15.6,9.9,617.6,23,0.107,3.8,7.7,12.24,464.1,497.7,49.91,34,0,0.87,2.47,9.25,24.75,4.91,2.45,0,52.89,33.09,4.29,0.14,1.49,1.53,0.94,1.21,59.88,87.24,67.94,23.69,58.26,18.05,0.38,113.03,308,0.528,2.1,332.4,0.887,-0.463,5.67,21.74,25.38,32.81,30.06,2.020698048,25.11,231
04213040,Ref,TRUE,6.7,1.8,41.93435,-80.438993,107.64,9.17,70,291.5,126.7,145,16,9,641.5,21.4,0.109,4,7.8,11.18,494.2,451.1,58.58,26.69,0,0.15,1.89,1.21,25.48,0.77,2.35,0,46.42,45.69,4.76,0.15,1.05,1.59,0.56,0.81,60,93.44,77.19,25.63,61.24,13.12,0.39,106.29,252,0.62,1.8,335.3,0.908,-0.419,1.32,21.04,24.78,31.73,30.08,1.733991598,24.89,50
04213075,Ref,TRUE,11.7,1.77,42.002172,-80.253327,109.79,9.3,70.3,296.2,124.7,150.7,17,9,649,22.1,0.108,3.6,4.9,11.16,473.6,512.4,43.77,36.64,0.23,0.74,1.99,10.1,26.54,0.19,0.58,0,46.86,47.44,4.94,0.15,0.75,1.59,0.57,0.69,60,94.09,78.61,26.1,61.89,12.02,0.39,109.3,274,0.625,1.8,270.2,0.003,-1,2.2,21.87,25.16,31.13,31.81,1.796606015,24.71,72
04216418,Ref,TRUE,196.5,1.43,42.751462,-78.289997,105.96,6.9,67.8,269.3,139,153,16.5,10.5,570.3,29.5,0.103,1.5,2,11.49,107.5,526.2,44.28,41.88,0.02,6.37,0.24,28.04,13.84,6.3,18.97,0,58.86,9.75,0,0.13,2,1.35,1.91,3.05,51.77,71.21,51.32,19.08,58.4,22.52,0.29,88.81,474,0.527,5.6,313.4,0.688,-0.726,2.78,21.21,24.41,30.87,29.59,2.699134573,25.78,347
04216500,Ref,TRUE,62.6,1.88,42.827637,-78.16659,101.21,7.32,68.4,273.5,135.5,149.3,16,10,585.6,26.6,0.114,1.3,4.3,10.96,160.1,441.5,45.48,40.68,0,7.83,0.37,25.18,15.5,0.56,30.04,0,53.09,9.18,0,0.14,1.21,1.39,1.96,2.93,50.59,70.54,51.35,20.16,58.52,21.33,0.3,84.48,445,0.513,6.4,26.4,0.896,0.444,3.09,19.52,23.73,30.11,27.94,2.485385189,25.85,228
04221000,Ref,TRUE,750.9,1.6,42.042344,-77.832936,99.81,6.89,67,263.3,145.1,138.9,14.3,10,558.7,27.5,0.127,2,4.7,11.15,97.6,415.5,54.18,36.62,0.06,5.04,0.37,28.33,8.29,3.26,2.36,0.13,90.57,1.67,0,0.11,1.47,1.4,1.54,3.47,52.79,63.68,41,13.2,57.96,28.84,0.25,83.19,643,0.587,10.9,242.7,-0.458,-0.889,0.2,18.69,23.87,31.18,26.05,2.670752104,24.73,332
04224775,Ref,TRUE,231.8,2.1,42.482179,-77.812922,92.28,7.19,67.1,271.1,139.8,138.8,13.6,10,573.4,25.3,0.147,1.5,2.1,10.94,83.3,327.6,63.84,25.01,0.01,6.63,0.3,12.13,12.88,7.69,9.03,0,66.38,8.7,0,0.13,2.12,1.33,2.08,3.07,49.13,68.17,48.23,18.44,58.7,22.86,0.27,76.5,512,0.673,10.2,59.9,0.502,0.865,1.87,16.09,21.95,28.92,25.27,2.507895025,25.76,431
04232100,Ref,TRUE,111.4,0.95,43.216835,-76.63185,98.42,8.63,72.3,286.5,123.2,138.4,14.5,9,637.3,25.8,0.083,2,2.5,12.46,490.1,387.3,25.97,40.93,0,11.84,0.16,19.75,21.18,7.06,55.85,3.34,27.51,4.34,1.44,0.13,2.95,1.42,4.15,3.23,58.97,68.58,42.17,15.06,50.56,34.38,0.28,79.07,130,0.485,3.5,317.5,0.738,-0.675,17.1,20.31,23.11,26.59,28.34,2.146238027,26.19,97
04233000,Ref,TRUE,91.9,2.09,42.338996,-76.56105,98.79,7.43,67.9,271.2,137.4,134.7,13,10,586.8,25.8,0.104,1.8,3.3,11.19,74.7,393.3,52.03,26.15,0.31,10.37,0.84,19.39,6.76,8.47,9.26,0,63.53,11.31,0,0.13,2.11,1.33,2.08,2.94,50.68,71.89,52.14,20.14,57.36,22.5,0.3,82.11,373,0.521,11.4,18.1,0.951,0.31,5.99,18.84,24.73,28.91,26.59,2.485151737,25.95,457
04233286,Ref,TRUE,68.4,1.87,42.408116,-76.340597,101.94,7.11,70.8,275.1,133,138.9,13.4,10,581.3,26,0.131,2,5.2,10.86,115.8,423.5,58.81,25.4,0,6.39,0.31,19.8,5.6,5.6,7.12,0,69.57,8.61,0,0.13,1.9,1.33,2.18,3,47.7,67.51,47.8,18.59,59.32,22.09,0.26,83.64,457,0.542,9.6,219.1,-0.776,-0.63,6.32,18.06,24.21,30.53,29.06,2.544558892,26.08,332
04233300,Ref,TRUE,98.5,1.48,42.399481,-76.362936,100.87,7.18,70.6,274.6,133.3,138.4,13.4,10,582.7,25.8,0.13,2,4.6,11.24,96.3,414.6,59.67,23.78,0.22,6.69,0.48,19.3,4.48,9.28,8.55,0,64.62,8.44,0,0.13,2.32,1.34,2.08,3.12,48.45,66.91,46.81,18.13,58.56,23.31,0.26,83.07,436,0.541,9.8,219.3,-0.774,-0.634,6.3,17.93,24.11,30.12,28.66,2.518217245,26.03,377
423401815,Ref,FALSE,231.1,1.84,42.656592,-76.526311,97.94,7.97,70.1,281.3,128.5,136.7,13.6,10,610.6,23.6,0.128,2.3,5.6,11.48,302.7,342,14.26,72.08,0.02,5,0.16,25.96,46.12,3.51,68.86,0,19.17,7.02,0,0.13,1.52,1.48,1.78,3.33,58.39,70.98,49.36,20.09,53.79,26.12,0.31,78.3,330,0.654,3.8,234,-0.587,-0.809,4.8,17.3,23.57,29.05,28.02,2.259634537,25.97,315
04237962,Ref,TRUE,100.6,2.02,42.848728,-76.160951,103.75,7.19,69.9,277.8,131.3,146.3,15.3,10,585.6,28.5,0.101,1.9,3.8,10.83,105.6,462.8,40.99,36.05,0.05,10.76,0.7,24.3,11.75,3.22,71.45,0,13.92,6.6,0,0.13,1.79,1.47,1.64,3.4,57.82,69.91,47.81,18.34,54.39,27.27,0.31,87.72,390,0.555,11.1,330.9,0.874,-0.486,5.95,19.89,24.78,29.25,29.43,2.612464167,26.17,436
04245200,Ref,TRUE,85,1.5,42.870143,-76.061468,104.23,7.07,69.9,276.2,132,148.1,16,10,581.4,28.5,0.111,1.5,2.8,11.22,125,467.6,39.67,36.5,0.01,11.1,0.63,22.07,14.43,4.63,67.99,0,13.88,8.93,0,0.13,2.12,1.46,1.67,3.52,54.14,69.99,47.19,18.49,53.09,28.42,0.3,89.34,400,0.464,8.9,284.9,0.258,-0.966,6.71,19.52,24.72,29.77,29.83,2.689275738,26.09,394
04254500,Ref,FALSE,949.7,0.87,43.703645,-74.808473,130.2,3.99,64.3,256,156.9,167.7,17.9,11.6,492.8,39,0.061,3.4,1.4,11.79,51.6,829.5,69.39,0.06,0,2.92,0.09,0.03,0.03,13.04,3.51,4.79,61.53,5.8,0,0.15,3.93,1.29,3.63,3.87,45.66,81.2,39.74,5.89,47.46,46.65,0.24,106.97,608,0.227,10.2,292.6,0.384,-0.923,26.86,30.43,29.62,34.5,35.62,3.519514702,27.35,699
04256000,Ref,TRUE,232.4,0.96,43.801176,-75.137186,124.2,4.87,65.7,261.9,146.7,165.3,17.8,11,526.8,37.2,0.075,3.7,1.3,12.12,166.4,695.1,63.59,0.02,0,10.3,0.12,0.02,0,34.33,2.11,3.3,45.88,4.93,0,0.11,6.97,1.35,2.97,4.27,50.17,78.81,32.01,5.07,38.49,56.44,0.23,97.68,499,0.484,5.1,240.5,-0.493,-0.87,25.94,27.79,28.37,33.53,34.73,3.337844831,27.63,413
04265000,Ref,FALSE,863.6,0.74,44.340643,-74.921569,110.47,5.33,68.5,260.2,147.9,153.1,15.8,11,546.7,34.3,0.1,3,1.4,12.19,163.1,543.6,84.23,1.2,0.04,1.79,0.75,1.13,0.07,23.47,1.62,12.14,47.24,8.22,0,0.14,5.85,1.3,8.26,3.3,51.86,80.77,36.49,6.79,41.34,51.88,0.27,86.86,410,0.452,5.2,284.5,0.251,-0.968,11.63,22.88,25.09,31.74,30.69,3.154958933,28.22,672
04265432,Ref,TRUE,1558.6,0.55,44.429314,-75.023619,106.15,5.76,69.7,261.3,145.7,147.8,15.1,10.6,563.2,32.9,0.103,2.9,2.2,12.53,614.7,486.9,72.09,10.03,0.09,2.07,1.22,7.6,2.42,16.31,9.1,7.9,41.09,19.56,0.27,0.14,4.47,1.34,5.9,3.16,51.37,81.58,42.76,11.67,43.42,44.91,0.29,84.96,271,0.286,4.2,293,0.39,-0.921,12.81,21.75,24.23,30.34,29.83,3.022109435,28.7,710
04268800,Ref,TRUE,443.9,1.04,44.470951,-74.54534,110.73,5.19,68.2,260.4,150.3,155.3,15.7,11.6,537.8,35.1,0.105,2.5,1.1,12.21,85,549.6,77.19,0,0,3.36,0.45,0,0,21.83,0.99,10.74,51.72,5.4,0,0.14,5.28,1.31,7.38,3.59,50.18,80.19,36.03,6.3,41.91,51.79,0.26,85,475,0.338,6.2,276.9,0.119,-0.993,18.57,22.83,24.77,32.84,30.23,3.231163442,27.96,542
