StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
357479650,Ref,TRUE,76,2.56,34.998818,-86.400233,146.47,14.61,71,292.4,103.5,110.8,11,7,822.9,4.3,0.091,4.9,6.7,12.93,388.6,667.3,22.56,64.79,0.05,2.67,1.57,39.07,25.73,46.22,45.46,8.33,0.12,1.38,1.47,0.36,4.08,57.65,88.18,73.22,33.71,53.22,13.07,0.37,308.8,274,0.171,3.2,269.2,-0.014,-1,40.11,40.72,32.22,33.29,1.30346706,21.32,251
03578000,Ref,TRUE,168.8,1.65,35.352889,-85.817002,157.68,13.51,72.3,297.3,101.6,117.5,11.2,7.8,772.2,7.2,0.074,4.6,3.7,11,152.4,784.6,71.84,17.81,0.04,2.29,4.03,13.77,4.04,56.62,28.25,15.13,0.14,3.01,1.39,0.56,5.56,40.53,88.67,62.58,26.91,47.74,25.35,0.31,315.13,574,0.82,8.9,201.1,-0.933,-0.359,42.57,42.87,35.88,36.37,1.271337518,21.32,333
03578500,Ref,FALSE,98.9,1.49,35.429558,-85.968978,147.47,14.34,70.8,294.6,102.2,114.7,11,7,812.3,6,0.078,3.9,7.6,13.1,112,696.3,29.41,57.68,0.04,1.79,1.56,33.5,24.18,53.88,36.4,9.73,0.15,1.19,1.46,0.47,4.87,56.6,91.83,73.63,34.95,49.29,15.76,0.37,285.57,329,0.106,2.9,219.6,-0.771,-0.637,39.68,40.99,33.59,33.18,1.270685706,20.96,321
03584000,Ref,FALSE,948.6,1.22,35.321906,-87.042134,146.37,14.93,69.5,292.9,103.4,109.2,10.9,6.7,842.9,5,0.08,4,3,11.97,86.3,635.3,47.98,43.54,0.02,1.73,1.71,39.17,4.37,66.85,19.15,13.99,0.13,2.34,1.42,0.5,5.78,55.37,77.36,60.92,33.74,48.53,17.73,0.3,313.03,276,0.427,8.2,178,-0.999,0.035,38.88,41.67,32.09,33.7,1.335302903,21.59,185
03584020,Ref,FALSE,950.1,1.23,35.321906,-87.042134,146.37,14.93,69.5,292.9,103.4,109.2,10.9,6.7,842.9,5,0.08,4,3,11.97,86.4,635.3,47.92,43.59,0.02,1.73,1.71,39.18,4.4,66.85,19.16,13.99,0.13,2.34,1.42,0.5,5.78,55.38,77.38,60.94,33.74,48.53,17.73,0.3,313.04,276,0.427,8.2,178.6,-1,0.025,38.88,41.67,32.1,33.7,1.335219179,21.59,185
03588400,Ref,FALSE,108.8,1.48,35.237587,-87.550465,151.34,14.06,68.8,288.9,110.9,108.1,10.5,7,801.2,5.1,0.085,4.9,4.4,12.54,78.6,666.6,60.13,24.95,0.03,5.53,5.1,23.46,1.49,78.1,11.75,10.15,0.11,2.71,1.45,0.41,5.6,57.16,68.41,51.01,30.96,50.03,19.01,0.31,331.22,270,0.616,6,184.6,-0.997,-0.08,40.35,43.82,32.99,34.17,1.338713219,21.84,138
03588500,Ref,TRUE,900.6,1.34,35.204092,-87.489108,151.3,14.19,69.2,290.6,109.8,108.3,10.3,7,805.2,5.1,0.085,5,4.7,12.42,143.1,663.1,50.88,32.61,0.04,5.38,3.61,26.72,5.89,81.01,11.96,7.02,0.12,2.33,1.44,0.4,5.5,58.29,73.64,57.56,32.81,51.19,16,0.32,330.85,268,0.629,5.7,170.8,-0.987,0.16,40.51,43.6,32.78,34.4,1.330279925,21.86,167
03592718,Ref,TRUE,67,2.31,34.798962,-88.259871,150.82,15.52,68.4,297.9,97.7,99.9,10,6,875,4.9,0.105,5.2,6.1,13.06,228,657.6,55.56,9.2,0,14.03,5.67,4.89,4.31,70.84,27.21,0.48,0.14,2.2,1.51,0.24,5.03,60,99.51,54.69,21.38,37,41.62,0.29,362.2,160,0.288,3.6,304.3,0.564,-0.826,41.47,44.73,30.95,33.68,1.365821832,21.8,104
03593800,Ref,FALSE,275.3,1.42,35.106705,-88.073922,148.99,14.86,68,292.4,105.2,103.8,10.7,6,839.2,5.1,0.094,4.8,5.3,12.09,141.8,634.9,57.81,15.89,0.01,14.73,7.34,11.79,4.1,59.23,36.25,4.39,0.12,2.09,1.48,0.39,4.8,59.89,75.36,51.87,26.17,46.31,27.53,0.31,343.78,207,0.582,4.9,286,0.276,-0.961,39.75,44.2,31.48,33.6,1.352201386,22.02,146
03597210,Ref,FALSE,215.5,1.45,35.598146,-86.234206,147.79,14.45,69.6,291.9,104.7,114.9,11.3,7,819.6,6,0.07,4,5.9,11.77,163.4,653.4,48.43,43.69,0,1.82,0.75,41.63,2.06,59.59,28.67,11.53,0.13,2,1.43,0.5,5.63,55.06,77.95,61.76,33.49,49.25,17.26,0.33,288.5,310,0.397,9.2,208.9,-0.875,-0.483,39.07,41.05,33.92,33.49,1.291294971,21.35,184
03597590,Ref,TRUE,92.9,2.14,35.597863,-86.345385,145.85,14.68,69,292.1,104.9,112.7,11,7,830.9,5.1,0.064,4,10.3,12.34,545.9,632.1,36.77,54.64,0.02,2.65,0.55,50.88,3.76,16.01,69.82,14.16,0.14,0.67,1.43,0.58,5.78,48.58,94.35,81.97,43.83,45.65,10.52,0.35,290.4,280,0.24,6.7,184.8,-0.996,-0.084,38.03,40.51,33.94,33.46,1.301669652,21.47,171
03599450,Ref,TRUE,191.6,1.64,35.45471,-86.944465,144.23,14.39,69,291.7,104.4,109.2,10.5,7,823.2,5.3,0.076,4,4,12,108.1,625,50.27,42.21,0.01,1.45,1.58,40.74,1.47,63.13,22.4,14.47,0.15,1.93,1.4,0.66,5.57,56.74,87.14,71.67,34.79,50.27,14.94,0.32,303.41,244,0.339,8.7,168.1,-0.979,0.206,37.46,41.51,31.87,33.38,1.361367263,21.78,177
03600500,Ref,FALSE,45.5,2.14,35.45991,-87.26668,148.36,14.42,69,291,105,110.3,11,7,824.8,5,0.08,4.5,3.3,11.57,91.4,629,73.49,14.86,0,1.85,4.29,12.98,1.87,75.04,12.71,12.25,0.11,2.49,1.44,0.41,5.74,55.98,69.64,52.95,32.53,48.51,18.95,0.31,309.34,292,0.675,8,2.9,0.999,0.05,38.76,43.19,32.75,33.7,1.36977376,21.4,126
03601630,Ref,FALSE,2,2.52,35.872215,-87.093559,139.97,14.2,68,293,102,107,11,7,817,6,0.075,6,6,9.88,54,578,92.11,1.13,0,1.45,4.08,0,1.13,80.89,12.44,6.67,0.13,1.53,1.46,0.42,5.29,59.15,81.33,67.5,36.05,52.13,11.82,0.36,288.8,281,0.714,4.7,246.5,-0.398,-0.917,36.17,40.74,31.57,31.56,1.388981825,21.37,49
03604000,Ref,TRUE,1163,1.6,35.403649,-87.569528,149.84,14.03,68,287.5,111.6,107.6,10.8,6.9,802.1,5.8,0.083,4.9,4.4,12.11,118.7,655.6,58.16,25.74,0.06,3.57,6.56,22.17,3.57,79.54,13.27,7.15,0.12,2.42,1.45,0.41,5.43,58.36,72.87,56.37,31.93,51.73,16.34,0.33,318.77,271,0.659,5.4,286.9,0.291,-0.957,39.59,43.58,33.05,33.63,1.3590188,21.84,173
