StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
11220000,Ref,FALSE,181.1,2.4,37.012432,-119.239952,80.76,13.91,57.7,315.7,103.7,56.3,9.5,769.7,12.9,0.587,0,0.1,9.81,19,416,76.24,0.11,20.17,3.42,0.05,63.07,16.78,20.09,0.12,2.98,1.39,0.75,5.99,41.95,91.81,39.1,16.69,29.19,54.12,0.24,76.1,1178,0.427,26.6,225.3,-0.704,-0.71,41.16,23.87,1.75,14,1.365615819,17.17,2049
11220500,Ref,FALSE,145.5,2.23,36.977226,-119.34591,68.5,15.53,58.1,320.4,96.9,51.1,8.7,854.7,3.6,0.606,0,0.8,10.18,34.8,261.3,52.21,0,23.48,23.63,0,40.28,36.54,23.18,0.13,2.24,1.45,0.62,6,34.01,89.92,43.29,19.49,32.81,47.71,0.26,57.03,696,0.242,22.9,205.3,-0.904,-0.427,35.63,20.05,1.15,11.66,1.34673435,18.63,1415
11224500,Ref,TRUE,247.4,2.43,36.262787,-120.565593,47.01,14.94,49.5,311.1,100.3,44.4,8.1,791.8,2,0.63,0,2.4,10.38,78.4,121.3,12.21,0.98,67.7,16.88,0,1.86,51.97,46.18,0.14,1.74,1.41,0.98,5.9,33.48,94.69,69.23,35.56,40.29,24.15,0.29,35.52,776,0.379,26.1,162.1,-0.951,0.308,26.51,11.97,0.47,8.07,1.30118213,17.25,1186
11226500,Ref,TRUE,650.2,2.17,37.584336,-119.105378,110.19,3.54,63.4,255.9,180,99.5,14.7,395.3,72.8,0.578,2.6,0.8,9.61,7.2,684,43.33,20.93,30.46,3.18,0.4,39.5,1.68,58.42,0.07,6.77,1.16,1.84,5.73,44.51,60.63,21.63,9.13,30.76,60.11,0.13,121.44,2819,0.548,33.4,228.5,-0.663,-0.749,59.18,28.48,2.85,19.67,3.42791976,16.99,2583
11230500,Ref,TRUE,135.5,2.19,37.340993,-118.8646,114.95,0.43,60.3,256.4,192.1,84.3,12.3,313.2,88.4,0.607,2.2,0.6,9.68,1.8,531.8,26.43,40.48,22.39,8.71,1.72,15.28,1.55,81.45,0.04,9.3,1.36,1.4,5.4,59.53,59.69,16.32,5.96,25.43,68.61,0.1,114.52,3290,0.547,35,286.3,0.28,-0.96,65.64,31.76,2.76,14.76,4.454815727,16.34,1913
11237500,Ref,TRUE,59.8,2.25,37.178613,-119.164824,117.54,5.66,64.1,267.7,165.6,69.6,11.7,436.9,60.2,0.57,0,0,9.94,5.2,724.6,86.99,1.92,9.93,0.42,23.22,46.04,14.7,16.04,0.05,12.22,1.45,0.76,5.75,49.64,72.15,22.28,8.19,27,64.81,0.15,123,2384,0.281,15.3,276.2,0.108,-0.994,61.17,32.94,3.52,19.86,2.155326441,15.6,860
11253310,Ref,TRUE,120.4,1.89,36.385623,-120.542634,38.48,15.39,50.9,321.9,87.7,45.3,8.3,822.7,1.9,0.624,0,0.5,10.26,36.2,146.6,18.65,7.76,42.47,29.72,0.25,7.03,53.38,39.34,0.13,2.5,1.48,0.59,5.93,36.97,95.29,67.17,36.63,36.69,26.69,0.28,31.79,705,0.372,24.3,60.8,0.488,0.873,21.03,10.67,0.46,6.4,1.302092662,17.67,1335
11257100,Ref,FALSE,27.3,1.99,37.441219,-119.664539,110.71,11.63,60.4,292.2,133.5,57.1,8.7,662.6,18.9,0.584,3.5,2.5,9.8,20.6,607.1,96.43,0,3.45,0.05,0,56.3,14.92,28.78,0.13,2.51,1.38,0.87,6,43.64,93.48,41.16,17.94,28.56,53.5,0.26,98.22,1429,0.389,19.5,195.6,-0.963,-0.27,56.36,31.42,2.44,20.45,1.320014075,17.29,930
11264500,Ref,TRUE,468,2.58,37.709093,-119.42379,119.88,6.09,62.1,273.8,152.4,84.5,13.1,469.3,68.5,0.575,2.5,0.5,9.59,3.6,713.9,42.03,22.18,29.19,5.22,3.97,21.14,3.62,71.27,0.05,9.3,1.35,1.38,5.51,54.84,61.58,17.68,6.61,26.06,67.33,0.11,124.93,2784,0.568,30,291.5,0.367,-0.93,63.5,31.13,2.91,22.25,3.084798459,16.51,2743
11266500,Ref,TRUE,833.1,2.52,37.738284,-119.48603,121.3,7.03,61.6,279,148.3,81.2,12.6,498.8,60.1,0.578,2.7,0.7,9.64,5.1,752.5,51.56,17.02,26.11,3.79,2.54,24.16,2.51,70.78,0.05,8.66,1.38,1.31,5.53,55.55,63.96,18.99,7.15,26.08,66.78,0.12,125.5,2561,0.495,30,272.7,0.047,-0.999,64.64,31.56,2.97,22.15,2.169641151,16.36,2790
11269300,Ref,FALSE,44.3,1.81,37.72351,-120.164043,87.86,13.6,60.4,304.1,119,57.5,9.7,745.9,4,0.593,3.5,6.5,9.85,148.6,475.4,45.83,0,44.74,8.34,0,23.6,52.17,24.23,0.14,1.08,1.36,0.67,5.99,35.98,84.09,51.07,25.76,40.41,33.84,0.25,89.07,820,0.468,19.4,255.6,-0.248,-0.969,45.35,24.16,1.43,17.07,1.248109865,17.57,616
11274500,Ref,TRUE,347.8,1.48,37.287602,-121.321249,45.32,16.16,61.6,340.7,55.3,45.7,7.7,861,1.4,0.624,0.1,1.8,10.73,69,100.5,24.02,0,51.21,24.22,0.01,4.55,17.87,77.58,0.14,1.77,1.48,0.82,5.98,22.53,83.82,52.92,24.88,42.82,32.31,0.29,22.65,456,0.36,24.4,110.4,-0.349,0.937,24.55,12.08,0.43,8.25,1.261497985,16.04,1093
11274630,Ref,TRUE,187.4,1.77,37.441426,-121.357194,43.32,15.06,61.7,333.1,63.5,49.1,8.4,799,2.1,0.604,0,0.8,10.3,39.2,83.8,14.13,0.06,56.76,27.76,0,4.44,17.31,78.26,0.14,1.62,1.48,0.91,5.98,22.58,83.27,52.99,26.46,42.13,31.41,0.28,25.9,561,0.473,26.1,136.2,-0.722,0.692,22.49,12.11,0.54,8.15,1.268655576,16.22,1054
11274790,Ref,FALSE,775.6,1.83,37.936653,-119.407598,115.75,4.04,62.5,259.1,173.3,98.4,14.2,415.5,75.5,0.512,2.9,0.7,9.61,5.5,705.5,37.19,24.29,31.31,5.14,8.25,16.89,3.7,71.15,0.05,10.14,1.36,1.35,5.54,52.44,63.13,16.57,5.81,24.78,69.41,0.11,118.41,2895,0.617,33.7,263.6,-0.112,-0.994,56.89,28.4,5.35,25.16,3.883860014,16.35,2804
11275000,Ref,FALSE,114.7,1.1,38.079041,-119.651445,143.93,5.48,63.2,270.8,162.7,88.7,13.5,448.3,61.6,0.531,2.9,0.3,10.16,4.3,958.9,30.32,33.87,30.59,3.02,1.66,12.12,12.56,73.66,0.05,10.49,1.32,1.58,5.66,43.26,63.79,14.48,4.55,21.85,73.6,0.11,150.78,2625,0.528,27.6,227.9,-0.671,-0.742,72.28,37.98,6.4,27.52,3.247626062,15.91,1895
11281000,Ref,TRUE,225.2,1.55,37.807858,-119.829471,112.06,10.8,61.1,299.8,130.6,62.3,10.3,620.1,21.6,0.574,3.1,2.4,10.35,17.2,696.4,87.97,0.55,9.53,0.69,0.65,62.15,13.05,24.16,0.11,3.77,1.35,0.92,5.89,51.63,83.08,37.38,17.13,31.22,51.64,0.2,100.29,1610,0.395,21.9,303.8,0.556,-0.831,58.3,31.4,2.32,20.04,1.250664186,16.29,1984
