StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
06917000,Ref,TRUE,765.8,1.64,38.019413,-94.976387,108.26,13.24,66,290.5,105.6,79.2,9,4.4,830.3,6.7,0.21,2.2,10.6,12.71,654.3,265.2,20.23,68.51,0.02,0.12,5.67,52.19,16.31,28.86,42.08,28.93,0.17,0.73,1.45,0.95,3.34,47.47,95.58,84.15,36.85,52.11,11.05,0.37,253.73,307,0.527,2.2,130.5,-0.65,0.76,0.95,13.22,31.21,34.54,29.32,2.366315389,27.16,129
06917380,Ref,TRUE,761,3.37,37.754058,-94.905115,113.38,13.5,66,296,101.3,82.4,9.6,5,842.3,6,0.195,2.2,11.1,13.07,651.6,290.6,13.07,66.03,0.01,0.05,15.52,52.83,13.19,20.39,42.14,37.35,0.17,0.76,1.44,0.81,3.18,51.29,96.88,85.83,37.59,51.24,11.17,0.37,259.38,281,0.379,1.7,37.6,0.792,0.61,1.37,14.32,32.85,35.06,31.18,2.245214245,26.72,103
06917630,Ref,FALSE,8.7,2.04,37.514414,-94.542671,114.09,13.4,66,294,102.5,84,9,5,829.1,6.1,0.171,3,7,12.65,672.2,321.2,4.5,93.82,0,0.54,0,26.12,67.69,35.35,31.29,33.36,0.17,1.63,1.41,0.89,3.67,46.55,96.74,73.24,30.16,46.37,23.47,0.36,262.94,292,0.675,1.1,276.6,0.114,-0.993,0.03,15.42,33.17,33.28,32.22,2.053601537,26,40
06918460,Ref,TRUE,650.7,1.58,37.241596,-93.739776,112.72,13.18,68,290.2,106.3,91.2,10,6,806.6,7.4,0.119,4.7,5.2,12.59,228.4,318.5,30.64,62.51,0.19,0.63,0.65,60.97,1.55,61.78,31.39,6.75,0.1,1.77,1.38,0.51,5.01,55.13,64.6,46.05,38.19,42.31,19.5,0.3,252.67,349,0.466,3.5,5.1,0.996,0.088,0.66,17.6,31.86,30.95,32.29,1.667964129,25.64,174
06919500,Ref,TRUE,1069.4,1.44,37.640971,-93.991607,113.04,13.1,66.9,291,105.4,86.6,9.6,5.2,813.1,7.6,0.148,4,4.6,12.97,335.3,324.8,32.09,61.88,0.07,0.58,1.16,48.48,13.4,46.33,31.09,22.19,0.14,1.76,1.41,0.77,4.63,45.4,83.79,61.89,31.66,46.28,22.06,0.31,259.45,291,0.485,2.5,356.4,0.998,-0.062,0.56,16.6,32.81,32.29,31.36,1.795649927,26.18,134
06921070,Ref,TRUE,712.6,1.78,37.465388,-93.184899,112.46,13.05,68.1,288.4,108.4,91.3,10,6,798.5,8.2,0.102,2.7,8,12.31,210.8,333.4,35.99,56.35,0.1,0.94,0.79,55.67,0.68,63.06,27.99,8.94,0.1,1.81,1.38,0.48,4.83,55.49,67.36,47.9,38.21,42.41,19.39,0.29,222.68,357,0.455,3.7,281.8,0.205,-0.979,0.64,18.27,32.59,29.6,32.01,1.655013709,25.63,202
06921200,Ref,TRUE,323.6,2.22,37.68732,-93.181616,111.65,13.12,67.4,286.4,110,92.4,10,6,802.1,8,0.107,2.3,8.9,12.92,271.3,326.6,28.56,62.36,0.07,1.5,0.85,61.9,0.46,35.68,45.28,19.03,0.11,1.45,1.39,0.54,3.5,57.46,74.74,57.39,39.04,44.92,16.04,0.33,219.69,330,0.442,2.7,306.6,0.596,-0.803,0.98,17.46,32.78,28.92,32.49,1.681536815,25.77,129
06923940,Ref,FALSE,1353.8,1.92,37.595879,-92.92753,110.88,13.19,68.3,288.3,107.9,93.2,10,6,804.1,8.5,0.098,2.4,8.6,12.27,228.2,331.2,54.58,37.54,0.13,0.56,1.41,37.24,0.29,53.27,40.66,5.89,0.1,1.55,1.37,0.48,4.61,54.2,64.52,45.47,40.94,39.87,19.18,0.3,215.89,358,0.524,4.6,318.1,0.744,-0.668,0.6,18,32.4,28.93,31.56,1.691740082,25.57,254
06925200,Ref,FALSE,11,2.81,37.922902,-93.190199,107.22,13.1,67,288,108,90,10,5,802.8,8,0.131,3,9,11.61,283.7,313.2,7.91,78.43,0,3.48,1.82,78.43,0,24,45,31,0.12,1.37,1.42,0.57,2.74,60,79.74,65.66,38.94,49.37,11.69,0.33,216.97,325,0.565,1.9,328.1,0.849,-0.528,1.56,16.19,31.81,29.28,29.99,1.862577631,26.02,46
06927000,Ref,TRUE,667.1,1.37,38.227233,-92.039254,108.81,12.64,67.4,284.8,111.6,94.2,10,5.9,787.6,10.1,0.11,2.5,7.9,12.3,240.2,323.5,54.57,38.59,0.04,0.21,1.99,37.34,1.25,21.38,64.66,10.46,0.13,1.11,1.39,0.78,5.06,45.55,82.71,65.53,39.51,45.29,15.2,0.34,196.22,263,0.458,5.5,11.7,0.979,0.203,0.68,18.27,31.62,30.14,28.82,1.909274649,26.26,212
06928000,Ref,TRUE,3274.8,1.94,37.398251,-92.507634,110.94,12.93,67.6,285.5,110.6,91.5,9.7,5.6,786.4,9.7,0.074,2.6,7.4,12.11,148.2,358,50.31,42.9,0.08,0.33,1.36,42.5,0.4,59.25,36.9,3.83,0.09,1.72,1.37,0.48,4.82,56.77,62.07,43.6,39.91,41.35,18.74,0.3,217.07,392,0.507,5.1,19.9,0.94,0.341,0.47,19.37,32.55,27.91,31.09,1.673091076,25.24,282
06928300,Ref,TRUE,428.1,1.98,37.447064,-92.188788,112.01,12.93,67.9,284.4,112.7,91.7,9.3,6,785.8,10,0.067,2.9,6.5,11.86,111.4,366.8,64.67,29.02,0.08,0.28,1.81,28.89,0.14,52.47,37,10.52,0.1,1.73,1.37,0.69,5.3,50.78,64.63,47,40.08,42.08,17.85,0.29,216.33,399,0.584,5.9,346.3,0.971,-0.238,0.23,19.97,33.33,27.87,30.86,1.678959124,25.1,178
06928420,Ref,FALSE,707.7,1.37,37.542789,-92.195705,111.88,12.97,67.2,283.3,114.7,95.7,9.7,6.4,787.1,9.7,0.07,2.6,7,11.94,143.8,359.2,71.83,20.45,0.6,0.38,1.7,20.3,0.15,56.71,35.69,7.59,0.1,1.73,1.36,0.59,5.15,53.14,64.15,45.68,40.29,41.14,18.57,0.29,213.35,370,0.564,6.2,350.2,0.985,-0.17,0.43,19.84,33.06,28.15,30.83,1.686256944,25.19,236
06930000,Ref,TRUE,1426.9,2.18,37.353892,-92.015622,112.37,12.82,67.5,282.9,114.6,87,8.7,5.9,782,10.2,0.062,3.1,5.7,11.98,148.4,368.5,64.3,29.06,0.06,0.09,1.45,28.96,0.1,57.19,33,9.78,0.1,1.76,1.36,0.67,5.36,52.11,66.36,48.1,40.06,41.53,18.41,0.29,217.82,374,0.518,6,21.3,0.932,0.363,0.31,20.58,33.41,27.81,30.59,1.666204732,25.09,251
06934000,Ref,TRUE,8264.9,1.37,37.576853,-92.218496,111.09,12.86,67.5,284.8,112.7,92.7,9.7,6,785.8,9.8,0.078,2.8,6.3,12.04,146.9,352.3,61.15,31.26,0.17,0.21,1.67,30.93,0.33,57.45,36.76,5.58,0.1,1.75,1.37,0.54,5.08,54.78,64.32,45.35,39.24,41.2,19.57,0.3,212.29,356,0.518,6,12.1,0.978,0.21,0.63,19.53,32.55,28.5,30.51,1.709231148,25.38,363
402114105350101,Ref,TRUE,104.8,2,40.371101,-105.710166,94.4,1.06,55.4,232.4,188.6,136.1,14.2,7.6,358.8,64.5,0.167,0.3,0.4,9.6,4.9,597.7,45.08,0.49,17.2,1.93,16.79,0.49,0,32.11,22.63,22.37,0.07,7.14,1.47,0.57,5.36,50.28,60.07,23.61,11.46,32,56.54,0.11,53.85,3301,0.582,38.9,92.2,-0.038,0.999,2.2,26.33,31.75,16.24,20.41,4.07344631,20.23,1476
