StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09442692,Ref,TRUE,247.8,1.98,33.974103,-108.490975,41.55,8.88,47.4,271.5,150.5,69,12.3,3,558.7,16.8,0.311,17.1,11.37,438.2,24.8,58.56,0.01,4.76,36.41,42.78,47.29,6.58,0.13,2.56,1.42,0.17,59.53,80.52,42.44,27.67,31.75,40.57,0.29,42.75,2307,0.331,10.1,192,-0.978,-0.207,7.4,5.66,16.48,11.99,4.192517859,19.52,749
09444200,Ref,TRUE,1307.8,1.48,33.633102,-109.30691,57.96,9.16,43.2,271.8,156.4,73.3,13.5,2.5,562.9,17.5,0.238,3.7,10.25,35.1,78.7,85.01,0.06,14.01,0.63,45.41,27.01,27.58,0.1,2.73,1.43,0.16,55.15,69.62,39.97,29.19,32.16,38.65,0.21,55.28,2092,0.51,24.7,171.3,-0.988,0.151,13.16,7.99,20.66,16.2,0.906458968,18.89,1598
09447800,Ref,TRUE,782,1.73,33.142885,-109.695067,44.18,13.2,42.1,297.5,117.9,62.7,10.2,2.1,744.9,8,0.163,20.2,11.02,641.2,25.1,14.55,0.1,85.07,0.14,3.55,35.22,61.24,0.1,0.31,1.34,0.77,44.03,70.45,47.58,40.14,34.28,25.58,0.13,44.29,1575,0.436,15.9,186.4,-0.994,-0.111,12.82,6.35,14.48,10.53,4.061856414,19.52,1190
09460150,Ref,TRUE,10.5,2.32,32.720917,-109.865073,87.32,9.94,44.6,290.7,125.4,78.7,14.1,1.9,588.5,9.4,0.253,2.1,8.63,20.5,272.7,62.24,0.07,14.09,23.52,19.35,1.89,78.76,0.1,1.19,1.45,0.21,27.72,68.56,43.43,20.15,47.78,32.07,0.18,81.95,2434,0.487,44.6,37.9,0.789,0.615,22.51,9.01,33.58,22.16,-0.420801458,16.92,1599
09470750,Ref,TRUE,10.8,2.58,31.430163,-110.324663,71.68,13.53,40,298.7,127.5,77.3,16.1,1,715.1,5.1,0.241,1,8.57,17.6,242.8,96.66,0,3.16,0,30,0,70,0.09,0.94,1.43,0.18,34.29,69.99,42.14,21.14,44.63,34.23,0.14,151.64,2243,0.51,45.4,38.7,0.78,0.626,16.69,7.75,29.19,17.71,0.389721604,15.75,1081
09470800,Ref,TRUE,22.2,3,31.461799,-110.364609,65.03,13.26,40.8,295.5,129.1,69.7,14.5,1,688.5,3.9,0.245,1.7,8.89,28.8,144.3,89.49,0,10.51,0,4.1,60.41,35.49,0.09,0.97,1.43,0.18,34.4,80.44,47.89,29.68,38.81,31.51,0.2,119.39,2025,0.408,35.7,46.6,0.687,0.727,15.74,6.77,26.81,15.7,0.518514874,16.39,997
09471310,Ref,TRUE,10.7,3.61,31.503494,-110.398378,66.52,12.94,41.1,291.8,131.7,70.5,14.8,1,698.2,3.8,0.236,0,8.68,44,126.4,96,0,4,0,0.98,67.71,31.31,0.09,0.94,1.43,0.18,34.29,81.71,48.61,30.71,38.13,31.16,0.21,120.39,2073,0.45,38.1,344.3,0.963,-0.271,16.58,6.85,27.17,16,0.369747815,16.17,824
09480000,Ref,TRUE,213.4,1.99,31.433742,-110.591935,50.06,14.34,39.1,296.4,124.7,63.2,13.7,1,758.8,2.9,0.31,4.9,11.7,768.6,34,11.94,0.02,81.19,5.15,11.34,66.23,22.43,0.14,1.14,1.4,0.38,49.77,74.42,41.95,29.62,31.91,38.47,0.19,81.98,1538,0.22,6.1,193.3,-0.973,-0.231,10.67,5.12,22.7,11.56,4.41936764,17.6,551
09484000,Ref,TRUE,103.7,2.39,32.389151,-110.773159,75.97,14.03,43.3,308.8,97.6,71.1,11.4,2,767.1,3.1,0.167,1,9.14,15.1,133.6,47.69,0,51.61,0,11.72,6.68,81.6,0.1,1.65,1.42,0.22,22.79,67.89,39.85,18.36,43.38,38.26,0.18,92.59,1974,0.583,35.6,192.3,-0.977,-0.213,20.82,11.33,25.12,18.64,1.044212894,17.28,1953
09484550,Ref,TRUE,514.2,1.44,31.759476,-110.632129,50.27,15.41,40.5,307.3,106.2,63.4,13.3,1,810.3,1,0.294,7.9,11.33,768.2,42.6,10.3,0,86.29,2.53,28.45,51.76,19.79,0.14,0.95,1.36,0.42,51.77,73.24,40.14,28.3,33.18,38.52,0.17,103.96,1474,0.135,8,82.7,0.127,0.992,10.82,5.36,21.66,12.36,-0.512672488,17.56,1529
