StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
02246000,Ref,TRUE,451.1,1.39,30.147602,-81.964048,133.98,19.88,73.2,327.1,65.9,103.7,14.2,4.9,1033.3,0,0.202,5.4,0.6,13.42,259.4,294.5,45.19,1.86,1.08,15.64,7.34,1.3,0.56,11.16,0,27.29,12.83,46.6,0.08,8.83,1.51,0.95,1.65,60,99.83,15.54,7.85,7.93,84.22,0.1,458.47,27,0.333,0.6,66.1,0.404,0.915,18.26,25.2,27.59,51.16,30.03,1.375743391,15.28,75
02246150,Ref,TRUE,36.6,1.27,30.167145,-81.496047,130.14,20.58,76.9,346.2,46.9,101.2,12.3,5,1071.6,0,0.207,4.2,0,13.67,320.9,310.9,35.88,0.34,1.2,4.42,10.66,0.34,0,0,0,6.67,56.71,35.11,0.13,8.83,1.34,1.68,0.81,60,99.64,14.94,7.64,7.42,84.93,0.1,455.57,8,0.467,0.1,181.4,-1,-0.025,39.76,23.11,26.18,46.93,33.91,0.347502102,14.68,15
02246900,Ref,TRUE,46.8,1.44,29.869218,-81.392609,131.16,20.8,75.6,349.1,47.7,103.9,12.7,5,1074.9,0,0.207,3.7,0,14,188,323.9,29.32,3.84,0.32,9.58,4.25,3.54,0.29,0,0,1.65,18.97,79.08,0.1,11.23,1.4,7.14,0.76,57.91,99.92,9.04,4.62,4.44,90.94,0.1,453.86,11,0.467,0,107.1,-0.294,0.956,42.07,23.15,26.14,47.16,34.7,0.325651041,14.25,15
02266200,Ref,TRUE,26.1,1.62,28.38951,-81.651396,129.41,22.26,73,359.6,33.5,105,16,4.6,1152.7,0,0.279,5.7,1.2,14.21,118.5,210.4,2.47,21.7,3.01,1.78,5.49,7.28,14.43,44.69,0,3.23,10.21,41.87,0.13,13.04,1.26,13.58,2.91,57.35,99.86,10.4,5.79,4.69,89.51,0.1,510.87,34,0.154,0.7,42.7,0.735,0.678,53.1,20.44,24.49,55.46,29.02,4.516184574,12.02,26
02268390,Ref,TRUE,119.2,1.33,27.841864,-81.508943,129.65,22.42,72,358,41.2,98.2,14.2,4,1155.8,0,0.321,5.7,1.2,12.84,163.5,217,2.73,50.36,0.59,7.65,2.53,10.65,39.7,68.83,0.13,3.5,9.92,17.61,0.08,13.39,1.44,5.47,4.31,56.08,99.81,9.23,4.95,4.41,90.63,0.1,538.07,32,0.192,0.9,100.5,-0.182,0.983,25.77,18.14,24.47,58.06,28.99,4.275251372,11.42,73
02295013,Ref,TRUE,147.5,1.85,27.748644,-81.658408,129.53,22.5,72,358.2,39.7,101.1,15,4,1162.3,0,0.323,5.2,1.7,13.62,83.6,217.4,0.48,49.94,0.11,1.76,2.11,25.45,24.49,15.28,0,7.39,14.52,62.82,0.08,11.93,1.5,1.78,1.73,57.57,99.99,7.85,3.61,4.26,92.13,0.1,541.02,42,0.342,0.2,326.8,0.837,-0.547,38.66,18.26,24.05,58.14,29.06,4.260351412,11.36,38
02296500,Ref,TRUE,886.4,1.35,27.462327,-81.62672,128.85,22.5,71.5,357.8,40.6,95.3,14.1,3.9,1157.8,0,0.335,5.7,0.5,14.14,162.5,216.9,0.85,57.18,0.35,1.4,1.71,38.91,18.27,4.07,0,4.15,21,70.24,0.09,10.85,1.48,2.83,0.99,58.21,99.84,10.66,5.88,4.84,89.28,0.1,553.23,26,0.396,0.1,227.6,-0.674,-0.739,32.31,17.39,23.72,58.7,29.05,4.344378239,11.05,48
02297155,Ref,TRUE,93.6,1.47,27.559118,-82.043556,134.07,22.5,71.2,358,39.5,89.3,14,3.1,1161.7,0,0.335,5.4,0.8,14.23,116.7,265,0,26.93,20.84,1.47,5.06,21.64,5.29,1.61,0,17.17,4.93,76.29,0.08,11.26,1.53,0.4,1.31,58.99,100,8.54,3.49,5.06,91.45,0.1,550.32,35,0.7,0.1,159.8,-0.939,0.345,43.09,19.11,23.04,61.46,30.46,4.455891533,11.24,20
02297310,Ref,TRUE,528.4,0.87,27.403554,-82.001049,131.33,22.51,71,357.6,39.9,94.7,14.8,3.7,1158.6,0,0.337,5.5,0.2,14.3,150.3,264.8,0,46.39,4.25,1.87,2.59,35.56,10.83,1.6,0,8.85,13.68,75.85,0.08,10.82,1.52,1.08,1.07,58.5,99.97,9.89,4.94,4.97,90.09,0.1,563.69,22,0.472,0.1,157.3,-0.923,0.385,41.26,18.29,23.1,59.83,30.11,4.476574505,11.06,36
02298123,Ref,TRUE,540.7,1.48,27.115585,-81.646169,129.32,22.55,71.4,358.7,40.3,97.2,14.3,4,1156.5,0,0.34,6.5,0,15.05,433,222.8,0.04,59.88,0.09,12.67,1.58,33.51,26.37,0,0,1.66,18.56,79.43,0.1,10.75,1.46,3.87,0.76,58.03,99.91,10.5,5.63,4.91,89.47,0.1,563.77,19,0.579,0,212.3,-0.845,-0.535,24.67,17.17,23.45,58.57,30.14,4.448331446,10.7,19
