StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
07362100,Ref,TRUE,996.1,2.03,33.38468,-92.987393,136.87,17.15,69,308.4,87.8,93.1,9.1,6,948.4,0.071,4.9,11.7,12.79,655.4,482.5,72.47,1.8,0.02,9.37,0.18,1.7,0.09,0.41,16.91,59.07,23.61,0.15,1,1.47,0.74,2.84,95.69,63.17,26.18,41.18,32.63,0.31,375.41,69,0.389,2.1,83.1,0.119,0.993,11.85,35.23,38.3,30.12,33.21,1.377893166,21.07,95
07362500,Ref,TRUE,622.2,1.5,34.053461,-92.457692,137.04,16.6,68.2,304.7,88.7,93.5,9,6,928.5,0.078,4.8,11.5,12.69,825,510.7,65.25,1.1,0,13.32,0.26,1.07,0.03,0,12.85,43.47,43.68,0.15,0.87,1.49,0.69,2.23,97.51,69.63,24.6,48.04,27.36,0.36,356.97,79,0.286,1.2,101.6,-0.2,0.98,14.47,35.78,38.61,28.67,33.98,1.39241486,21.72,98
07362587,Ref,TRUE,69.8,2.57,34.804627,-92.993123,151.71,16.45,66.3,313.4,91,100,10,7,922.1,0.046,3,5,10.94,87.9,577.9,96.01,0,0,0.32,0.21,0,0,0,34,42,24,0.12,1.93,1.48,0.52,5.81,73.17,56,29.95,49.48,20.57,0.26,361.32,347,0.325,10.6,74.9,0.261,0.965,0.01,33.79,45.08,31.04,42.22,1.398959371,21.67,326
07362656,Ref,FALSE,47.1,3.02,34.749511,-93.009815,147.54,16.49,67,312.3,90.3,97,9.3,6.5,926.6,0.045,3.1,5,11.19,169,567.4,85.27,0,0,8.39,1.69,0,0,0,46.13,35.16,18.72,0.11,2.98,1.49,0.47,5.76,68.45,52.13,28.44,50.17,21.39,0.26,365.33,237,0.153,7.8,166.5,-0.972,0.234,0.08,32.69,43.52,30.1,40.7,1.397948784,22.36,398
07365800,Ref,FALSE,465.9,2.07,33.17857,-93.042238,137.62,17.3,69.6,308.9,87.5,94.5,9.1,6,953.1,0.076,4.1,7.8,12.93,657.8,485,74.66,1.87,0,9.15,0.11,1.76,0.11,0.03,14.38,58.37,27.22,0.15,0.89,1.47,0.75,2.69,96.01,64.57,26.36,42.15,31.49,0.32,380.62,76,0.408,1.7,138.6,-0.751,0.661,11.13,35.95,38.48,30.29,32.88,1.384117158,20.81,76
07366200,Ref,TRUE,437.8,1.85,33.087159,-92.736334,139.98,17.4,70,309.6,85.6,94.5,9.4,5.9,960.8,0.086,5.3,7.3,13.01,664.9,500.3,63.15,2.51,0.01,9.8,1.09,2.43,0.08,3.52,19.69,50.2,26.59,0.15,1.41,1.48,0.74,3.07,96.02,61.56,25.08,40.29,34.63,0.3,389.75,60,0.459,1.9,118.3,-0.475,0.88,16.47,37.14,39.81,30.97,32.04,1.41391049,20.65,74
07370500,Ref,FALSE,663.4,1.34,32.307966,-92.302919,147.93,17.79,70.8,307.8,83.2,97.9,10,6,973.4,0.122,5.3,5.7,12.67,418.5,540.6,65.91,1.21,0.01,11.59,2.37,1.15,0.06,2.27,23.05,52.13,22.02,0.15,1.52,1.49,0.82,3.23,96.64,60.92,24.91,38.71,36.38,0.3,457.82,57,0.375,1.8,111.7,-0.37,0.929,13.86,42.81,42.66,30.43,32.03,1.414000558,20.07,72
07372500,Ref,FALSE,231.2,1.42,31.789431,-92.130941,153.13,18.44,72,312.1,79.6,99.4,10,5.5,998.8,0.115,5.6,15.2,12.72,761.4,570.4,58.29,1.19,0.02,19.09,5.91,1.18,0.01,1.52,12.95,54.86,30.67,0.17,1.12,1.48,0.53,3.84,99.66,76.01,33.43,43.9,22.68,0.41,493.13,54,0.386,1.5,234,-0.587,-0.809,10.28,43.99,43.65,31.16,34.32,1.359366858,19.03,70
07373000,Ref,TRUE,131.2,1.67,31.573482,-92.482994,153.23,18.61,72.2,313.7,73.3,97.9,10,6,1007.2,0.095,6.2,11.9,12.63,388.2,544.5,73.74,0.83,0.01,8.39,0.38,0.83,0,4.78,76.15,4.71,14.36,0.15,1.71,1.5,0.41,4.71,99.7,62.16,23.92,41.03,35.05,0.31,495.41,57,0.532,2.2,116.4,-0.444,0.896,10.24,43.59,41.96,32.57,35.11,1.37664523,19.13,62
07373500,Ref,FALSE,92.5,1.52,31.014981,-91.307257,166.32,18.87,73,319,68.8,100.6,11,5,1000.8,0.075,6.1,15,12.57,286.6,639.2,39.96,25.33,0.19,16.58,3.64,20.98,4.35,7.15,46.18,44.4,2.26,0.17,2.04,1.45,0.21,4.04,99.57,80.9,18,63.64,18.36,0.44,576.14,87,0.538,2.1,171.4,-0.989,0.15,9.46,46.27,44.95,39.52,35.6,1.350737476,17.43,78
