StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
07048000,Ref,FALSE,214.5,1.94,35.884513,-94.142387,128.19,13.5,65.9,289,109.3,92.5,10.7,5.9,789.2,6,0.064,2,4,11.23,63.1,500.8,67.35,23.01,0.98,0.03,2.52,22.95,0.06,55.91,28.61,15.48,0.11,1.96,1.42,0.96,5.96,41.99,78.56,46.28,29.32,36.76,33.92,0.22,308.88,523,0.475,12.1,289,0.325,-0.946,23.33,38.61,30.65,35.97,1.538906713,22.95,305
07048800,Ref,TRUE,361.5,1.76,35.993575,-93.870368,124.83,13.78,65.4,291.8,107.3,86.9,10,5.1,799.3,6,0.059,2.7,6.8,11.43,46.3,454.2,58.12,35.79,0.03,0.19,1.98,35.79,0,55.95,28.33,15.71,0.11,1.98,1.42,0.96,5.98,42.16,78.66,46.22,29.42,36.58,34,0.22,279.47,483,0.368,11.4,305.8,0.585,-0.811,22.93,37.52,29.66,34.8,1.593909505,23.07,372
07049000,Ref,TRUE,690.2,1.98,36.042364,-93.712385,124.01,13.91,64.9,291.8,107.9,84.7,9.4,5,800,5.5,0.059,2.8,7.5,11.62,68.1,441.8,57.97,35.08,0.02,0.11,1.93,35.02,0.06,58.94,28.75,12.32,0.1,1.92,1.41,0.86,5.91,46.13,71.11,42.91,31.81,37.41,30.78,0.24,274.95,478,0.309,10.5,311.8,0.667,-0.745,23.06,37.3,29.52,34.08,1.567867246,22.96,405
07050152,Ref,FALSE,93.1,1.37,36.5792,-93.891187,117.89,13.13,67,289.5,107,85.7,10,5,785.1,7.2,0.093,3,9.6,11.22,50,395.1,64.55,28.12,0.16,0.04,2.57,28.06,0.06,62.31,33.36,4.33,0.1,1.71,1.37,0.58,5.52,57.78,52.73,36.06,38.23,40.54,21.23,0.3,249.68,436,0.731,10,25.4,0.903,0.429,20.09,34.42,31.11,32.31,1.688625976,24.11,171
07053250,Ref,TRUE,136.1,1.93,36.39698,-93.434917,114.88,13.89,67,292.8,103.4,84.8,9,6,813.5,6.2,0.077,3.2,9.1,11.88,143.2,355.6,22.48,70.09,0.13,0.14,1.69,70.05,0.04,59.96,33.26,6.78,0.11,1.7,1.38,0.7,5.62,52.48,57.91,38.82,36.05,40.51,23.44,0.29,242.83,395,0.345,5.5,68.3,0.37,0.929,20.82,33.95,29.72,30.48,1.647436753,23.85,281
07053810,Ref,TRUE,507.3,1.81,36.851278,-93.198468,113.08,13.06,67.2,292.7,104.3,79.4,8.7,4.9,788.7,8.1,0.077,2.9,8.8,11.82,88.9,366.4,75.53,18.2,0.16,0.3,1.65,18.09,0.11,44.63,40.52,14.85,0.1,1.69,1.37,0.82,5.63,47.34,65.23,49.38,40.06,43.57,16.36,0.28,230.91,363,0.652,11.1,163.9,-0.961,0.277,19.93,32.4,29.11,31.73,1.590057211,24.89,221
07054080,Ref,TRUE,772.7,2.06,36.906759,-92.781209,111.9,13.44,67.4,293.6,102.2,78.9,8.9,4.6,804.4,8,0.053,3,6,11.85,149.6,348.2,55.47,37.88,0.09,0.55,1.38,37.75,0.13,39.72,51.31,8.97,0.1,1.43,1.36,0.59,5.28,51.75,64.7,48.59,41.28,41.93,16.79,0.3,225.32,365,0.434,7.4,196.7,-0.958,-0.288,20.75,32.48,27.11,31.61,1.556269337,24.89,272
07055646,Ref,TRUE,153,2.51,35.854986,-93.446463,127.78,12.9,67.4,293.6,107,80.1,9,5,760,6.7,0.019,2,4,11.1,23.7,524.1,92.76,3.92,0,0,1.1,3.92,0,55.96,28.31,15.74,0.11,1.98,1.42,0.96,5.98,42.17,78.67,46.21,29.43,36.57,34.01,0.22,286.71,623,0.637,17.2,346.7,0.973,-0.229,25.49,38.95,26.45,36.55,1.471988842,23.22,430
07055875,Ref,TRUE,174.6,1.96,35.75946,-92.984857,129.26,13.35,67.8,292.4,106.7,84.8,9.2,5.7,782.9,6.5,0.039,3,6,10.99,19.3,513.4,94.67,2.1,0,0.01,0.81,2.1,0,55.93,28.49,15.58,0.11,1.96,1.42,0.96,5.96,42.06,78.6,46.25,29.36,36.68,33.95,0.22,286.41,517,0.58,15,90.1,-0.002,1,26.38,39.56,27.94,34.98,1.484998651,23.48,371
07056000,Ref,TRUE,2149.4,2.03,35.93078,-93.115666,123.73,13.59,67.5,291.9,105.6,85,9.5,5.4,795.1,6.5,0.035,2.7,7,11.3,40.1,451.9,83.24,11.24,0.02,0.06,2.03,11.22,0.02,55,31.95,12.97,0.11,1.89,1.41,0.84,5.93,45.85,72.55,44.03,31.76,37.31,30.93,0.24,274,443,0.448,16.9,65.5,0.415,0.91,24.96,37.82,26.95,33.85,1.522290445,23.57,609
