StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
06191000,Ref,TRUE,513.9,1.88,44.88088,-110.742896,82.64,1.69,57.5,240,179.8,123.2,13.3,7.4,409.6,59.3,0.12,0,1.6,10.57,50.4,386.7,38.44,0.01,0.43,43.49,14.24,0.01,0,13.52,45.26,22.55,18.66,0.08,3.63,1.47,0.77,5.55,53.59,62.08,33.27,17.82,40.74,41.43,0.21,26.96,2395,0.423,17.3,59.2,0.513,0.859,2.93,22.63,24.94,15.98,18.99,3.699393356,23.56,1608
06191500,Ref,TRUE,6783.6,1.12,44.669182,-110.287429,80.61,0.71,56.8,229.1,192.3,127.8,14.2,7.5,382.5,61.7,0.127,0.9,0.9,10.7,27.1,446.6,40.44,0.03,0.93,41.18,9.16,0.03,0,10.65,41.04,12.64,35.66,0.07,3.51,1.48,0.69,5.62,48.09,52.05,24.57,14.95,38.21,46.84,0.17,25.61,2522,0.453,21.2,283.4,0.231,-0.973,7.91,23.57,23,15.59,18.32,3.8132404,23.02,2139
06197500,Ref,FALSE,583,2.09,45.339781,-110.23536,89.82,1.08,54.1,231,190.1,118.7,13.6,7.3,389.8,59.5,0.102,0,0.4,9.49,5.9,545.4,66.85,0.02,1.77,19.2,11.46,0.01,0.01,11.53,44.52,8.46,35.48,0.07,4.27,1.47,0.7,5.68,45.53,46.89,19.31,11.37,36.14,52.49,0.13,31.81,2663,0.601,38.4,43.3,0.727,0.686,0.68,22.97,28.22,18.13,20.45,3.852195034,21.84,1924
06206500,Ref,FALSE,354.4,1.82,44.700063,-109.649469,83.06,2.56,51.4,245,173,112.6,11.6,6.8,413.6,57.6,0.101,0.1,1.5,10.02,18.4,454.9,44.61,0.66,9.42,29.07,14.89,0.66,0,4,41.16,17.49,37.35,0.11,2.79,1.4,1.15,5.93,41.17,64.68,34.61,18.95,40.38,40.67,0.16,32.14,2536,0.299,38.1,86.4,0.063,0.998,0.89,23.47,24,15.73,20.09,3.87722647,22.23,1633
06209500,Ref,TRUE,272.7,2.78,45.053304,-109.464033,84.95,0.12,50.4,236.7,191.1,104.2,12.4,6.4,354.5,60.2,0.139,1,1.3,9.4,6.6,461.8,23.29,0.01,4.77,38.29,30.09,0.01,0,10.79,26.96,25.27,36.97,0.07,5.46,1.45,1.1,5.3,42.25,50.99,19.77,10.78,34.36,54.87,0.13,30.22,2992,0.565,36.7,104.5,-0.25,0.968,1.75,19.01,30.24,17.31,18.47,3.858250332,21.49,1848
06218500,Ref,TRUE,596.9,2.13,43.699668,-109.884758,72.58,0.57,54.3,227.5,191.9,101.4,10.6,6.2,366.6,62.1,0.142,0,2.7,10.38,57.6,273.8,56.89,0.17,1.99,28.66,7.96,0.17,0,2.78,39.3,18.1,39.81,0.11,2.34,1.34,0.85,5.71,41.74,62.95,37.4,20.73,40.99,38.28,0.22,25.71,2672,0.334,18.6,150,-0.866,0.501,3.92,21.21,21.77,12.9,16.69,3.854602822,22.39,1428
06221400,Ref,TRUE,227.9,2.04,43.27598,-109.576777,75.71,-1.7,55.9,232.9,200.8,84.3,9.1,5.2,307.3,64.1,0.127,0,1.9,9.72,10,369.8,17.03,0,6.12,25.14,43.54,0,0,15.99,25.02,0.01,58.98,0.08,2.58,1.45,0.32,5.95,59.98,68.51,32.7,19.67,36.34,44,0.15,25.92,3270,0.581,36.8,70.3,0.338,0.941,1.88,16.04,27.51,13.88,18.22,4.026061259,21.06,2197
06222700,Ref,TRUE,78.5,1.91,43.648385,-109.246065,65.74,-0.17,56.1,241.9,185.4,71.2,8.4,4.2,336.5,48.2,0.145,0,3.7,9.67,27.3,162,32.57,0,1.2,40.29,25.65,0,0,0,32.8,12.65,54.55,0.11,1.3,1.29,1.08,5.92,33.43,60.72,38.67,23.79,44.56,31.65,0.23,23.4,3026,0.367,29.1,193.5,-0.973,-0.233,0.29,11.99,22.87,15.8,15.05,3.480253758,21.42,1094
06224000,Ref,TRUE,484.9,1.88,43.08586,-109.42382,76.45,-0.91,55.7,237.6,197.1,81.4,8.9,5.4,321.3,62.1,0.141,0,0.1,9.91,14.4,372.3,31.06,0.05,3.67,22.75,37.25,0.05,0,15.21,26.47,0.5,57.82,0.08,2.52,1.44,0.35,5.95,58.92,68.13,32.97,19.88,36.76,43.35,0.15,24.95,3179,0.585,31.9,49.3,0.652,0.758,2.8,16.33,28.23,13.49,18.13,3.928716011,21.14,2379
06228350,Ref,TRUE,230.9,1.86,42.890817,-109.185737,77.05,-0.32,55.9,245.8,184.7,77.7,8.7,5.3,330.1,61.2,0.17,0,0.1,9.92,15,360.4,34.4,0.08,3.11,28.47,30.97,0.08,0,15.57,25.79,0.27,58.37,0.08,2.54,1.44,0.34,5.95,59.4,68.31,32.86,19.79,36.57,43.64,0.15,26.22,3111,0.605,28.9,50.9,0.631,0.776,2.68,15.25,29.71,12.95,17.5,3.854151261,20.95,1928
06260000,Ref,FALSE,224.1,1.31,43.692085,-109.105542,54.8,1.4,54.2,245.5,176.3,65.1,8.1,3.8,371.3,46.9,0.208,0,2.5,9.85,25.9,156.4,20.15,0,2.07,46.66,31.06,0,0,1.25,30.25,14.4,54.11,0.12,1.79,1.32,1.1,5.91,34.75,64.34,38.96,22.03,42.9,35.07,0.22,22.25,2846,0.482,29.1,145.4,-0.823,0.568,0.06,8.21,19.73,14.79,12.11,3.598911218,21.62,1810
06265337,Ref,TRUE,211.1,1.69,43.787221,-108.879132,42.86,5,53,253.7,157.6,60,8,3,479.8,24.9,0.303,0,1.3,10.39,97.7,38.2,18.73,0.01,0.14,66.82,13.44,0.01,0,0,48.35,18.04,33.62,0.14,1.8,1.35,0.84,6,41.14,80.94,50.15,22.56,39,42,0.24,19.3,2186,0.288,16.7,102.4,-0.214,0.977,0.86,4.01,15.97,13.13,9.84,3.185004915,22.69,1591
06265800,Ref,FALSE,248.6,1.73,43.960341,-108.935162,43.33,5.21,52.4,253.3,159.9,57.5,8.1,2.6,483.1,23.6,0.309,0,3.4,11,59.9,42.7,25.77,0.29,0.02,54.16,19.15,0.29,0,0,34.47,23.07,42.46,0.15,1.56,1.33,0.69,6,35.06,85.63,54.67,23.21,42.77,34.02,0.28,18.34,2121,0.259,20.2,63.5,0.446,0.895,0.6,3.75,16.22,13.24,10.15,3.151173038,22.41,1465
06267400,Ref,TRUE,395.3,2.13,43.891452,-107.723456,27.4,7.53,55.9,262.9,138.7,57.7,8,3.3,624.7,20.9,0.254,0,0,12.7,309.4,10,0,0,1.05,59.27,39.65,0,0,0,31.51,15.63,52.85,0.16,1.24,1.3,0.39,6,37.11,93.67,62.13,25.16,42.36,32.48,0.36,12.35,1389,0.295,6.2,312.7,0.679,-0.735,0.02,3.07,9.97,7.37,6.98,3.28765923,29.23,403
06278300,Ref,TRUE,58.9,2.06,44.490496,-107.345543,81.41,-1.24,57.5,239,186.5,103,11.9,5.2,325.3,66.6,0.114,0.4,0,10.13,19.1,512.3,28.31,0,0.02,40.18,30.44,0,0,11.77,11.83,26.51,49.89,0.08,3.9,1.41,0.9,5.98,33.14,50.33,21.22,11.35,36.76,51.89,0.14,57.44,3047,0.381,18.8,301.8,0.526,-0.85,1.05,17.46,27.85,16.55,19.57,3.987902005,21.46,740
06280300,Ref,TRUE,794,1.71,44.024963,-109.669985,82.83,0.01,55.2,233.8,189.1,96.7,10.4,6,348.8,60.3,0.094,0,0.9,9.49,5.8,336.8,39.3,0.28,10.38,24.47,24.27,0.28,0,15.27,27.22,12.21,45.29,0.07,4.04,1.47,0.65,5.43,43.56,39.23,15.92,10.41,37.17,52.42,0.13,27.1,2953,0.564,44.7,2.8,0.999,0.049,0.75,22.07,24.84,16.3,19.81,3.953068805,22.02,1886
06289000,Ref,TRUE,471.3,2.72,44.882811,-107.704328,67.48,1.79,57.5,240.8,179.3,95.3,10.7,5,398.6,52.7,0.135,0.1,1.3,9.94,44.1,276.1,68.62,0,0.04,16.66,14.5,0,0,0,4.78,54.46,40.76,0.14,1.37,1.28,1,6,27.47,79.13,52.61,25.17,43.37,31.45,0.26,34.05,2481,0.67,26.7,46.3,0.691,0.723,0.11,12.48,23.87,15.06,16.05,3.401772177,22.22,1731
06291500,Ref,TRUE,218,1.71,45.034172,-107.746954,58.6,4.95,57.2,259,161.5,88.9,10.6,5,494.9,35.9,0.174,0,25.4,10.08,253.4,186.3,34.49,1.33,0.17,29.16,29.51,0.64,0.69,0.01,15.48,27.71,56.8,0.13,0.93,1.36,1.13,5.99,30.74,84.83,61.46,29.7,45.26,25.05,0.3,30.87,1821,0.32,19.8,53.4,0.596,0.803,5.01,8.98,20.76,14.3,14.56,3.21784507,23.53,1711
