StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10336740,Ref,TRUE,5.5,3.06,39.058408,-119.913761,85.46,5.94,54.7,262.7,171.6,72.9,9.7,2,460,55.1,0.478,0,9.34,10,398.4,85.06,0,14.94,0,23.21,32.69,32.53,0.06,11.32,1.48,1,5.85,29.77,77.07,15.09,5.14,22.55,72.31,0.13,40.3,2352,0.505,19.6,292.1,0.376,-0.927,40.84,22.53,5,18.46,2.087869387,17.8,675
103367592,Ref,TRUE,1.6,2.17,38.94614,-119.918293,83.08,4.95,54.8,244.5,184.5,73.5,10,2,432.9,62,0.469,0,10.34,2,438,60.95,0.06,38.33,0.67,19,39,31,0.06,13.4,1.49,1.05,5.82,26.59,84.03,13.02,4.02,15.59,80.39,0.12,38.9,2495,0.562,32.4,329.3,0.859,-0.511,38.19,21.57,5.17,16.9,2.460976008,17.18,930
10336770,Ref,TRUE,19.1,2.87,38.842391,-119.932872,92.77,4.78,55.8,237.3,189.1,84.6,11.4,2,421.4,69.4,0.464,0.7,8.82,2.6,527.6,59.78,2.11,35.74,2.19,39.4,15.67,34.58,0.06,9.81,1.33,2.14,5.89,36.9,62.05,12.26,3.79,19.3,76.92,0.12,88.41,2613,0.448,31.1,303.4,0.55,-0.835,42.74,24.63,6.05,19.31,3.038198228,16.87,1097
10343500,Ref,TRUE,27.6,3.12,39.42842,-120.270251,97.64,5.42,54.8,242.9,189.1,84.2,11.7,2,447.2,65.3,0.495,2.3,9.96,38.5,679.4,88.28,0,11.38,0.24,84.87,0,9.02,0.11,2.36,1.21,1.89,5.86,48.42,59.61,29.77,18.11,37.04,44.85,0.16,91.58,2128,0.281,14.2,83.5,0.113,0.994,45.42,26.06,4.64,21.15,3.052230874,17.53,707
10348850,Ref,TRUE,19.1,2.61,39.335368,-119.899482,122.23,5.3,55.3,249.9,180.6,85.8,12.6,2,438.3,60.5,0.512,0.1,8.77,9.6,525.2,37.65,5.03,50.58,3.93,36.92,25.39,35.53,0.1,4.63,1.3,1.02,4.99,40.93,70.44,30.65,16.31,35.62,48.06,0.16,68.59,2629,0.527,32.3,91.5,-0.025,1,60.56,31.11,6.26,24.08,2.88261801,18,1365
10353000,Ref,FALSE,357.3,2.2,42.016287,-117.550831,49.66,8.77,55.5,269.9,151.5,75.8,9.1,2,580.4,44.3,0.263,1.2,10.59,127.6,176.4,0.81,0,98.71,0.42,10.37,34.66,54.98,0.11,1.2,1.36,1.07,5.99,34.9,67.37,43.47,31.48,40.69,27.83,0.26,21.42,1875,0.417,17.9,343,0.956,-0.292,15.94,16.73,5.72,11.23,2.307256071,22.19,1046
10353600,Ref,TRUE,52.2,1.82,41.967423,-118.291442,57.49,7.18,58.1,262.3,162.1,71.1,9.2,2,538.3,46,0.354,0.7,9.6,316.7,94.4,3.66,0.02,95.59,0.72,23.7,34.44,39.43,0.1,1.58,1.35,1.26,5.59,33.8,71.48,45.02,28.49,42.47,29.04,0.2,17.39,1952,0.458,27.6,212.4,-0.844,-0.536,22.31,16.76,5.47,13.18,2.333679556,22.06,1154
10353700,Ref,FALSE,131.9,2.88,41.595408,-118.701905,38.97,8.39,55.2,265.8,149.1,65.1,8,2.2,590.9,37.7,0.259,0,9.67,45.5,22.2,0.19,0.59,93.89,5.12,35.76,21.43,41.82,0.1,2.14,1.38,1.01,5.94,34.21,67.32,34.27,23.72,38.52,37.76,0.19,9.87,1840,0.34,21.9,191.3,-0.981,-0.196,13.27,12.09,5.36,8.08,2.350935385,22.54,1558
10353750,Ref,TRUE,34.4,3.25,41.516759,-118.969846,47.97,7.27,59.8,264.8,158.3,67.3,8,2.4,536.3,38.9,0.301,0,9.84,34.5,45.9,0.92,0.3,98.15,0.62,51.39,7.13,39.39,0.11,1.35,1.33,1.51,5.98,44.54,65.6,39.7,27.03,40.92,32.04,0.19,13.74,2192,0.401,21.5,342.9,0.956,-0.294,16.68,15.14,5.43,10.67,2.080172988,21.07,798
10353770,Ref,TRUE,81.9,2.25,41.074681,-119.354118,31.25,9.35,58.8,274.5,143.9,66.1,7.9,2,614.4,26.6,0.221,0.2,10.67,96.4,11.8,1.28,0,96.36,1.41,3.92,24.83,71.24,0.11,0.95,1.36,0.63,6,20.77,69.33,39.03,29.66,35.82,34.53,0.16,10.25,1759,0.314,19.3,169.1,-0.982,0.19,10.29,9.46,4.67,6.82,1.5718442,21.44,1201
