StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10234500,Ref,TRUE,236.4,2.34,38.284309,-112.437002,75.93,3.87,50.3,246.6,177.1,90.9,10.3,4.6,430.1,56.6,0.152,2.4,9.81,27,321.1,87.23,0.58,6.46,4.2,79.15,13.34,5.8,0.1,2.33,1.4,1.04,6,54.45,58.72,32.98,19.31,43.36,37.33,0.17,38.05,2881,0.547,24.2,273,0.053,-0.999,22.32,23.14,13.84,16.85,3.564818811,20.94,1796
10241400,Ref,FALSE,41.4,1.85,37.879539,-112.655077,50.73,6.15,51.5,258.6,158.7,70.7,8.5,3.6,493.8,47.3,0.07,13,10.32,152.5,123.9,83.63,0.07,14.42,0.05,38.25,40.42,21.33,0.1,2.95,1.37,0.68,6,45.95,66.05,40.77,24.94,40.53,34.52,0.18,27.52,2401,0.327,20.7,307.5,0.609,-0.793,12.56,14.43,10.73,12.69,2.959679577,21.38,1006
10241470,Ref,FALSE,34.2,1.81,37.744695,-112.796521,68.26,4.01,53.3,253.7,167.1,77.4,9.4,3.5,425.7,56,0.134,15,9.68,54.3,266.5,90.73,3.94,4.37,0.74,23.31,76.18,0.51,0.14,0.67,1.35,0.72,6,57.74,79.75,57.88,33.51,41.73,24.76,0.21,32.92,2656,0.465,27.7,355.8,0.997,-0.073,19.34,19.33,13.42,16.39,3.508822685,20.68,1330
10241600,Ref,FALSE,62.7,2.38,37.733506,-112.900091,61.62,5.83,51.6,261.5,156.3,70.8,8.9,3,481.6,54,0.114,14.9,9.38,64.1,229.5,93.14,0.9,5.47,0.05,16.18,70.8,13.02,0.14,0.77,1.35,0.66,6,50.04,75.03,54.68,32.88,43.2,23.91,0.2,30.23,2577,0.512,27.3,350.7,0.987,-0.161,16.58,17.51,12.46,14.9,3.261516214,20.67,1274
10242000,Ref,TRUE,208.7,2.04,37.631402,-112.939677,66.46,5.79,52.4,264.9,155.3,74.5,9.5,3.4,482,54.5,0.141,14.4,9.68,76.5,273.7,79,7.28,11.87,0.58,16.79,70.22,12.99,0.14,0.79,1.35,0.66,6,50.07,74.94,54.44,32.73,43.12,24.16,0.2,32.01,2637,0.555,27.1,338.1,0.928,-0.373,18.54,19.56,12.67,15.71,3.384212357,20.52,1457
10243260,Ref,TRUE,28.4,2.86,39.008108,-114.27774,62.45,4.67,49.3,250.1,170.4,86.4,10.1,4,448,44.2,0.12,1.9,8.54,16.8,177,81.37,13.93,2.47,0.1,23,32.3,44.71,0.1,2.28,1.27,1.57,5.96,30.7,51.44,28.56,17.96,46.77,35.26,0.19,28.79,2894,0.448,32.5,83.8,0.108,0.994,15.95,19.9,11.75,14.39,2.963151493,21.76,1906
10243700,Ref,TRUE,83.5,2.37,39.261435,-114.599917,51.01,3.52,53.1,250,173.1,78.6,9.3,4,423.3,43.5,0.149,1.9,9.47,11.3,134.7,61.41,8.61,18,11.87,23.3,33.29,43.33,0.1,2.14,1.26,1.59,5.96,30.21,51.33,28.82,18.15,47.15,34.7,0.19,27.37,2702,0.487,40,157.3,-0.923,0.385,13.19,17.39,8.84,11.62,3.086183693,21.06,1715
10244950,Ref,TRUE,28.2,3.02,39.233269,-114.679501,54.17,3.43,53.5,248.5,174.7,79.5,9.3,4.1,419.1,54.1,0.172,1.7,9.59,16.9,216.9,73.25,3.79,9.21,12.09,23.96,38.44,37.61,0.1,2.16,1.25,1.66,5.95,31.17,51.15,28.77,18.47,46.48,35.05,0.19,33.31,2706,0.421,30.4,228.2,-0.667,-0.745,14.4,18.91,8.97,11.8,2.975332225,21.37,1079
10245445,Ref,TRUE,79.3,2.55,39.258705,-115.40548,41.26,5.59,48.2,252.1,168.1,67,7.1,4,481.9,44.4,0.137,1.9,10.22,22.3,44.3,35.38,0,50.46,14.1,21.03,32.68,46.3,0.1,2.44,1.31,1.39,5.97,33.66,53.83,30.18,18.83,46.13,35.04,0.2,19.38,2379,0.387,18.2,13.3,0.973,0.23,10.61,14.02,6.54,10.1,2.88902875,22.43,759
10245800,Ref,FALSE,378.5,2.59,39.304457,-115.602968,33.52,7.34,46,257.7,158.8,63.7,7.1,3.9,546.1,40.2,0.116,2.1,11.4,116.6,37,25.24,0.18,56.34,18.24,31.52,11.38,56.98,0.1,3.01,1.42,0.76,5.97,46.23,61.6,32.62,16.41,43.81,39.79,0.25,13.85,2006,0.102,8.6,341.3,0.947,-0.32,8.4,11.12,5.64,8.36,2.935589369,23.08,1363
10245900,Ref,TRUE,31.4,3.19,38.78744,-116.902905,65.28,4.44,47.2,259.9,169.1,63.9,7.7,3,424.6,58.5,0.301,7.2,8.83,11.8,192.5,38.48,2.06,31.98,27.04,38.85,19.44,41.71,0.11,1.8,1.39,1.36,6,36.23,63.12,35.81,22.84,41.44,35.72,0.16,22.85,3015,0.535,40.7,93.7,-0.064,0.998,20.45,25.57,7.77,11.61,2.97813768,20.35,1317
10245910,Ref,TRUE,38.8,2.75,38.804992,-116.62297,65.21,4.05,44.8,251.4,180.2,60.6,7.4,3.6,419.5,52.9,0.304,8.8,9.49,24.7,81.8,41.05,0,53.44,5.49,41.53,19.68,38.79,0.11,1.85,1.39,1.37,6,37.41,63.31,36.01,22.57,41.81,35.62,0.16,15.46,2886,0.615,17.8,277.9,0.137,-0.991,20.01,25.85,7.73,11.48,3.294654732,20.04,1118
10246846,Ref,FALSE,34,3.05,38.878625,-115.389101,45.63,5.32,47.8,253.2,171.5,66,7,4,467.7,41.9,0.099,3.1,9.38,18.2,24.1,76.29,0.19,12.82,10.68,20.21,30.03,49.09,0.1,2.47,1.33,1.37,5.97,32.86,55.8,29.78,19.97,41.68,38.35,0.18,24.03,2468,0.306,36.3,119.3,-0.489,0.872,13.24,12.61,8.73,10.93,2.90839681,21.93,1384
10249300,Ref,TRUE,50.2,2.53,38.844432,-117.296155,58.51,4.96,46.7,256.3,173.3,59.5,7.1,3,435.8,55.3,0.286,7.7,9.49,8.4,211.1,54.5,0.08,39.05,5.72,36.78,19.19,43.87,0.11,1.79,1.39,1.35,6,35.38,62.9,35.57,23,41.09,35.91,0.16,24.9,2762,0.534,43.7,75.6,0.249,0.969,17.64,22.55,7.31,10.58,2.766284228,20.85,1572
10249900,Ref,FALSE,95,3.14,37.808173,-118.288678,32.62,2.35,54,251.9,182.6,44.6,4.8,2,373.4,60.6,0.197,0,8.93,6.4,46,33.67,8.07,31.76,26.22,9.14,34.76,50.82,0.07,10.53,1.46,1.04,5.9,19.65,76.98,17.12,10.57,21.9,67.53,0.12,21.87,2950,0.462,37.7,76.4,0.235,0.972,10.22,10.76,5.67,5.99,3.76757338,17.82,2185
10291500,Ref,TRUE,113.6,1.97,38.199557,-119.415263,96.66,3.63,57.2,246.8,184.5,82.6,11.1,3,402.8,72.9,0.482,0.8,9.46,3.7,523.9,24.06,14.44,56.11,4.85,27.46,10.97,59.01,0.06,8.9,1.33,1.41,5.62,46.43,64.05,17.12,7.1,25.58,67.32,0.11,80.07,2823,0.479,36.9,85.8,0.074,0.997,46.26,24.3,6.06,20.14,3.71441524,16.74,1502
10295500,Ref,TRUE,162.9,1.93,38.293515,-119.447266,85.03,4.05,58.7,246.1,183.7,74.5,9.7,3,410.7,71.2,0.454,1.7,10.13,21.1,444.5,12.89,9.06,73.67,2.64,65.53,5.86,28.37,0.07,4.5,1.29,1.22,5.79,46.06,57.2,22.59,12.94,33.29,53.77,0.14,71.28,2592,0.365,24.2,1.7,1,0.029,39.42,21.22,6.23,18.15,3.463317024,17.22,1454
10308200,Ref,TRUE,716.4,1.86,38.573341,-119.720634,98.02,4.83,59.8,253.3,175.2,85.2,11.4,2.2,431.7,67.2,0.457,0.4,9.81,6.7,526.8,41.2,3.67,52.42,1.76,47.22,9.45,40.84,0.08,7.37,1.21,1.72,5.82,36.4,68.26,25.57,12.65,29.7,57.65,0.15,107.68,2425,0.428,29.6,26.4,0.895,0.445,44.83,26.3,6.46,20.53,3.239178822,17.41,1822
10308783,Ref,TRUE,10.8,2.35,38.685059,-119.640922,63.5,5.12,58.9,253.1,174.2,84.2,11.3,2.2,435.2,60,0.428,0,9.39,9.3,389.1,39.34,0,59.05,0.67,77,0,23,0.12,4.82,1.23,0.81,6,33.31,75.85,45.97,25.99,39.15,34.86,0.19,71.75,2409,0.549,18.4,302,0.529,-0.848,28.27,16.05,4.61,14.51,2.550474183,17.58,446
103087891,Ref,TRUE,1.5,3.45,38.70505,-119.641781,62.07,5.2,59,253,174.1,80,10.9,2,441,58.2,0.429,0,10.85,19,369.4,51.14,0,47.19,0.6,77,0,23,0.12,4.82,1.23,0.81,6,33.31,75.85,45.97,25.99,39.15,34.86,0.19,60.55,2318,0.356,23.8,319,0.755,-0.656,27.74,15.41,4.54,14.16,2.333804803,17.65,362
