StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
01115670,Ref,FALSE,10.9,2.59,41.596154,-71.624982,126,9.68,70,280.5,123.8,118,11,8.2,646.7,26,0.042,3.9,2,12.24,57.3,681.5,73.67,3.72,0.15,0.31,0,3.72,0,22.09,35.87,3.22,32.69,2.38,3.75,0.11,7.02,1.4,2.66,3.88,56,75.04,30.74,4.71,39.54,55.75,0.2,178.11,121,0.319,3.9,36.9,0.8,0.601,12.4,31.83,32.57,29.14,32.55,1.690668437,24.66,94
01115770,Ref,FALSE,18.9,2.07,41.637312,-71.579991,124.24,9.71,70,283,121.1,115.1,11,7.9,650.1,25.3,0.043,4,0.3,12.55,56.5,652.4,66.36,0.69,4.12,0.79,0.61,0.62,0.07,22.71,52.23,2.89,14.92,3.18,4.07,0.11,7.7,1.42,1.97,4.63,55.06,74.84,32.1,4.16,41.92,53.93,0.22,164.57,99,0.273,3.1,291.9,0.372,-0.928,13.28,31.51,32.14,28.6,32.04,1.664272457,24.43,77
01117370,Ref,TRUE,50.5,2.39,41.580309,-71.560516,126.69,9.78,70.8,279.6,123.6,114.6,11,8,649.7,25.7,0.047,4,1.1,11.93,53.6,659.8,69.37,5.13,0.02,1.14,2.29,4.35,0.79,13.57,63.58,2.58,16.05,1.27,2.96,0.12,6.91,1.43,2.13,4.59,56.95,76.16,35.87,4.25,46.41,49.34,0.25,171.22,85,0.393,3.6,140.3,-0.77,0.638,10.17,32.23,33.17,28.84,32.46,1.664057843,24.11,117
01117468,Ref,TRUE,25.3,1.79,41.538127,-71.644425,127.66,9.73,70.1,279.7,124.1,117,11.3,8.1,647.5,25.7,0.044,3.6,1.6,11.49,60.7,671.1,73.07,3.46,0,0.84,0.1,3.46,0,8.26,51.77,3.09,31.29,0.85,4.75,0.12,5.57,1.42,2.77,4,55.96,77.13,35.57,5.16,44.56,50.28,0.21,180.57,100,0.44,4.3,154.5,-0.902,0.431,13.85,32.33,33.31,29.28,32.8,1.674765031,24.25,150
01117800,Ref,TRUE,90.8,1.71,41.627002,-71.750138,125.85,9.3,68.8,281.6,123.7,116.5,11,8,638.3,26,0.037,3.6,0.7,11.76,40.3,640.5,73.39,4.16,0.03,0.98,0.1,3.37,0.79,13.68,50.87,4.11,24.87,0.88,5.17,0.12,6.53,1.4,3.31,4.19,55.58,76.34,32.72,4.98,41.64,53.38,0.21,161.86,123,0.5,4.6,170.5,-0.986,0.165,15.26,31.16,31.47,30.14,33.16,1.720971337,24.99,166
01118300,Ref,TRUE,10.4,2.43,41.494698,-71.841267,127.11,9.79,69,286.2,120.8,115.7,11.2,8,652.1,24.3,0.036,4,1.3,10.41,62.7,628.4,76.15,4.29,0,6.2,0,3.81,0.48,0,67,3,23,0,7,0.12,5.08,1.42,2.74,4.3,54.75,77.81,36.52,5.41,45.43,49.16,0.2,181.41,103,0.47,4.7,134.2,-0.697,0.717,8.77,31.7,32.43,30.02,33,1.615048742,24.6,117
01120500,Ref,FALSE,6.7,2.1,41.942109,-72.039356,129.75,8.28,66,277.3,130.3,119.2,11.1,8.2,611.5,28,0.02,4.1,2.1,10.92,35.3,625.6,74.59,12.4,0,0.72,0,11.52,0.88,0.66,32.39,3.66,57.93,0,5.35,0.13,3.21,1.4,3.58,3.2,55.99,79.15,39.11,6.43,46.76,46.8,0.21,140.47,233,0.557,6.3,228.9,-0.658,-0.753,7.06,30.83,32.36,32,33.93,2.065927525,25.61,122
01121000,Ref,TRUE,70.3,1.59,41.890658,-72.175763,128.44,8.52,66,275.9,129.1,115.8,11,8.2,619.1,26.8,0.021,4,2.2,11.47,34.9,596.8,75.08,5.69,0.08,0.72,0.01,5.47,0.22,3.31,42.26,3.41,42.7,0.58,7.55,0.13,4.15,1.4,3.18,3.77,53.9,78.23,37.63,6.13,45.73,48.13,0.21,139.24,192,0.338,6,150.8,-0.873,0.488,11.16,30.35,32.12,32.06,33.77,1.940020176,25.46,278
01123000,Ref,TRUE,77.9,1.37,41.757664,-72.050839,129.66,8.82,66,275.2,128.9,115,11,8,629.3,26.6,0.026,4,2.5,12.28,51.5,603.4,67.86,8.29,0.17,1.12,0.03,8.03,0.26,9.27,32.23,3.74,49.95,0,4.26,0.12,4.73,1.39,3.33,3.48,56.58,78.01,36.16,5.92,44.26,49.82,0.21,149.79,154,0.483,5.1,198,-0.951,-0.309,16.52,31.58,32.66,31.32,33.96,1.856260597,25.47,174
01127880,Ref,FALSE,17,2.63,45.158583,-71.220278,122.31,2.25,68.7,251,164,170.4,17,12,458.7,38.7,0.125,4,3.8,10.11,207.9,769.4,88.97,0,0.1,6.95,0.38,0,0,2.15,1.28,0,75,16.05,5.51,0.19,1.63,1.27,2.78,3.89,51.07,77.56,53.58,7.78,66.12,26.1,0.24,92.45,626,0.252,10.5,145.8,-0.827,0.562,2.59,23.86,27.8,38.41,32.22,3.687617996,29.06,440
