StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05400650,Ref,FALSE,20.4,2.4,44.471904,-89.493437,81.41,6.3,69,266.2,134.1,109.1,11,6,601.3,19,0.294,1.3,1.4,13.51,283.3,213.1,26.01,55.95,0.09,0.13,0.16,8.35,47.61,42.57,53.21,1.02,0,0.25,0,0.09,8.63,1.56,1.5,5.75,60,84.95,24.97,7.04,23.32,69.63,0.18,113.15,335,0.225,0.5,252.9,-0.294,-0.956,1.76,8.3,21.37,30.53,21.22,2.927199261,30.94,40
05407470,Ref,TRUE,303.8,2.46,43.818103,-90.554414,88.21,6.96,69.8,268.4,132.1,96.4,10,5.4,625.5,17.2,0.312,1.2,9.8,11.35,85.5,255.6,35.22,58.18,0.01,1.46,0.48,19.28,38.9,2.1,88.63,8.21,1.05,0,0,0.15,1.68,1.46,0.41,5.76,43.78,88.89,70.87,29.84,50.87,19.3,0.32,132.58,373,0.615,9.9,184.6,-0.997,-0.08,0.15,8.47,23.23,34.66,21.8,3.007829975,30.96,179
05408000,Ref,TRUE,689.3,2.03,43.742443,-90.574685,88.18,7.01,69.8,268.9,131.3,95.7,9.9,5.3,627.3,17.1,0.312,1.1,9.5,11.59,74.6,252.4,43.34,49.34,0.01,1.76,0.4,15.9,33.44,2.21,89.4,7.2,1.08,0.1,0,0.16,1.77,1.46,0.42,5.76,43.87,89.93,71.67,28.52,52.04,19.45,0.32,133.4,361,0.601,10.9,191.1,-0.981,-0.192,0.5,8.44,23.28,34.64,21.79,3.004022127,30.97,203
05411850,Ref,TRUE,1664.2,1.92,43.19349,-92.119373,88.5,7.36,71.5,274.5,125.3,90.4,9.8,4.8,644.4,17.1,0.325,2,7.1,12.67,195.2,248.3,5.74,79.93,0.05,0,6.94,9.25,70.68,0.85,75.39,5.65,1.79,16.17,0.14,0.17,2.67,1.53,1.71,4.56,56.82,94.23,60.44,22.5,43.31,34.18,0.27,153.77,359,0.578,2,132.9,-0.681,0.732,0.67,8.04,24.42,35.73,20.33,3.016526174,31.58,154
05412400,Ref,TRUE,942.6,1.77,42.815637,-91.708857,89.29,7.91,69.7,270.8,128.8,93.7,10.1,5.1,657.8,17.5,0.304,1.5,4.1,12.14,145.8,261.7,16.37,67.68,0.02,0,10.19,15.82,51.86,0.83,79.23,2.55,4.34,13.04,0,0.18,2.21,1.47,1.43,4.94,56.09,96.37,74.5,23.3,54.8,21.9,0.3,152.8,341,0.756,4.4,95,-0.087,0.996,0.64,8.87,24.86,34.86,20.71,2.933616011,31.2,176
05412500,Ref,TRUE,3858.2,1.6,43.020907,-91.830914,88.46,7.7,70.4,273,126.7,91,9.8,4.9,652.7,17.2,0.314,1.7,5.9,12.33,171,247.6,11.23,73.3,0.04,0,8.98,14.17,59.13,0.74,80.57,3.97,3.33,11.32,0.06,0.18,2.2,1.48,1.35,4.98,56.26,96.15,73.71,23.48,54,22.52,0.3,151.7,345,0.657,3.7,134.9,-0.705,0.709,0.63,8.41,24.55,35.08,20.43,2.948690217,31.34,230
05413500,Ref,TRUE,695.3,2.26,42.863445,-90.838969,86.6,7.94,70.7,277.9,124.2,94.5,10,5.2,655.3,16.7,0.301,1.8,10.7,11.92,89.8,212.4,14.72,78.88,0.03,0.18,0.18,23.02,55.86,0.13,96.5,1.02,2.35,0,0,0.18,1.27,1.39,0.77,5.79,51.52,97.4,91.53,29.31,64.8,5.89,0.34,142.49,302,0.607,6.3,172.3,-0.991,0.133,0.26,8.46,23.62,34.15,20.42,2.77920485,30.71,196
05414000,Ref,TRUE,370.8,2.21,42.868184,-90.571229,88.39,7.99,70,277.3,126.5,102.6,10.8,6,654.3,16.9,0.289,1.8,11,11.85,107.3,240.2,14.77,79.89,0.02,0.12,0.33,30.06,49.83,0.11,95.64,1.26,2.98,0,0,0.18,1.26,1.39,0.74,5.8,49.47,97.23,90.69,29.59,63.83,6.59,0.34,141.92,309,0.667,6.8,193.7,-0.971,-0.237,0.29,9.22,24,34.14,21.05,2.789884861,30.46,171
05414500,Ref,FALSE,336.9,2.3,42.544244,-90.897693,88.41,8.26,70.1,280.2,121.7,99,10,5.9,665.1,17.1,0.274,2,10,11.81,100.7,246.6,22.51,63.18,0.03,0,8.71,33.16,30.02,0.09,92.76,1.28,5.08,0.78,0,0.19,1.37,1.41,0.75,5.58,53.68,98.92,91.99,26.31,66.97,6.72,0.35,147.27,297,0.569,7.3,119.7,-0.496,0.868,0.21,9.83,24.25,33.15,21.18,2.710555852,30.42,195
05415000,Ref,TRUE,322.7,2.14,42.616356,-90.328198,90.07,8.09,69.6,277.5,126.5,103.5,10.8,5.9,654.4,17.8,0.264,1,12.1,12.35,207.7,295.5,5.78,88.18,0.05,0.18,0.29,19.03,69.15,0,98.02,1.38,0.57,0.02,0,0.19,1.3,1.39,0.83,5.74,57.6,98.45,94.47,28.3,67.87,3.82,0.34,145.53,297,0.509,3.9,213.6,-0.833,-0.554,0.21,10.49,24.37,33.47,21.74,2.718904096,30.23,169
