StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05500000,Ref,TRUE,1567,0.97,40.072633,-92.031353,95.84,11.33,68.2,284.4,110.7,89.6,9.9,5.1,760.5,12.2,0.204,2,14.9,12.89,791.1,240.9,15.89,73.03,0.05,1.86,1.29,40.7,32.34,0,10.32,65.76,22.4,0.79,0.73,0.15,0.57,1.48,0.66,3,59.75,94.94,73.26,35.7,44.17,20.13,0.34,178.88,223,0.475,2.4,103.7,-0.237,0.972,3.83,12.7,28.2,30,24.92,2.478938371,28.6,158
05501000,Ref,TRUE,922.8,1.03,39.818751,-91.862022,97.75,11.79,68.1,286.9,107.8,89.3,9.8,5,778.5,11.5,0.172,2,15.1,12.7,1059.7,249.8,21.97,67.46,0.05,1.25,1.99,25.71,41.75,0,19.42,30.71,47.49,0.85,1.53,0.15,0.64,1.4,0.73,2.57,56.77,95.32,79.98,38.17,47.7,14.13,0.36,177.92,219,0.633,2.3,82.9,0.124,0.992,2.61,14.09,29.18,29.26,25.23,2.343585499,28.36,128
05502040,Ref,FALSE,188.1,2.15,39.740455,-91.034399,97.14,11.23,70,291.3,103.3,94.2,9.9,6,755,12.9,0.155,2.9,10.4,12.26,499,263,32.06,60.19,0,0.02,0.05,31.3,28.89,0,67.71,27.86,1.44,2.2,0.79,0.2,1.17,1.43,0.59,4.9,60,99.36,92.18,26.89,67.34,5.78,0.36,169.04,211,0.571,3.9,225.3,-0.704,-0.711,0.78,14.6,28.96,28.39,25.18,2.286472842,28.11,119
05503000,Ref,FALSE,6.9,3.1,39.764102,-91.903362,98.24,11.88,68,286,109.3,90,10,5,779.7,11,0.172,2,17,12.82,1207.4,252,6.07,89.38,0,0.07,0,25.21,64.17,0,1,31,68,0,0,0.15,0.37,1.4,0.73,1.7,60,97.73,81.95,39.97,46.62,13.42,0.38,178.4,231,0.773,1.1,246.7,-0.396,-0.918,0.29,14.03,29.45,29.37,25.39,2.334705187,28.23,22
05503800,Ref,TRUE,212.6,1.66,39.663953,-92.132968,98.88,11.82,68,285.1,112.7,89,10,5,776.1,11,0.179,2,17.1,13.35,1950.1,253.9,9.58,81.5,0,0.46,0.59,29.15,52.35,0,2.17,34.74,63.08,0,0,0.15,0.39,1.41,0.72,1.83,59.96,97.32,80.8,39.59,46.15,14.27,0.37,180.35,234,0.654,1.3,113.2,-0.394,0.919,3,13.75,29.7,29.79,25.62,2.325130093,28.22,52
05506000,Ref,FALSE,187.9,1.21,39.247235,-92.086382,99.24,11.8,68.7,289.8,105,86.5,9.4,5.2,772.6,11,0.164,1.2,14.1,13.51,1978.7,238.7,3.31,86.24,0.06,0.01,0.15,24.32,61.92,0,0.31,10.86,88.83,0,0,0.16,0.36,1.38,0.71,1.49,60,99.21,88.83,39.04,51.78,9.18,0.41,178.69,256,0.631,0.8,34.2,0.827,0.562,4.16,14.66,29.49,29.61,25.48,2.258332101,27.86,65
05506100,Ref,TRUE,472.2,1.24,39.287454,-92.078939,99.59,11.86,68.6,289.9,104.9,87.9,9.6,5.2,775.9,11,0.165,1.2,13.9,13.44,1787.7,238.6,4.91,85.95,0.06,0.04,0.32,21.24,64.7,0,1.42,16.51,81.41,0.25,0.41,0.16,0.4,1.39,0.71,1.57,59.99,98.84,87.09,38.81,50.82,10.37,0.4,179.02,250,0.663,0.8,38.6,0.781,0.624,4.07,14.71,29.63,29.76,25.48,2.254635334,27.93,89
05507500,Ref,FALSE,5698.5,1.24,39.595547,-92.147573,99.4,11.68,68.3,287.3,108,89.8,10,5.1,771.7,11.4,0.18,1.6,14.1,13.04,1231.6,249.3,14.97,73.09,0.07,0.72,1.34,33.73,39.36,0,7.43,46.71,44.01,0.79,1.06,0.15,0.53,1.44,0.7,2.34,59.81,96.45,78.3,37.07,46.44,16.49,0.36,180.11,241,0.538,1.8,93.9,-0.069,0.998,4.51,14.02,29.53,30.22,25.63,2.334761254,28.21,143
05507600,Ref,TRUE,275.4,1.82,39.321324,-91.669687,100.15,11.75,68.4,290,105.7,92.5,10,5.5,771.8,11.6,0.15,1.1,14.3,13.42,2228.3,249.2,5.36,87.35,0.03,0.05,0.56,17.87,69.48,0,0.54,12.89,86.57,0,0,0.16,0.37,1.38,0.71,1.52,59.94,99.01,88.07,39.15,51.22,9.63,0.41,175.79,229,0.766,0.7,17,0.956,0.292,1.92,15.65,29.92,29.57,25.01,2.20856661,27.76,47
05508805,Ref,TRUE,536.4,1.79,39.418084,-91.466744,98.93,11.65,68.7,290.1,106,90.8,10,5.3,768.9,11.9,0.149,1.3,13.2,12.84,1571.6,258.3,21.98,70.61,0.07,0.03,0.55,18.82,51.79,0,15.42,19.14,64.07,0.48,0.89,0.16,0.56,1.39,0.71,2.23,57.92,97.08,84.93,38.13,50.79,11.08,0.38,172.95,223,0.655,2,359.4,1,-0.01,1.88,15.46,29.65,29.25,24.57,2.222923027,27.83,113
05513000,Ref,FALSE,383.7,1.35,39.569784,-90.780056,98.15,11.32,69.2,289.1,104.8,93.9,9,6,754.4,12.8,0.148,2.8,10.1,12.63,324.5,241.3,25.08,67.47,0.02,0,0.02,22.15,45.33,0,73.62,21.61,0.4,2.09,2.28,0.2,1.24,1.43,0.59,4.81,60,99.49,92.85,26.51,67.98,5.51,0.36,166.91,205,0.492,3.4,140,-0.767,0.642,0.56,15.14,29.42,28.66,24.93,2.178577502,27.83,122
05514500,Ref,TRUE,2407.4,1.69,39.11875,-91.315036,99.51,11.94,68.5,288.8,105.3,89,9.5,5.5,775.1,11.8,0.124,1.7,17.6,12.61,1243.5,252.6,23.6,68.91,0.07,0.05,0.66,23.36,45.55,0,11.68,27.71,59.86,0,0.75,0.15,0.51,1.4,0.75,2.32,56.88,95.35,79.59,39.83,45.95,14.23,0.37,174.36,226,0.588,2.1,98.7,-0.151,0.989,2.01,16.56,29.56,28.36,25.02,2.123733849,27.42,148
05525500,Ref,TRUE,1158.8,1.61,40.56901,-87.698982,96.34,10.32,71.3,285.3,118.2,105.5,11,7.3,716.8,17,0.165,2,9.9,13.61,1310.7,267.3,0.94,92.96,0.01,0,0.08,1.86,91.11,0.25,39.83,19.24,17.56,23.1,0,0.16,1.34,1.46,1.71,2.48,60,96.25,77.79,31.94,50.18,17.89,0.3,167.87,214,0.276,0.3,332.8,0.889,-0.457,0.4,15.06,27.6,30.86,22.83,2.166996144,27.8,87
05526500,Ref,FALSE,31.5,1.52,41.196436,-88.054199,96.08,9.86,68.8,283.9,120,104,11,7,704.7,17,0.164,2,2,12.89,362.4,245.8,9.06,82.33,0,0.32,4.39,1.77,80.56,23.41,28,0,24.46,19.08,0,0.14,5.43,1.47,1.66,3.84,42.18,95.1,46.87,18.18,32.72,49.11,0.24,162.28,185,0.563,0.3,317.9,0.742,-0.67,0.09,14.77,27.86,30.09,23.35,2.270861394,28.66,32
05555500,Ref,FALSE,3317,1.49,40.893757,-88.607524,94.07,10.19,70.2,285.7,117,99.7,10.3,6.3,719.8,16.5,0.161,1.9,9.6,13.63,2275.8,226.2,1.9,89.89,0.1,0.01,0.4,1.43,88.46,0.24,33.11,25.87,11.8,28.52,0.25,0.17,1.1,1.43,1.68,2.09,60,97.71,84.29,33.52,54.43,12.05,0.3,164.3,206,0.49,0.3,19.9,0.94,0.341,0.43,14.79,26.66,29.82,22.8,2.286989751,28.51,102
05556500,Ref,TRUE,505.1,1.31,41.556469,-89.294953,94.89,9.06,69.6,280.7,121.9,95.2,10.1,5.5,681.7,17.3,0.204,2.2,9,12.98,430.8,243.7,3.82,88.52,0,0,0.03,1.88,86.63,0,75.33,4.18,0,20.49,0,0.2,1.25,1.39,1.27,3.33,60,99.32,91.69,27.95,65.19,6.86,0.3,153.61,250,0.598,0.9,186.5,-0.994,-0.113,0.51,13.17,26.59,31.81,23.32,2.476318415,29.3,132
05558500,Ref,FALSE,143.9,1.76,41.14963,-89.548847,92.8,9.76,69.7,281.7,120.5,95.8,10,5.3,706.2,16,0.188,2,6.9,12.64,403.9,243,7.66,88.12,0,0,0,4.74,83.38,0,73.89,6.08,0,20.03,0,0.2,1.24,1.4,1.16,3.42,60,99.26,91.22,27.93,64.95,7.12,0.31,156.74,223,0.537,1.6,99.1,-0.158,0.987,0.29,13.47,26.19,30.28,22.86,2.365610341,29.07,121
05559000,Ref,FALSE,14.3,2.72,41.024822,-89.471196,95.36,10.11,70,281.5,118.7,99.4,10.5,6,720.6,15,0.174,2,6,11.53,407.9,253.5,24.04,66.39,0,0,0,1.27,65.12,0,60.31,12.43,0.15,27.11,0,0.19,1.26,1.42,1.27,3.03,60,98.88,86.24,26.92,61.58,11.5,0.31,159.49,198,0.734,3.5,89.6,0.008,1,0,14.02,27.55,30.04,23.76,2.331030831,28.95,79
05584500,Ref,TRUE,1695.7,1.82,40.497095,-90.879039,96.06,10.44,68.6,286.9,109.7,91.7,10,5,731.7,14,0.199,2.8,8.6,13.17,728.4,252.6,16.23,76.77,0.03,0.04,0.07,10.36,66.41,0,62.89,16.65,2.17,18.17,0.13,0.19,0.98,1.39,0.96,3.16,60,99.7,94.27,30.08,65.16,4.76,0.32,166.34,204,0.607,1.3,159.6,-0.938,0.348,0.7,13.12,28.39,30.41,24.15,2.400234403,28.92,107
05585000,Ref,TRUE,3354.6,1.87,40.364642,-90.820744,95.93,10.61,68.9,287.3,108.2,89.7,9.7,4.9,737.2,13.8,0.192,2.7,10.7,12.99,620.4,258.4,21.78,71.19,0.02,0.04,0.1,11.93,59.26,0,58.8,21.51,2.81,16.66,0.23,0.19,0.96,1.4,0.89,3.23,60,99.62,93.58,30.18,64.6,5.22,0.33,165.86,199,0.573,1.7,154.4,-0.901,0.433,1.07,13.32,28.63,29.84,24.15,2.387013709,28.78,110
05586000,Ref,FALSE,79,1.88,39.744828,-90.051472,96.33,11.14,70,286,109,96.1,10,6,743.2,13.4,0.147,1.3,6,13.81,931.9,254.5,1.45,92.31,0,0,0,5.17,87.14,0,65.46,5.4,1.31,27.83,0,0.19,1,1.37,1.14,2.46,60,99.85,95.48,29.86,66.04,4.09,0.29,166.26,196,0.5,0.4,330.7,0.872,-0.49,0.2,15.19,28.89,28.46,23.78,2.204749966,27.5,38
05586500,Ref,FALSE,5.7,1.89,39.498143,-90.395233,96.95,11.26,69,289,104,96,10,6,747.9,13,0.126,2,8,11.77,522.3,235.2,5.39,89.09,0,0,0,2.52,86.57,0,83.18,2.42,0.22,14.17,0,0.2,1.29,1.34,1.48,3.63,60,99.95,96.97,28.37,68.78,2.86,0.29,166.04,198,0.737,0.3,233.8,-0.59,-0.807,0.11,15.92,29.22,27.51,24.31,2.172705852,27.39,19
05591550,Ref,TRUE,96.2,1.3,39.510019,-88.438184,100.69,11.57,70.4,291.6,107.6,100.2,10.4,7,759.4,14.2,0.112,2.9,9.1,13.48,900.3,292.5,2.01,89.73,0.04,0,0.08,2.23,87.5,0,59.36,2.65,0,37.87,0.13,0.19,1.26,1.41,1.41,2,60,98.52,83.84,27.59,59.15,13.26,0.29,178.36,208,0.386,0.3,330.6,0.871,-0.491,0.08,18.04,28.28,29.72,24.65,1.960309549,26.97,44
05592050,Ref,TRUE,254.1,1.7,39.475378,-88.880588,100.61,11.8,70,289.6,107.6,98.1,10,7,767.5,14,0.113,2,6.8,13.16,1085.5,272.3,7.59,86.52,0,0,0.06,6.56,79.96,0,61.88,8.5,3.32,26.07,0.23,0.18,1,1.41,1.21,2.49,60,98.82,87.56,28.88,60.96,10.16,0.31,174.31,199,0.492,0.7,128.6,-0.624,0.781,0.17,18.06,28.79,29.44,24.32,2.010727327,27.16,59
05592300,Ref,FALSE,125.1,1.7,39.205285,-88.699323,102.36,11.81,70,290.9,107,100.6,10.4,7,766.1,14,0.105,2,16.1,13.48,2055.4,306.9,15.72,76.43,0,0,0.12,10.52,65.91,0,0.09,48.94,49.51,0.05,1.41,0.19,0.55,1.47,0.72,1.67,60,99.59,86.34,28.95,59.5,11.55,0.38,181.72,190,0.605,0.7,272.5,0.044,-0.999,0.08,18.98,29.98,28.79,24.6,1.900135704,26.93,43
05592575,Ref,TRUE,115.3,2.12,38.955877,-88.864911,102.24,12.06,69,290,106,99.5,10.3,7,774.1,13.8,0.096,2,6.5,13.66,1523.6,310.8,32,60.32,0,0,0.41,11.08,49.24,0,0,56.23,42.67,0,1.09,0.18,0.57,1.49,0.69,1.86,60,99.51,86.17,28.77,59.77,11.46,0.39,183.24,181,0.744,1,216.3,-0.806,-0.592,0.29,18.98,29.74,28.22,25.3,1.895091956,26.79,39
05593575,Ref,TRUE,217.7,2.15,38.385356,-89.365105,103.44,12.93,70,295.8,99.5,95.6,10,7,805.4,11,0.074,2,15,13.48,1910.7,288.3,8.04,80.88,0.01,0,0.17,19.12,61.76,0,3.22,51.42,41.84,1.4,2.12,0.18,0.55,1.46,0.66,1.85,60,99.6,88.99,28.66,61.96,9.38,0.38,192.55,148,0.42,0.5,316.9,0.73,-0.683,1.28,20.11,30.52,27.02,25.79,1.807659676,26.33,50
05593900,Ref,TRUE,145.4,1.5,39.241209,-89.323938,99.83,12.08,69.3,289.3,105.1,95.6,9.8,6.4,776.6,13.8,0.104,2,11.3,13.81,1452.4,283.2,9.75,79.48,0.28,0,0.07,9.58,69.9,0,28.63,24,24.17,21.79,1.41,0.18,0.55,1.38,0.91,1.5,60,99.82,93.84,30.96,63.38,5.66,0.33,172.85,202,0.441,0.8,265.5,-0.079,-0.997,0.13,17.99,29.33,28.07,24.43,2.041622582,27.14,59
05595730,Ref,TRUE,236.8,2.32,38.334697,-89.107787,108.14,12.72,69.1,292.4,101.2,97.3,10,6.9,796.1,11.8,0.063,2,11.5,13.01,1187,337.7,27.84,61.72,0,0,0.66,21.74,39.98,0,0.63,64.53,33.33,0.71,0.8,0.18,0.62,1.5,0.64,2.12,60,99.41,86.06,28.55,60.16,11.29,0.4,197.97,155,0.509,0.9,135.7,-0.716,0.698,1.32,22.01,32.13,27.32,26.66,1.718456463,26.2,55
07010350,Ref,FALSE,515.4,1.73,37.654294,-91.408393,112.96,13.35,67.5,285,113.1,85.6,9,5.5,802.6,9.7,0.07,3,2.5,12.56,146.1,357.6,75.3,18.91,0.06,0.01,1.57,18.82,0.09,4.79,57.48,37.72,0.01,0,0,0.09,2.36,1.39,0.37,4.99,58.89,58.74,34.59,32.95,37.82,29.23,0.3,213.26,365,0.551,5.5,326.5,0.834,-0.552,0.54,20.83,32.66,29.84,29.62,1.64442575,25.14,178
07014000,Ref,FALSE,663.8,1.87,37.780517,-91.206367,112.28,12.87,66.6,282.3,116.8,81.1,8.7,5,783.5,10.4,0.067,3,2.7,12.21,102.6,363.4,78.56,13.09,0.12,1.67,2.24,13.04,0.05,3.71,72.43,21.98,1.89,0,0,0.09,2.28,1.37,0.33,5.17,58.06,61.52,38.74,37.48,37.91,24.6,0.29,210.63,319,0.473,6.9,1.3,1,0.022,0.24,21.09,32.5,29.58,29.13,1.680420308,25.34,243
07014500,Ref,TRUE,3845.5,1.71,37.819447,-91.353692,111.33,12.87,66.9,283.2,116.2,85.4,9,5.4,785.7,10.2,0.075,3,3.9,12.17,181,349.7,72.83,18.81,0.11,0.92,2.23,18.73,0.08,3,56.5,39.3,1.16,0,0.04,0.09,2.06,1.38,0.34,4.73,57.8,63.52,40.17,36.66,37.75,25.59,0.31,208.25,323,0.537,6,353.9,0.994,-0.106,0.56,20.53,32.06,29.74,29.01,1.703776269,25.39,268
07017500,Ref,FALSE,8.8,1.8,37.947355,-90.437529,109.32,12.49,68,281.1,113,92,10,6,772.8,11,0.069,2,11.6,11.8,452,327.3,45.7,47.45,0,0,3.37,47.45,0,0,58.75,35.91,5.01,0,0.34,0.16,1.02,1.38,0.62,5.17,52.74,92.78,79.62,37.47,52.03,10.5,0.35,206.95,255,0.416,2.4,239.4,-0.509,-0.861,0,21.01,32.03,29.18,27.15,1.69028281,25.55,89
07021000,Ref,TRUE,1094.4,1.17,37.332014,-90.2206,120.06,13.1,67.2,285.1,111.3,93.4,9.5,6.6,798.3,11,0.042,3.5,5.1,11.88,124.9,424,79.15,14.26,0.11,0.86,1.98,12.74,1.52,12.5,49.79,36.98,0.73,0,0,0.09,2.31,1.4,0.28,4.44,59.56,60.93,36.15,33.82,38.56,27.62,0.31,237.22,203,0.352,6.2,155.6,-0.911,0.413,0.98,25.86,34.89,30.16,29.14,1.542731166,25.3,267
