StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
08227500,Ref,FALSE,33.3,2.38,38.037635,-105.644215,78.29,2.23,50.8,249.6,173.8,89.1,12.9,4.9,383.7,47.6,0.109,0,9.04,7.6,471.9,44.54,7.62,0.23,39.75,37.73,24.72,26.8,0.08,3.59,1.41,2.04,42.32,57.12,25.35,15.02,37.18,47.8,0.13,45.6,3495,0.57,50.4,248.4,-0.369,-0.93,14.33,20.7,24.25,18.58,3.791266599,20.19,1659
08236000,Ref,FALSE,275.2,1.6,37.397486,-106.520395,97.65,1.96,51,249.5,172.8,99.8,12,5.3,364.4,62.7,0.12,1,10.04,20.9,461.5,65.68,3.43,0.16,24.53,54.19,23.87,16.02,0.09,3.23,1.39,1.17,49.03,62.8,31.87,18.6,39.27,42.13,0.12,62.06,3364,0.527,27,118.8,-0.482,0.876,24.61,26.58,19.28,26.82,3.947527113,20,1401
08240500,Ref,FALSE,136.9,3.39,37.342683,-105.226455,59.28,2.9,56.3,256.3,168.5,83.3,10.6,4.6,396.6,44.3,0.066,1.2,9.66,8.6,302.2,78.88,1.04,1.22,17.61,61.67,23.43,12.15,0.08,3.25,1.43,0.82,50.4,61,28.57,19.17,33.57,47.26,0.15,72.66,3222,0.41,31.1,305.7,0.583,-0.812,11.94,18.86,14.73,13.61,3.260685277,19.72,1512
08253500,Ref,FALSE,6.6,2.19,36.893995,-105.310292,73.26,3.78,52.4,257,165.2,85.8,11.3,5.3,413.8,39,0.07,0,8.45,9.5,179.1,71.82,8.26,0,18.74,67.46,23.16,8.13,0.08,3.03,1.44,0.61,51.61,60.08,28.52,20.17,33.11,46.71,0.15,67.49,3405,0.488,30.3,110.8,-0.356,0.935,14.18,22.4,20.68,16.38,2.872488408,18.51,1048
08263000,Ref,FALSE,28.6,2.68,36.823924,-105.493972,72.5,3.18,52,259.3,166.3,89.1,12,5.4,399.2,38.7,0.067,0,9.15,5.2,303.5,83.16,6.94,0.21,9.36,50.28,29.67,20.06,0.09,5.08,1.38,0.14,48.81,63.3,42.59,21.34,53.04,25.61,0.16,56.85,3361,0.623,33.8,327.4,0.843,-0.539,13.98,22.06,19.85,16.77,3.424489487,19.25,1358
08267500,Ref,TRUE,96.3,2.36,36.579031,-105.483698,72.44,2.88,51.4,254.3,170.5,87.5,12.2,5.2,390.2,38.9,0.079,0,9.26,3.8,349,82.48,6.58,0.48,9.52,50.3,29.78,19.92,0.09,5.04,1.38,0.14,48.85,63.47,42.7,21.36,53.04,25.6,0.16,61.37,3194,0.515,44.4,264.2,-0.101,-0.995,14.1,20.84,21.2,16.46,3.614078386,19.47,1661
08269000,Ref,TRUE,163.3,2.72,36.467709,-105.410891,63.82,3.48,51.5,248.8,171.2,84.3,12.2,5.1,409.5,30.5,0.104,0,9.77,8.5,122.4,94.47,0.61,0.3,4.48,54.11,25.76,20.12,0.09,4.23,1.39,0.17,50.6,64.34,41.71,23.57,47.78,28.66,0.17,54.03,2904,0.373,31.2,173.3,-0.993,0.116,12.35,16.99,20.05,14.45,2.868402781,19.99,1730
08271000,Ref,TRUE,43.8,2.45,36.518195,-105.460037,76,2.58,50.6,251,172.7,92,12,5.6,386.4,34.6,0.072,0,9.46,5.4,228.9,67.69,10.52,0.4,21.18,54.47,21.29,24.24,0.09,4.31,1.37,0.39,52.09,63.32,39.3,21.57,46.71,31.72,0.16,65.53,3314,0.559,44.1,260.9,-0.157,-0.988,15.21,21.64,22.04,17.13,3.356196991,19.19,1528
08275600,Ref,FALSE,98.5,1.49,36.313101,-105.456613,67.75,3.02,52.8,247.9,173.6,86.9,12.3,5.1,404.2,36.4,0.096,4.1,9.77,21.5,280.9,94.52,0,1.69,3.58,74.1,13.06,12.84,0.09,1.55,1.42,0.11,60,72.16,41.9,31.1,31.3,37.6,0.19,68.22,2882,0.537,26.4,281,0.191,-0.982,13.44,17.71,21.22,15.33,3.211832159,20.37,1267
08277470,Ref,TRUE,258,2.31,36.125836,-105.502771,82.04,2,52.2,249.7,176.5,90.9,12.7,5.3,369.5,36.6,0.073,13.4,10.04,27.8,370.3,87.94,0.6,0.45,10.44,84.49,0.33,15.18,0.1,1.28,1.42,0.15,59.79,76.06,43.6,27.65,33.69,38.66,0.17,100.57,3005,0.408,25.8,61.8,0.472,0.881,17.18,20.74,25.61,18.4,3.469479275,19.71,1530
